Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),Counts_TL6(0.015),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014),DCounts_TL6(0.015)
0.0294,-559.2857142857156,-85.21428571428578,15.928571428571388,5.285714285714278,-6.642857142857143,25.285714285714285,10520.0,2237.0,443.0,84.0,12.0,14.0
0.0304,355.07142857142753,-4.714285714285779,54.78571428571422,9.499999999999986,-10.714285714285715,2.1428571428571423,9961.0,2119.0,472.0,78.0,25.0,5.0
0.0314,23.92857142857065,-133.214285714286,-12.928571428571445,4.928571428571416,1.857142857142854,-2.2142857142857144,9885.0,2135.0,404.0,79.0,16.0,4.0
0.0324,-100.35714285714312,-106.214285714286,-10.214285714285722,-39.50000000000001,7.142857142857139,9.857142857142854,10070.0,2108.0,387.0,102.0,25.0,8.0
0.0333,113.28571428571377,-185.21428571428578,5.357142857142833,-2.857142857142861,-0.571428571428573,-5.642857142857143,8826.0,2312.0,450.0,85.0,22.0,11.0
0.0343,202.71428571428442,-19.714285714286007,-33.285714285714334,-15.142857142857153,-7.714285714285715,9.285714285714285,9583.0,2034.0,369.0,83.0,22.0,5.0
0.0353,-336.57142857142935,17.142857142856883,-10.71428571428578,-4.571428571428584,-7.714285714285715,-6.642857142857143,10033.0,2065.0,425.0,76.0,22.0,12.0
0.0363,-232.92857142857247,-64.57142857142867,-51.428571428571445,24.714285714285708,2.428571428571427,-4.214285714285714,7774.0,1736.0,330.0,61.0,19.0,6.0
0.0373,542.8571428571413,-38.42857142857156,14.64285714285711,-4.0714285714285765,1.4999999999999982,6.928571428571427,7975.0,1867.0,380.0,63.0,11.0,2.0
0.0382,-79.07142857142935,24.214285714285552,-21.285714285714334,-1.0000000000000142,1.4999999999999982,-8.0,8213.0,1724.0,357.0,76.0,11.0,8.0
0.0392,-39.714285714286234,-24.000000000000227,26.571428571428555,15.357142857142847,-10.285714285714286,1.5714285714285712,8154.0,1724.0,352.0,65.0,21.0,2.0
0.0402,-104.14285714285779,16.714285714285552,-42.64285714285717,-19.000000000000007,-3.2857142857142865,2.3571428571428568,7847.0,1644.0,323.0,69.0,14.0,3.0
0.0412,-93.78571428571468,94.28571428571422,28.428571428571388,8.357142857142847,-11.500000000000002,17.57142857142857,7992.0,1645.0,368.0,72.0,24.0,11.0
0.0422,11.285714285713766,-44.35714285714312,30.357142857142833,-0.4285714285714306,-0.7142857142857153,-0.4285714285714288,8378.0,2064.0,425.0,79.0,15.0,4.0
0.0431,272.7142857142844,-95.57142857142867,-26.714285714285722,27.07142857142857,-11.92857142857143,8.285714285714285,8563.0,1842.0,391.0,64.0,28.0,6.0
0.0441,-848.8571428571431,-93.14285714285734,-47.71428571428572,-9.000000000000014,-9.92857142857143,-14.857142857142858,9156.0,1836.0,387.0,84.0,26.0,22.0
0.0451,193.57142857142753,-99.35714285714312,40.78571428571422,-11.92857142857143,-8.857142857142858,2.4999999999999982,8585.0,1944.0,361.0,78.0,16.0,10.0
0.0461,11.071428571427532,-59.21428571428578,-8.142857142857167,-9.285714285714292,2.428571428571427,-18.857142857142858,8980.0,1886.0,401.0,95.0,19.0,26.0
0.0471,595.9285714285706,38.85714285714266,-14.500000000000057,0.357142857142847,-1.7142857142857153,17.428571428571427,9388.0,2079.0,452.0,80.0,16.0,4.0
0.048,493.6428571428569,-53.0,32.5714285714285,-3.857142857142861,0.2857142857142847,12.07142857142857,10326.0,2253.0,446.0,86.0,14.0,4.0
0.049,-22.57142857142935,55.714285714285325,-11.142857142857167,-18.85714285714286,0.1428571428571388,5.7142857142857135,9644.0,2055.0,429.0,101.0,32.0,5.0
0.05,329.57142857142753,24.642857142856883,34.071428571428555,-6.071428571428584,3.857142857142854,-0.2142857142857144,10049.0,2195.0,432.0,90.0,14.0,2.0
0.051,-276.1428571428587,5.428571428571104,68.78571428571422,-9.857142857142861,-2.9285714285714306,1.1428571428571423,10569.0,2216.0,458.0,117.0,19.0,6.0
0.052,410.28571428571377,-24.42857142857156,40.64285714285711,29.928571428571416,-24.071428571428573,-5.428571428571429,9754.0,2328.0,454.0,79.0,33.0,9.0
0.0529,-619.2857142857156,179.85714285714266,36.85714285714283,24.499999999999986,6.642857142857142,-3.2142857142857144,11255.0,2163.0,456.0,88.0,13.0,5.0
0.0539,283.92857142857065,110.35714285714266,-9.785714285714334,1.0714285714285694,10.214285714285712,-3.2142857142857144,10100.0,2220.0,483.0,90.0,13.0,5.0
0.0549,1208.7142857142844,174.64285714285688,0.07142857142855519,-13.92857142857143,1.7857142857142847,-0.07142857142857295,10552.0,2220.0,541.0,105.0,25.0,9.0
0.0559,636.7857142857138,21.642857142856883,29.214285714285666,-8.642857142857153,-6.928571428571431,-1.4285714285714288,11615.0,2398.0,494.0,89.0,23.0,5.0
0.0569,485.42857142857065,218.71428571428532,63.35714285714283,-9.285714285714292,2.6428571428571423,5.142857142857142,8786.0,1917.0,367.0,70.0,17.0,2.0
0.0578,810.7857142857138,-39.64285714285734,56.99999999999994,14.142857142857139,0.5714285714285694,-4.214285714285714,9441.0,2020.0,393.0,68.0,28.0,6.0
0.0588,265.28571428571377,383.85714285714266,111.85714285714283,-20.85714285714286,11.714285714285708,10.857142857142854,8849.0,1784.0,381.0,103.0,24.0,7.0
0.0598,1019.2142857142844,376.4285714285711,82.71428571428567,22.999999999999986,-9.357142857142858,4.928571428571427,8529.0,1820.0,353.0,77.0,29.0,4.0
