Bias_Current,Counts_TL1(0.015),Counts_TL2(0.040),DCounts_TL1(0.015),DCounts_TL2(0.040)
0.0,-14.642857142857167,0.0,395.0,0.0
0.0039,-36.14285714285717,0.0,391.5,0.0
0.0078,-49.39285714285717,0.0,423.5,0.0
0.0118,-23.714285714285722,0.8928571428571428,400.5,0.0
0.0157,-18.035714285714334,0.0,385.0,0.0
0.0196,-35.96428571428572,0.0,406.5,0.0
0.0235,18.178571428571388,0.0,397.0,0.0
0.0275,38.28571428571422,0.0,388.5,0.0
0.0314,-14.821428571428612,0.0,392.5,0.0
0.0353,-3.2857142857143344,0.0,376.5,0.0
0.0392,5.999999999999943,0.0,369.0,0.0
0.0431,-4.250000000000057,0.0,373.0,0.0
0.0471,2.7142857142856656,0.0,395.5,0.0
0.051,60.92857142857139,0.0,385.5,0.0
0.0549,96.74999999999994,-0.5,397.0,0.5
0.0588,660.1785714285713,0.0,467.5,0.0
0.0627,2766.9999999999995,0.0,608.0,0.0
0.0667,6432.249999999999,0.0,899.0,0.0
0.0706,9609.214285714284,0.0,1189.0,0.0
0.0745,12098.964285714284,0.0,1355.5,0.0
0.0784,13809.67857142857,0.0,1480.5,0.0
0.0824,15243.678571428569,0.0,1671.5,0.0
0.0863,16645.42857142857,0.8928571428571428,1751.0,0.0
0.0902,17840.535714285714,3.4642857142857135,1880.0,1.0
0.0941,18759.749999999996,40.74999999999999,2009.0,3.0
0.098,19256.571428571428,400.1428571428571,2134.5,32.0
0.102,20597.035714285714,2472.9642857142853,2223.5,194.0
0.1059,20944.142857142855,7891.035714285714,2338.0,692.0
0.1098,21646.142857142855,14972.607142857141,2398.5,1389.0
0.1137,22325.60714285714,20029.35714285714,2486.0,1813.5
0.1176,22735.42857142857,21980.249999999996,2498.5,2076.0
0.1216,23443.571428571428,23140.749999999996,2610.0,2215.5
0.1255,23757.17857142857,23357.964285714283,2645.5,2346.5
0.1294,24218.749999999996,23978.714285714283,2700.0,2432.0
0.1333,24827.642857142855,24442.249999999996,2729.5,2439.0
0.1373,24813.10714285714,24924.749999999996,2923.5,2481.5
0.1412,25458.464285714283,25398.249999999996,2883.5,2470.5
0.1451,25820.714285714283,25341.78571428571,3027.5,2635.0
0.149,25997.35714285714,25628.10714285714,3045.5,2658.5
0.1529,26147.67857142857,26059.142857142855,3080.0,2673.0
0.1569,26410.03571428571,26562.35714285714,3210.5,2755.5
0.1608,27132.53571428571,26410.714285714283,3025.5,2837.5
0.1647,26988.78571428571,26711.17857142857,3163.0,2854.0
0.1686,27069.392857142855,27222.28571428571,3219.0,2842.0
0.1725,27199.964285714283,27286.571428571424,3317.0,2892.0
0.1765,27508.821428571424,27387.17857142857,3338.5,3003.0
0.1804,28040.214285714283,27419.67857142857,3383.0,3095.5
0.1843,28399.749999999996,27903.642857142855,3431.5,3028.5
0.1882,28048.964285714283,27821.571428571424,3455.5,3094.5
0.1922,28214.892857142855,28157.142857142855,3586.0,3112.5
0.1961,28499.321428571424,28376.17857142857,3498.0,3251.5
0.2,28300.249999999996,28405.642857142855,3606.0,3251.5
0.2039,28785.999999999996,28603.214285714283,3601.5,3270.0
0.2078,28512.571428571424,28664.714285714283,3716.0,3308.5
0.2118,29106.857142857138,28872.892857142855,3673.5,3365.5
0.2157,29155.25,29021.964285714283,3838.5,3407.5
0.2196,29026.821428571428,29083.42857142857,3820.5,3500.5
0.2235,29072.821428571428,29403.178571428565,3974.5,3474.5
0.2275,29278.428571428565,29514.714285714283,4005.5,3571.0
0.2314,29491.571428571428,29704.571428571428,4062.0,3724.0
0.2353,29960.928571428565,29876.107142857138,4323.0,3860.5
0.2392,30599.25,30569.357142857138,4619.5,4348.5
0.2431,30887.25,33095.82142857143,6656.5,5151.5
0.2471,98850.60714285713,106351.78571428571,80211.0,68525.0
0.251,-235903.71428571455,20487.214285714086,1979605.5,1052473.5
0.2549,-148161.35714285728,61700.464285714086,2704468.5,1393191.5
0.2588,-136717.32142857183,78479.53571428568,2912807.5,1397091.0
0.2627,-140768.32142857183,103454.85714285704,3088321.0,1313138.0
0.2667,-118496.14285714319,128932.10714285704,3216514.0,1242854.5
0.2706,-121154.6785714291,170360.28571428568,3352627.0,1115966.5
0.2745,-70818.25000000047,177299.07142857136,3424199.5,1037229.5
0.2784,-51670.82142857183,224132.9285714284,3490723.5,892263.5
0.2824,2004.3214285708964,195385.82142857136,3506418.0,751524.0
0.2863,70744.49999999953,225099.49999999988,3502530.5,622338.0
0.2902,87907.17857142817,192905.64285714284,3488808.0,515726.5
0.2941,83315.67857142817,200568.14285714284,3451324.5,453814.0
