Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),Counts_TL6(0.015),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014),DCounts_TL6(0.015)
0.049,-331.85714285714494,336.32142857142753,150.46428571428532,-3.071428571428669,-29.6785714285715,-22.178571428571445,85989.0,23898.5,7591.5,1874.5,527.0,144.5
0.0529,5141.35714285713,160.14285714285506,395.1428571428569,151.42857142857133,6.214285714285666,51.464285714285694,71201.5,22159.5,6524.5,1820.0,492.0,128.0
0.0569,-3272.1428571428696,-1085.7142857142862,-532.0714285714294,-179.35714285714312,-63.85714285714289,34.78571428571428,80802.5,24387.5,6691.0,2036.5,571.0,129.5
0.0608,204.89285714285506,-128.32142857143117,192.32142857142753,90.35714285714266,68.03571428571422,11.714285714285694,76296.0,24281.0,7092.5,2040.0,540.0,174.0
0.0647,-2231.6785714285797,1096.892857142855,-346.8928571428578,-92.35714285714312,22.214285714285666,-23.571428571428584,87766.5,26629.0,7371.0,2112.0,563.5,157.5
0.0686,-5967.285714285725,-2291.4285714285725,-343.1428571428578,-110.39285714285734,22.714285714285666,2.2857142857142776,80628.0,27082.5,7111.0,2397.0,613.0,149.5
0.0725,-952.3214285714348,-743.6071428571449,-261.0357142857147,256.2857142857142,-5.392857142857224,28.428571428571416,86342.5,27032.0,7865.5,2233.0,617.0,130.5
0.0765,6334.03571428571,49.035714285713766,535.8571428571422,-279.67857142857156,-5.250000000000114,-30.0,84949.0,24209.0,7557.0,2389.5,699.0,167.5
0.0804,2914.4999999999854,230.42857142856883,-496.82142857142935,-58.821428571428896,-51.71428571428578,1.1428571428571388,96635.5,29278.5,8524.5,2461.5,666.0,168.5
0.0843,12302.392857142855,604.7142857142826,31.464285714285325,5.928571428571104,4.25,-8.500000000000028,84011.0,27806.0,7648.0,2240.5,514.5,158.5
