Bias_Current,Counts_TL1(0.015),Counts_TL2(0.040),DCounts_TL1(0.015),DCounts_TL2(0.040)
0.098,2.214285714285694,1.2857142857142856,221.0,0.5
0.102,34.964285714285694,0.0,182.0,0.0
0.1059,-47.75000000000003,0.8928571428571428,204.0,0.0
0.1098,-36.035714285714306,1.1785714285714284,253.0,1.5
0.1137,-2.3214285714285836,1.7857142857142856,242.5,0.0
0.1176,60.428571428571416,0.0,173.5,0.0
0.1216,1.6428571428571104,0.0,218.0,0.0
0.1255,-8.10714285714289,-1.5,246.5,1.5
0.1294,4.035714285714278,-0.5,316.5,0.5
0.1333,-7.714285714285722,0.0,297.0,0.0
0.1373,24.035714285714278,0.0,309.0,0.0
0.1412,-12.678571428571445,0.8928571428571428,272.5,0.0
0.1451,-12.678571428571445,0.8928571428571428,285.0,0.0
0.149,-15.392857142857167,1.7857142857142856,289.5,0.0
0.1529,3.7142857142856656,6.428571428571427,269.5,2.5
0.1569,17.285714285714278,7.321428571428571,284.5,2.5
0.1608,17.535714285714278,32.82142857142857,328.0,2.0
0.1647,27.357142857142833,37.96428571428571,315.5,4.0
0.1686,84.03571428571428,86.99999999999999,299.0,13.0
0.1725,106.39285714285711,131.82142857142856,319.5,15.5
0.1765,238.3214285714285,250.46428571428567,271.5,29.0
0.1804,374.92857142857133,392.7857142857142,296.5,59.0
0.1843,576.0714285714284,614.9285714285713,302.5,81.5
0.1882,871.6071428571427,903.2499999999999,290.0,115.5
0.1922,1371.1428571428569,1323.2499999999998,461.0,170.5
0.1961,1931.8928571428569,1862.6071428571427,506.5,224.0
0.2,2567.2142857142853,2500.428571428571,631.0,308.5
0.2039,3338.2499999999995,3234.4999999999995,693.0,415.5
0.2078,4114.107142857142,4205.821428571428,847.5,541.5
0.2118,5295.499999999999,4969.999999999999,967.0,667.5
0.2157,6209.892857142857,6206.785714285714,1166.0,820.0
0.2196,7415.5714285714275,7440.678571428571,1300.5,949.5
0.2235,8444.571428571428,8279.285714285714,1521.5,1147.5
0.2275,9678.321428571428,9553.214285714284,1681.5,1395.0
0.2314,10629.642857142855,10804.571428571428,1852.5,1461.5
0.2353,11545.607142857141,11688.321428571428,2028.5,1734.0
0.2392,12561.892857142855,12401.749999999998,2176.5,1892.0
0.2431,13554.892857142855,13259.821428571428,2308.5,2050.0
0.2471,14134.035714285714,14331.571428571428,2499.0,2159.5
0.251,14669.071428571428,14661.25,2572.0,2270.0
0.2549,14782.428571428569,15275.892857142855,2801.5,2500.0
0.2588,15589.392857142855,15289.285714285714,3011.5,2575.0
0.2627,15951.142857142855,15735.928571428569,2981.0,2610.5
0.2667,16208.499999999996,16091.392857142855,3054.0,2672.0
0.2706,16221.607142857141,16340.571428571428,3152.5,2800.5
0.2745,16782.571428571428,16664.571428571428,3183.5,2839.0
0.2784,16845.464285714283,17010.964285714283,3246.5,2918.5
0.2824,16988.892857142855,17051.10714285714,3362.0,2985.5
0.2863,17336.85714285714,17553.392857142855,3481.0,3047.5
0.2902,17645.214285714283,17639.214285714283,3590.5,3171.5
0.2941,18014.35714285714,18188.821428571428,4491.0,3458.5
0.298,32348.071428571428,30207.392857142855,4105.5,7243.5
0.302,235974.28571428568,230933.07142857142,267665.0,144258.0
0.3059,198987.42857142817,47510.642857142724,1901134.0,1340584.0
0.3098,38752.32142857136,8263.928571428405,2685357.5,1717820.0
0.3137,19031.749999999534,1647.642857142724,2949749.5,1720384.5
