Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),Counts_TL6(0.015),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014),DCounts_TL6(0.015)
0.0392,872.7142857142826,111.28571428571377,-71.00000000000011,6.499999999999972,-18.642857142857146,0.9285714285714235,15713.0,3553.0,821.0,156.0,49.0,33.0
0.0412,879.2142857142844,-117.0714285714289,41.42857142857133,-48.428571428571445,-26.214285714285715,1.5714285714285694,14619.0,3626.0,780.0,177.0,53.0,27.0
0.0431,-544.8571428571449,108.71428571428532,-53.142857142857224,-14.35714285714289,44.071428571428555,3.7857142857142847,18377.0,3777.0,871.0,209.0,72.0,23.0
0.0451,836.0,11.285714285713766,15.214285714285666,1.4285714285714164,-22.000000000000007,-0.4285714285714306,16639.0,3678.0,758.0,195.0,72.0,54.0
0.0471,-54.1428571428587,64.28571428571377,-22.57142857142867,7.499999999999972,14.499999999999993,4.142857142857139,18447.0,4000.0,869.0,205.0,48.0,28.0
0.049,-345.2857142857174,160.92857142857065,31.142857142856997,78.35714285714283,-25.214285714285722,-12.42857142857143,19706.0,4273.0,976.0,202.0,77.0,41.0
0.051,-1135.7142857142862,73.71428571428532,52.92857142857133,18.214285714285666,11.285714285714278,-8.785714285714288,19775.0,4587.0,931.0,255.0,53.0,32.0
0.0529,1156.4999999999964,280.3571428571422,7.14285714285711,46.42857142857139,-38.14285714285715,-4.2857142857142865,21006.0,4250.0,1075.0,225.0,106.0,15.0
0.0549,1421.4999999999964,297.57142857142844,28.57142857142844,-20.142857142857167,-7.571428571428584,15.857142857142854,18766.0,4581.0,1125.0,288.0,104.0,27.0
0.0569,2931.9999999999964,296.07142857142844,78.99999999999977,50.571428571428555,9.571428571428555,-6.714285714285715,23543.0,5720.0,1221.0,278.0,94.0,46.0
0.0588,2826.4999999999964,947.0714285714284,471.2857142857142,64.57142857142856,20.64285714285714,17.999999999999993,25386.0,5144.0,1143.0,289.0,74.0,32.0
0.0608,4852.214285714283,1622.6428571428569,557.7857142857142,183.35714285714283,25.642857142857125,13.642857142857139,21971.0,5372.0,1144.0,272.0,94.0,56.0
0.0627,5468.142857142855,2369.9285714285706,1145.5714285714284,257.1428571428571,84.64285714285711,13.357142857142854,24614.0,5389.0,1108.0,300.0,110.0,42.0
0.0647,9355.357142857141,4055.5714285714275,1331.0714285714284,376.71428571428567,131.6428571428571,23.14285714285714,22200.0,5423.0,1260.0,309.0,88.0,34.0
0.0667,9102.928571428569,4989.0714285714275,1910.428571428571,569.6428571428571,216.71428571428567,72.99999999999999,22881.0,5627.0,1361.0,275.0,69.0,27.0
0.0686,11098.071428571428,5592.499999999998,2627.2142857142853,902.2857142857142,264.71428571428567,82.99999999999999,27343.0,5720.0,1346.0,337.0,121.0,42.0
0.0706,13909.571428571428,7981.928571428571,3203.0714285714284,1159.2857142857142,333.21428571428567,68.99999999999999,21544.0,4477.0,988.0,230.0,90.0,56.0
0.0725,16657.714285714283,9727.714285714284,4338.999999999999,1613.9285714285713,561.0714285714286,179.85714285714283,20828.0,4808.0,1161.0,270.0,80.0,38.0
0.0745,17853.714285714283,11188.642857142855,5639.0714285714275,2193.5714285714284,753.1428571428571,230.99999999999997,19832.0,4306.0,1127.0,335.0,79.0,19.0
0.0765,21781.499999999993,12790.571428571428,6401.428571428571,2780.642857142857,985.9285714285713,331.9285714285714,18306.0,4563.0,1195.0,314.0,98.0,27.0
0.0784,22534.428571428565,14823.428571428569,7905.357142857141,3408.9999999999995,1284.9285714285713,425.9285714285714,18637.0,4373.0,1075.0,391.0,124.0,33.0
0.0804,24601.357142857138,16625.999999999996,9415.42857142857,4422.357142857142,1702.2142857142856,491.07142857142856,17004.0,4574.0,1131.0,333.0,121.0,75.0
0.0824,26650.071428571428,18607.714285714283,10891.857142857141,5116.571428571428,1905.4285714285713,737.9285714285713,15441.0,4103.0,1176.0,387.0,141.0,46.0
0.0843,29128.499999999993,20645.42857142857,12738.499999999998,6506.357142857142,2715.142857142857,994.2142857142856,15609.0,3876.0,1149.0,474.0,167.0,54.0
0.0863,31416.78571428571,23365.214285714283,14474.499999999998,7793.285714285714,3403.642857142857,1361.5714285714284,15260.0,3733.0,1288.0,496.0,216.0,67.0
0.0882,32203.999999999993,25185.714285714283,16935.571428571428,9314.571428571428,4265.857142857142,1772.0714285714284,16571.0,4125.0,1318.0,664.0,327.0,94.0
0.0902,33845.71428571428,26944.499999999996,18712.785714285714,10929.714285714284,5227.285714285714,2177.2142857142853,15440.0,4118.0,1489.0,656.0,312.0,121.0
0.0922,34788.07142857142,29257.78571428571,21492.42857142857,13074.714285714284,6433.5714285714275,2782.8571428571427,14928.0,4119.0,1554.0,736.0,345.0,185.0
0.0941,36174.21428571428,31346.0,23005.999999999996,14882.071428571428,8313.642857142857,3835.2857142857138,15574.0,4229.0,1719.0,834.0,431.0,204.0
0.0961,38399.642857142855,33093.0,25476.28571428571,17003.785714285714,9744.071428571428,4466.142857142857,15545.0,4382.0,1888.0,998.0,497.0,266.0
0.098,38405.21428571428,34594.78571428571,27664.714285714283,19361.142857142855,11540.142857142857,5782.214285714285,16093.0,4732.0,1921.0,1096.0,617.0,316.0
0.1,39404.928571428565,36138.21428571428,30081.071428571424,21614.35714285714,13476.714285714284,6955.285714285714,16179.0,4510.0,1960.0,1216.0,759.0,384.0
0.102,39810.49999999999,37174.71428571428,32349.0,23534.28571428571,15516.285714285712,8644.214285714284,14827.0,4561.0,2126.0,1355.0,848.0,429.0
0.1039,40938.49999999999,38943.85714285714,33368.5,25741.35714285714,17820.5,9850.214285714284,16324.0,4924.0,2219.0,1539.0,917.0,523.0
0.1059,40922.35714285714,39958.85714285714,34817.21428571428,27880.28571428571,20304.142857142855,12822.214285714284,14858.0,5259.0,2481.0,1659.0,1128.0,676.0
0.1078,41613.64285714285,39898.642857142855,36747.78571428571,30456.142857142855,22092.071428571428,13987.642857142855,22356.0,6071.0,2429.0,1926.0,1249.0,707.0
0.1098,42443.928571428565,41516.35714285714,38273.642857142855,32499.0,24931.714285714283,16097.571428571428,13515.0,4289.0,2596.0,1976.0,1379.0,906.0
0.1118,43220.99999999999,41307.35714285714,39532.57142857143,34184.71428571428,26908.35714285714,18068.285714285714,10704.0,4123.0,2671.0,2176.0,1622.0,1046.0
0.1137,41707.142857142855,42204.57142857143,40257.35714285714,36615.928571428565,29017.571428571424,20866.214285714283,14000.0,4599.0,2848.0,2343.0,1786.0,1257.0
0.1157,43182.428571428565,43024.428571428565,41219.142857142855,37606.28571428571,31935.5,23328.999999999996,11164.0,4522.0,3338.0,2733.0,2102.0,1521.0
0.1176,43298.49999999999,43369.142857142855,42646.35714285714,39649.78571428571,33676.85714285714,26110.35714285714,11439.0,4738.0,3434.0,3077.0,2641.0,1920.0
0.1196,44653.99999999999,45053.57142857142,44039.35714285714,41148.71428571428,36416.78571428571,28553.28571428571,12421.0,5100.0,3916.0,3487.0,2985.0,2361.0
0.1216,44888.71428571428,45427.21428571428,44998.78571428571,43369.57142857143,38278.85714285714,31922.928571428565,13447.0,6371.0,4903.0,4409.0,3864.0,3111.0
0.1235,48223.99999999999,46995.21428571428,47355.57142857142,44643.78571428571,41915.28571428571,34558.78571428571,13626.0,7453.0,5773.0,5433.0,4799.0,4093.0
0.1255,50805.35714285713,49611.428571428565,49578.99999999999,48489.99999999999,45245.49999999999,38586.99999999999,16725.0,8735.0,7571.0,7010.0,6392.0,5238.0
0.1275,53323.642857142855,53016.99999999999,52463.78571428571,51512.14285714285,48727.78571428571,43130.28571428571,17096.0,10858.0,9738.0,9270.0,8724.0,7434.0
