Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014)
0.049,-1150.9285714285725,-9.785714285715585,-78.14285714285734,-101.85714285714289,39.42857142857139,36342.0,12858.0,4071.0,1409.0,382.0
0.0529,-652.2142857142899,210.57142857142753,-47.64285714285779,-30.92857142857156,-29.714285714285722,43879.0,13218.0,4378.0,1272.0,394.0
0.0569,-2126.2857142857174,-266.21428571428623,42.14285714285688,270.92857142857133,38.42857142857139,40337.0,12693.0,4315.0,1288.0,408.0
0.0608,2405.5714285714203,1003.785714285712,256.7142857142853,15.357142857142662,12.357142857142833,48273.0,14448.0,4254.0,1215.0,343.0
0.0647,-966.2857142857174,310.8571428571413,72.35714285714221,-42.57142857142867,35.071428571428555,42377.0,13332.0,4033.0,1014.0,256.0
0.0686,567.9285714285652,282.92857142857065,-110.28571428571468,-17.92857142857156,-30.21428571428578,44941.0,15376.0,4146.0,1234.0,432.0
0.0725,1199.4285714285652,246.3571428571413,-120.78571428571468,-64.35714285714312,50.0,46472.0,16309.0,4619.0,1759.0,525.0
0.0765,1753.9999999999927,-1760.357142857145,-125.78571428571468,38.71428571428555,-68.14285714285717,55846.0,16280.0,5249.0,1597.0,461.0
0.0804,-142.42857142857974,831.1428571428551,-474.42857142857156,55.35714285714266,-59.35714285714289,52446.0,16126.0,5703.0,1550.0,479.0
0.0843,-549.9285714285797,-114.78571428571558,-178.42857142857156,46.99999999999977,11.14285714285711,55766.0,15588.0,4657.0,1178.0,346.0
0.0882,-656.7857142857174,994.3571428571413,236.14285714285688,6.785714285714221,-25.142857142857167,42155.0,12486.0,3871.0,1220.0,368.0
0.0922,304.2142857142826,-921.7142857142862,-282.07142857142935,-68.21428571428578,-1.7142857142857792,46644.0,15036.0,4866.0,1445.0,466.0
0.0961,586.9999999999927,154.07142857142753,120.92857142857065,-170.28571428571445,-24.21428571428578,43313.0,14337.0,4788.0,1581.0,501.0
0.1,-1087.0000000000073,238.49999999999818,-146.07142857142935,72.14285714285688,64.21428571428567,49862.0,14624.0,4955.0,1485.0,434.0
0.1039,2181.8571428571377,1510.4285714285706,699.0714285714284,114.49999999999977,73.85714285714283,45186.0,13336.0,4417.0,1323.0,394.0
0.1078,10468.57142857142,4452.785714285714,1915.7142857142853,682.6428571428569,298.7857142857142,44435.0,15424.0,4920.0,1512.0,403.0
0.1118,13126.857142857138,7018.785714285714,3479.142857142856,1487.4999999999995,589.3571428571428,43491.0,13233.0,4553.0,1575.0,391.0
0.1157,16779.214285714283,10755.499999999996,5814.999999999998,2700.0,1023.2142857142856,44894.0,15382.0,4510.0,1475.0,525.0
0.1196,21437.5,15015.999999999996,8193.142857142855,4416.785714285714,1536.7142857142853,49625.0,12709.0,4614.0,1635.0,524.0
0.1235,24626.78571428571,18067.999999999996,11212.357142857141,5722.499999999999,2621.3571428571427,41250.0,12782.0,4618.0,1590.0,484.0
0.1275,27053.28571428571,21403.071428571428,13978.285714285714,7639.357142857141,3528.0714285714284,40211.0,14438.0,5186.0,1816.0,663.0
0.1314,29618.07142857142,24196.0,16970.214285714283,10036.571428571428,4896.214285714285,47448.0,13904.0,4903.0,1867.0,727.0
0.1353,34475.999999999985,26803.28571428571,19106.35714285714,12178.857142857141,6542.0714285714275,43574.0,15061.0,6424.0,1939.0,749.0
0.1392,32852.642857142855,28618.999999999993,21318.35714285714,14971.214285714283,8496.0,50542.0,15931.0,6462.0,2302.0,879.0
0.1431,32908.428571428565,31913.499999999993,24962.35714285714,17039.35714285714,9999.214285714284,49838.0,15374.0,5343.0,2291.0,949.0
0.1471,37802.499999999985,33097.35714285714,27557.78571428571,19951.071428571428,12594.214285714284,41910.0,14783.0,5544.0,2340.0,1204.0
0.151,36160.78571428571,34623.99999999999,30447.0,22751.642857142855,15016.214285714283,53816.0,19151.0,7053.0,3218.0,1382.0
0.1549,38257.428571428565,37573.142857142855,32720.571428571428,25744.571428571428,17675.92857142857,41064.0,14084.0,5958.0,2784.0,1458.0
0.1588,41236.142857142855,39112.35714285714,34313.07142857143,28606.85714285714,20806.499999999996,41671.0,16068.0,6653.0,2986.0,1731.0
0.1627,41978.928571428565,39175.928571428565,36481.928571428565,31725.571428571428,24062.142857142855,40105.0,14183.0,6227.0,3228.0,1770.0
0.1667,41846.714285714275,39645.07142857142,38517.99999999999,34211.85714285714,27206.642857142855,40064.0,15246.0,6407.0,3256.0,1913.0
0.1706,44749.07142857142,41287.35714285714,39549.57142857143,36655.49999999999,31090.428571428565,36467.0,14068.0,6029.0,3307.0,2106.0
0.1745,40407.214285714275,41509.49999999999,40726.07142857143,38113.07142857143,33452.85714285714,42566.0,15103.0,6590.0,3528.0,2365.0
0.1784,43590.499999999985,41970.28571428571,42143.49999999999,39901.99999999999,35592.21428571428,38122.0,15019.0,6144.0,3723.0,2506.0
0.1824,43384.214285714275,43123.142857142855,42675.28571428571,41293.57142857143,37317.642857142855,38114.0,15459.0,6889.0,3735.0,2702.0
0.1863,43230.714285714275,42594.07142857142,43058.49999999999,42008.71428571428,39590.928571428565,42880.0,15997.0,6754.0,3777.0,2743.0
0.1902,43793.07142857142,43737.642857142855,43363.78571428571,42804.35714285714,40859.928571428565,35348.0,13457.0,6363.0,3776.0,2849.0
0.1941,43058.428571428565,44411.78571428571,44008.28571428571,42894.49999999999,42209.35714285714,42463.0,14290.0,6856.0,4018.0,3046.0
0.198,41277.642857142855,43775.78571428571,43849.928571428565,43618.142857142855,42724.57142857143,44642.0,16701.0,7184.0,4064.0,3054.0
0.202,43915.428571428565,44436.21428571428,44424.28571428571,44473.07142857143,43245.85714285714,38881.0,14187.0,6565.0,4143.0,3097.0
0.2059,45476.28571428571,45322.21428571428,44854.21428571428,44064.35714285714,44318.49999999999,36588.0,14201.0,6619.0,4016.0,3244.0
0.2098,43570.642857142855,43819.49999999999,45269.21428571428,44912.428571428565,44565.28571428571,37874.0,15943.0,6629.0,3959.0,3274.0
0.2137,43758.85714285713,45220.07142857142,45828.428571428565,44673.28571428571,44465.928571428565,35759.0,13171.0,6293.0,3991.0,3318.0
0.2176,46626.642857142855,45317.35714285714,45064.142857142855,45267.07142857142,45196.928571428565,36793.0,13788.0,6418.0,4024.0,3362.0
0.2216,46231.499999999985,45116.35714285714,45442.428571428565,45409.49999999999,45100.71428571428,33481.0,13489.0,6479.0,4053.0,3310.0
0.2255,45478.85714285713,46332.57142857142,46117.85714285714,45280.928571428565,45499.71428571428,38189.0,14521.0,6650.0,4303.0,3436.0
0.2294,46051.999999999985,46068.14285714285,45684.35714285714,45241.57142857142,45992.21428571428,38123.0,15139.0,6821.0,4362.0,3431.0
0.2333,46932.142857142855,45850.07142857142,46025.49999999999,45563.78571428571,46052.85714285714,38825.0,14891.0,6887.0,4313.0,3440.0
0.2373,46864.85714285713,46251.928571428565,46690.35714285714,46311.35714285714,46252.142857142855,38128.0,14832.0,6990.0,4444.0,3530.0
0.2412,45561.07142857142,46892.57142857142,46451.642857142855,46742.28571428571,46035.928571428565,40830.0,14811.0,6793.0,4397.0,3598.0
0.2451,46241.714285714275,46945.07142857142,47052.142857142855,46170.28571428571,47105.57142857142,41469.0,14796.0,7080.0,4394.0,3623.0
0.249,48391.28571428571,47627.71428571428,47323.35714285714,46789.21428571428,47006.57142857142,37748.0,14308.0,7132.0,4659.0,3672.0
0.2529,47629.35714285713,48290.21428571428,46937.78571428571,46655.642857142855,47111.99999999999,42601.0,15183.0,7564.0,4739.0,3863.0
0.2569,47279.57142857142,47788.85714285714,47937.78571428571,47446.21428571428,47162.928571428565,37599.0,14904.0,7064.0,4627.0,4021.0
0.2608,45096.28571428571,47069.49999999999,48583.142857142855,47731.21428571428,47594.35714285714,41168.0,15693.0,7799.0,5292.0,4286.0
