Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014)
0.049,-442.7142857142899,431.17857142857065,-29.17857142857156,-1.1071428571428896,-38.57142857142861,42144.5,13934.0,4464.0,1489.5,422.5
0.0529,725.6785714285652,-189.35714285714494,213.39285714285688,36.07142857142844,30.607142857142833,44564.5,14159.0,4787.5,1555.0,418.5
0.0569,-1261.2857142857174,45.8571428571413,257.42857142857065,97.42857142857133,-10.000000000000057,45222.0,14559.5,4451.5,1461.5,435.0
0.0608,226.03571428571013,-186.50000000000182,182.42857142857065,71.60714285714266,3.2142857142856656,48607.0,15974.0,4539.0,1565.0,482.5
0.0647,1861.142857142855,-494.85714285714494,236.64285714285688,29.28571428571422,37.49999999999994,43296.0,13777.0,4195.5,1435.0,387.5
0.0686,-286.7142857142899,-656.1071428571431,-79.89285714285734,1.1071428571426623,16.821428571428555,40138.5,12469.5,3929.0,1310.5,380.5
0.0725,-161.25000000000728,378.2142857142844,-129.03571428571468,3.2857142857142208,-43.21428571428572,40467.5,12720.0,4583.5,1398.5,420.0
0.0765,-1338.5000000000073,-574.9285714285725,189.3571428571422,-71.82142857142867,4.964285714285666,42751.0,14041.0,4516.0,1362.0,374.5
0.0804,455.2142857142826,-282.2500000000018,-171.3928571428578,69.46428571428555,-20.071428571428612,32568.0,11388.5,5020.5,1510.0,466.5
0.0843,-1912.5000000000073,-531.1785714285725,-190.35714285714312,10.321428571428442,-7.821428571428612,48612.5,16028.5,4897.5,1149.5,323.0
0.0882,-605.5714285714348,-73.96428571428623,19.928571428571104,14.464285714285666,-4.678571428571445,33964.5,10819.5,3476.5,1002.5,302.0
0.0922,-3.214285714289872,-82.53571428571558,-104.28571428571468,23.78571428571422,1.1428571428571104,33942.5,10249.5,3290.0,1053.0,331.0
