Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014)
0.098,1164.2857142857101,25.92857142856883,17.785714285713766,-24.71428571428578,20.64285714285711,72875.0,18483.0,4284.0,989.0,249.0
0.102,-3975.21428571429,-487.50000000000364,157.21428571428532,-51.85714285714289,155.4285714285714,73452.0,19850.0,4541.0,1134.0,241.0
0.1059,2961.4999999999854,-41.785714285717404,159.92857142857065,42.28571428571422,110.85714285714283,75026.0,18540.0,4424.0,1022.0,282.0
0.1098,-979.5,-693.3571428571449,-271.1428571428578,-68.57142857142867,62.071428571428555,67617.0,17313.0,4489.0,1140.0,229.0
0.1137,1108.4285714285652,-602.2857142857174,-19.92857142857156,45.42857142857133,-70.00000000000003,74888.0,20938.0,4936.0,1151.0,320.0
0.1176,1699.8571428571304,-314.21428571428623,-156.35714285714312,183.28571428571422,35.14285714285711,73268.0,19091.0,4851.0,956.0,322.0
0.1216,1897.5714285714203,-1824.7142857142862,407.6428571428569,-62.71428571428578,-27.928571428571445,84506.0,22639.0,5312.0,1302.0,344.0
0.1255,-2140.0000000000146,1456.4285714285688,149.42857142857065,-14.21428571428578,43.214285714285666,86690.0,21615.0,4872.0,1191.0,305.0
0.1294,-4129.71428571429,-561.3571428571449,131.07142857142844,-127.07142857142867,46.714285714285666,80419.0,17531.0,4560.0,1086.0,264.0
0.1333,-5521.571428571435,-1141.6428571428587,-285.1428571428578,-97.92857142857156,60.35714285714283,83118.0,20922.0,4853.0,1164.0,270.0
0.1373,-8431.642857142862,-1441.1428571428587,317.28571428571377,-71.0,-46.285714285714306,67437.0,17534.0,4022.0,1121.0,257.0
0.1412,-4587.357142857152,-1536.714285714288,-249.35714285714312,-52.07142857142867,-50.64285714285717,70057.0,16901.0,3869.0,911.0,331.0
0.1451,3025.8571428571304,-13.071428571429351,-85.71428571428623,-28.000000000000114,34.571428571428555,65942.0,16072.0,3825.0,778.0,194.0
0.149,-5431.92857142858,-1181.357142857145,-26.285714285714675,-75.64285714285722,-56.00000000000003,68973.0,17801.0,3987.0,906.0,256.0
0.1529,-6671.142857142862,-1099.1428571428587,142.42857142857065,131.42857142857133,22.357142857142833,66014.0,17067.0,4079.0,665.0,183.0
0.1569,-1695.857142857145,263.42857142856883,-212.07142857142935,-24.5,-16.142857142857167,72128.0,19933.0,4846.0,1087.0,234.0
0.1608,3073.0714285714203,39.785714285713766,-230.64285714285734,105.92857142857133,44.28571428571428,68318.0,17737.0,3861.0,778.0,220.0
0.1647,-941.3571428571522,140.71428571428442,-122.64285714285734,151.71428571428567,118.42857142857139,61836.0,15270.0,3828.0,859.0,228.0
0.1686,-4535.42857142858,65.07142857142753,552.3571428571422,421.85714285714266,285.2857142857142,68439.0,16801.0,4328.0,896.0,254.0
0.1725,2274.8571428571377,1634.7857142857138,484.3571428571422,417.57142857142844,313.21428571428567,58693.0,14767.0,4321.0,886.0,335.0
0.1765,372.4999999999927,1576.7857142857138,740.5,687.0714285714284,629.5714285714284,64490.0,19025.0,3847.0,854.0,274.0
0.1804,-5593.142857142862,1820.7857142857138,1071.499999999999,1065.9285714285713,1020.8571428571427,64586.0,15706.0,3841.0,893.0,322.0
0.1843,-2912.9285714285797,1367.2142857142826,1488.7857142857138,1715.6428571428569,1757.0714285714284,61704.0,15181.0,4663.0,1179.0,359.0
0.1882,7278.214285714275,2529.642857142855,3073.357142857142,2558.642857142857,2553.642857142857,76695.0,17290.0,3182.0,836.0,216.0
0.1922,-755.3571428571522,3414.642857142855,3781.499999999999,3547.7857142857138,3646.9285714285706,61275.0,17605.0,4381.0,1229.0,487.0
0.1961,7552.0,5125.785714285714,5178.642857142857,5209.428571428571,5365.857142857142,66223.0,17051.0,4066.0,1062.0,352.0
0.2,9671.0,6593.357142857141,7211.857142857141,7098.5714285714275,7314.999999999999,61729.0,16087.0,3856.0,1180.0,510.0
0.2039,6701.85714285713,8211.214285714283,9179.42857142857,9197.42857142857,9316.499999999998,70616.0,18937.0,5117.0,1449.0,696.0
0.2078,7424.78571428571,12047.071428571424,11905.5,11836.285714285714,12254.42857142857,69827.0,18169.0,4807.0,1503.0,792.0
0.2118,14302.35714285713,13457.714285714283,14469.714285714283,15156.785714285714,14999.571428571428,79478.0,22478.0,5266.0,1620.0,879.0
0.2157,23342.57142857142,17923.0,18298.571428571428,17904.785714285714,18019.35714285714,74911.0,20077.0,5630.0,1797.0,986.0
0.2196,23087.428571428565,22338.714285714283,21128.28571428571,21619.999999999996,21441.42857142857,56134.0,15597.0,4561.0,1755.0,1180.0
0.2235,24658.57142857142,23902.428571428565,24502.142857142855,24855.142857142855,24660.571428571428,63670.0,16744.0,5030.0,2027.0,1293.0
0.2275,28990.928571428565,26225.78571428571,28302.35714285714,27760.92857142857,27893.214285714283,60143.0,15426.0,4253.0,2048.0,1580.0
0.2314,29041.35714285713,30027.78571428571,31196.071428571428,31574.28571428571,31412.28571428571,54914.0,15549.0,4920.0,2315.0,1652.0
0.2353,36947.07142857142,33513.21428571428,33811.07142857143,34499.85714285714,34314.71428571428,64544.0,16360.0,4955.0,2468.0,1946.0
0.2392,37601.142857142855,36549.35714285714,37130.642857142855,37335.142857142855,36617.142857142855,57281.0,15306.0,4939.0,2472.0,2140.0
0.2431,39146.85714285713,39403.57142857142,38813.928571428565,38899.28571428571,39047.428571428565,54896.0,15050.0,5195.0,2740.0,2224.0
0.2471,39978.57142857142,41198.928571428565,41502.49999999999,41759.642857142855,41367.28571428571,58525.0,17260.0,5435.0,2985.0,2422.0
0.251,46089.428571428565,42432.78571428571,43072.28571428571,43278.35714285714,42921.28571428571,62282.0,17419.0,5617.0,3127.0,2518.0
0.2549,43773.78571428571,44097.14285714285,44406.928571428565,44601.49999999999,44104.99999999999,63153.0,18610.0,5802.0,3286.0,2695.0
