Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),Counts_TL6(0.015),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014),DCounts_TL6(0.015)
0.2941,2244.2142857142608,65.42857142856519,-583.0000000000036,-29.142857142858702,-63.35714285714312,28.42857142857065,132904.0,60206.0,32533.0,17622.0,9933.0,5393.0
0.298,-4299.285714285725,-459.2142857142899,246.92857142856883,-82.50000000000364,-331.5000000000018,-51.57142857142935,124585.0,56811.0,32387.0,20320.0,10969.0,5398.0
0.302,-4745.92857142858,104.07142857142026,-158.21428571428987,68.92857142856883,498.3571428571413,36.285714285713766,120737.0,57237.0,31060.0,18090.0,10807.0,5553.0
0.3059,3566.78571428571,-1508.6428571428623,-750.8571428571449,-141.92857142857247,-16.357142857143117,162.14285714285688,137910.0,63364.0,32958.0,18833.0,10686.0,5595.0
0.3098,-179.14285714286962,-1259.0000000000073,635.3571428571377,86.7142857142826,10.071428571427532,-88.92857142857156,131497.0,61759.0,33220.0,19049.0,10606.0,5830.0
0.3137,2737.0714285714203,1475.5,796.3571428571377,-406.7857142857174,129.3571428571413,142.42857142857065,133404.0,65187.0,33134.0,19705.0,11151.0,5854.0
0.3176,-7329.571428571435,-683.3571428571449,575.3571428571413,120.28571428571377,447.07142857142753,-26.357142857143117,135001.0,60328.0,31605.0,18844.0,10644.0,5521.0
0.3216,-3545.8571428571595,-2179.2857142857174,193.92857142856883,163.2142857142826,104.07142857142753,237.71428571428532,141278.0,64115.0,32040.0,18760.0,10662.0,5498.0
0.3255,-2265.5,243.28571428571013,836.3571428571413,362.78571428571377,1.642857142856883,160.92857142857065,136428.0,59921.0,30719.0,17989.0,10518.0,5798.0
0.3294,-933.7857142857247,-122.35714285714494,709.6428571428551,357.42857142856883,401.57142857142753,60.57142857142844,130707.0,59892.0,32460.0,18564.0,10627.0,5793.0
