Bias_Current,Counts_TL1(0.008),Counts_TL2(0.009),Counts_TL3(0.010),Counts_TL4(0.011),Counts_TL5(0.012),DCounts_TL1(0.008),DCounts_TL2(0.009),DCounts_TL3(0.010),DCounts_TL4(0.011),DCounts_TL5(0.012)
0.098,10014.64285714284,9709.142857142855,5591.404761904761,2513.928571428571,837.3333333333333,290363.3333333333,56123.0,7674.666666666667,1145.0,162.66666666666666
0.102,10517.047619047633,13204.904761904749,7024.523809523808,3338.0714285714284,1283.9761904761904,276035.3333333333,53382.0,6743.333333333333,1103.0,160.66666666666666
0.1059,13324.547619047633,14756.595238095237,9098.571428571428,4601.4047619047615,1835.1190476190475,272515.3333333333,49810.666666666664,7296.666666666667,1039.6666666666667,183.33333333333334
0.1098,17962.64285714284,18088.333333333336,11294.40476190476,6040.5714285714275,2530.4523809523807,269090.3333333333,51811.666666666664,7380.0,1213.0,213.0
0.1137,21804.380952380947,21182.97619047619,14446.40476190476,8097.857142857142,3694.4761904761904,274656.3333333333,51286.666666666664,7844.666666666667,1536.6666666666667,362.6666666666667
0.1176,28099.49999999994,26884.785714285703,18731.214285714283,11035.761904761903,5389.428571428572,262479.6666666667,53758.666666666664,9508.666666666666,2477.3333333333335,790.3333333333334
0.1216,38461.14285714278,36233.69047619047,26465.83333333333,16427.809523809523,8372.90476190476,286137.6666666667,55880.0,10930.0,3504.3333333333335,1322.3333333333333
0.1255,56535.190476190444,54011.42857142856,40435.85714285714,26641.619047619046,14425.809523809523,261649.33333333334,54118.333333333336,11223.666666666666,3781.0,1564.6666666666667
0.1294,78305.78571428568,75508.73809523808,59226.738095238084,39993.45238095238,22623.04761904762,263446.0,52240.666666666664,11189.333333333334,4216.666666666667,1804.3333333333333
0.1333,97594.38095238092,92320.21428571426,73902.78571428571,52362.666666666664,31878.92857142857,257474.66666666666,51503.0,11024.0,3895.6666666666665,1771.6666666666667
0.1373,108951.119047619,103669.73809523808,84860.5476190476,62838.47619047618,41036.49999999999,254284.0,54079.666666666664,10512.666666666666,3277.0,1351.0
0.1412,110370.99999999994,105521.28571428571,88079.78571428571,68662.83333333333,48573.09523809524,287145.6666666667,55109.666666666664,9322.0,2466.3333333333335,1006.6666666666666
0.1451,101801.88095238089,94893.3095238095,83964.38095238095,68710.66666666667,53125.95238095238,294588.0,58076.333333333336,8513.0,2189.3333333333335,871.6666666666666
0.149,83718.42857142858,82868.5476190476,74596.21428571428,65550.73809523808,54729.09523809523,297211.3333333333,56163.0,8877.0,2023.6666666666667,792.3333333333334
0.1529,74257.88095238089,73080.78571428571,67399.64285714286,62193.69047619047,55532.35714285714,278048.6666666667,54337.666666666664,8045.0,1836.6666666666667,748.0
0.1569,66733.97619047615,65567.2619047619,62678.166666666664,59774.49999999999,56140.16666666666,300077.3333333333,54091.666666666664,8492.666666666666,1746.3333333333333,772.3333333333334
0.1608,69425.66666666663,63215.523809523795,60149.21428571428,58607.16666666666,56509.2619047619,270566.0,50210.666666666664,8340.666666666666,1780.3333333333333,783.0
0.1647,64682.45238095237,60052.190476190466,59147.214285714275,58176.07142857142,57335.261904761894,306769.3333333333,55557.333333333336,7626.0,1773.3333333333333,790.3333333333334
0.1686,62283.28571428568,60467.83333333332,59070.61904761904,57884.04761904762,57402.80952380952,272822.6666666667,52494.666666666664,7627.0,1676.6666666666667,821.0
0.1725,61912.78571428568,59669.99999999999,58961.54761904761,58446.0238095238,57771.404761904756,287539.0,52538.333333333336,8128.333333333333,1776.0,861.3333333333334
0.1765,58689.54761904763,60722.57142857141,59091.57142857143,58355.666666666664,58363.30952380952,277650.3333333333,53072.666666666664,7903.666666666667,1852.6666666666667,948.0
0.1804,65595.47619047615,61024.99999999999,59584.07142857143,59041.09523809523,58616.88095238095,275245.0,52016.666666666664,7848.666666666667,1847.0,1039.6666666666667
