Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012)
0.3529,227.73809523809473,276.2857142857142,278.2619047619047,1996.6666666666667,363.0,105.66666666666667
0.3569,343.85714285714266,364.9523809523809,398.9761904761905,2057.3333333333335,374.3333333333333,129.0
0.3608,570.2857142857142,575.6904761904761,588.0952380952381,2110.6666666666665,404.6666666666667,175.0
0.3647,862.9047619047615,752.238095238095,759.142857142857,2149.0,459.6666666666667,223.0
0.3686,1101.404761904762,1117.8809523809523,1119.3095238095236,2214.6666666666665,530.3333333333334,267.0
0.3725,1491.4523809523807,1473.8571428571427,1472.4047619047617,2327.0,619.0,385.3333333333333
0.3765,2086.928571428571,2084.0238095238096,2008.6190476190475,2555.3333333333335,729.6666666666666,480.6666666666667
0.3804,2714.3809523809523,2675.047619047619,2702.1190476190473,2588.0,860.6666666666666,624.6666666666666
0.3843,3504.4285714285706,3566.4523809523803,3551.261904761904,2717.0,1018.6666666666666,774.3333333333334
0.3882,4454.095238095237,4452.023809523809,4415.261904761904,3017.3333333333335,1245.0,993.6666666666666
0.3922,5574.214285714286,5626.166666666666,5724.166666666666,3315.6666666666665,1503.0,1196.6666666666667
0.3961,7149.642857142855,7100.2380952380945,7089.523809523808,3528.3333333333335,1811.6666666666667,1536.6666666666667
0.4,8707.476190476189,8610.642857142857,8840.095238095237,3849.6666666666665,2125.6666666666665,1856.3333333333333
0.4039,10751.047619047618,10631.5,10494.095238095237,4284.666666666667,2522.6666666666665,2244.0
0.4078,12519.40476190476,12573.809523809521,12521.92857142857,4805.0,3083.3333333333335,2737.0
0.4118,14807.52380952381,15060.571428571426,14852.642857142857,5260.333333333333,3484.6666666666665,3233.6666666666665
0.4157,17358.571428571424,17644.40476190476,17214.499999999996,5986.666666666667,4113.333333333333,3864.6666666666665
0.4196,19799.880952380947,20033.523809523806,20183.285714285714,6856.666666666667,4767.666666666667,4356.0
0.4235,22570.90476190476,23014.809523809523,22963.309523809523,7366.0,5392.333333333333,5148.0
0.4275,26099.309523809523,26280.452380952378,26113.380952380947,8095.333333333333,6246.333333333333,5805.666666666667
0.4314,29316.7619047619,29263.30952380952,28948.571428571424,9029.666666666666,6973.0,6613.333333333333
0.4353,32243.523809523802,32321.238095238088,32082.095238095233,9791.0,7765.666666666667,7439.333333333333
0.4392,35595.904761904756,35656.21428571428,35155.452380952374,10724.333333333334,8658.666666666666,8321.333333333334
0.4431,38736.73809523809,38647.99999999999,38862.83333333333,11762.666666666666,9510.333333333334,9158.0
0.4471,41724.642857142855,42032.85714285714,42125.85714285714,12520.0,10376.666666666666,10183.666666666666
0.451,44992.09523809524,45204.28571428571,45024.88095238095,13637.666666666666,11451.666666666666,11273.333333333334
0.4549,48957.07142857143,48618.07142857142,48607.261904761894,14400.666666666666,12481.333333333334,12143.333333333334
0.4588,51915.64285714285,51903.16666666666,52095.21428571428,15637.333333333334,13526.0,13294.666666666666
0.4627,55612.16666666666,55491.761904761894,55799.166666666664,16783.666666666668,14713.0,14371.666666666666
0.4667,59765.928571428565,59292.95238095237,60503.23809523809,18159.666666666668,15913.0,15642.0
0.4706,64197.47619047618,64717.47619047618,63867.761904761894,19401.333333333332,17523.0,17412.0
0.4745,77879.30952380951,75818.5476190476,76157.88095238093,21582.0,21188.0,20723.666666666668
0.4784,195697.38095238092,175553.14285714284,170677.3333333333,40588.333333333336,43487.333333333336,46497.666666666664
0.4824,595744.6428571427,586516.2857142857,531425.5238095238,186058.33333333334,181148.0,200184.0
0.4863,760369.5714285712,683775.0714285712,863042.4047619046,780767.3333333334,786799.3333333334,686432.0
0.4902,781879.3809523808,696160.1904761905,713547.857142857,1501839.6666666667,1584074.3333333333,1551236.6666666667
0.4941,680592.2619047617,680065.4523809524,596833.5714285714,2518900.0,2475694.6666666665,2468486.6666666665
0.498,180246.33333333302,307255.0476190476,274609.9047619044,3384495.3333333335,3233430.6666666665,3229835.3333333335
0.502,9468.85714285681,23685.261904761195,37629.45238095196,3666899.0,3619890.3333333335,3594805.6666666665
0.5,107059.3809523806,133587.59523809515,109248.59523809468,3543709.6666666665,3476729.6666666665,3475560.3333333335
