Bias_Current,Counts_TL1(0.009),Counts_TL2(0.010),Counts_TL3(0.011),Counts_TL4(0.012),DCounts_TL1(0.009),DCounts_TL2(0.010),DCounts_TL3(0.011),DCounts_TL4(0.012)
0.3137,-458.095238095244,-293.83333333333394,-36.45238095238119,35.2619047619047,56661.666666666664,13989.666666666666,3718.0,898.6666666666666
0.3176,-347.95238095238165,-45.40476190476329,-21.66666666666697,-33.02380952380963,56683.666666666664,13996.0,3730.0,919.3333333333334
0.3216,-92.7857142857174,-99.35714285714494,-55.04761904761972,17.642857142856997,55357.666666666664,13652.333333333334,3719.3333333333335,927.0
0.3255,-1157.6428571428623,-593.0476190476202,-92.0714285714289,-46.92857142857156,56213.0,13965.666666666666,3859.3333333333335,913.0
0.3294,4.047619047611079,-176.42857142857247,-96.23809523809541,-11.40476190476204,56390.0,13863.333333333334,3742.6666666666665,920.3333333333334
0.3333,-827.1190476190532,-210.45238095238346,-100.0714285714289,-14.666666666666742,56117.0,14100.333333333334,3675.6666666666665,939.6666666666666
0.3373,-329.40476190477057,-1.285714285715585,163.88095238095184,-35.04761904761915,56030.0,14020.333333333334,3651.0,932.6666666666666
0.3412,-27.54761904762563,339.5952380952367,-25.761904761905498,32.2619047619047,55471.0,13719.333333333334,3829.3333333333335,935.0
0.3451,89.21428571427532,41.69047619047524,-42.42857142857156,18.214285714285666,55692.333333333336,13797.0,3837.6666666666665,980.0
0.349,543.1190476190386,83.476190476189,-55.26190476190504,-30.166666666666742,56317.0,14282.0,3888.0,984.3333333333334
0.3529,987.3095238095193,184.71428571428442,45.285714285713766,-1.2142857142857792,57232.333333333336,14217.666666666666,3777.3333333333335,944.6666666666666
0.3569,1191.9761904761835,218.1190476190459,19.66666666666606,16.30952380952374,57061.0,13767.0,3680.3333333333335,878.3333333333334
0.3608,1628.4285714285725,409.3333333333321,100.38095238095184,54.2619047619047,50759.666666666664,12590.666666666666,3410.3333333333335,879.6666666666666
0.3647,2499.6190476190386,680.9285714285706,169.14285714285688,34.5,54073.0,13519.666666666666,3663.0,919.6666666666666
0.3686,3787.428571428565,1080.6666666666642,236.4761904761899,89.95238095238074,56509.0,13969.333333333334,3804.0,991.0
0.3725,4797.190476190473,1377.142857142855,476.97619047619037,158.97619047619025,57570.666666666664,14138.333333333334,3842.6666666666665,902.3333333333334
0.3765,5906.928571428565,1773.476190476189,394.47619047619037,105.42857142857133,53977.0,13250.333333333334,3537.6666666666665,899.3333333333334
0.3804,7386.095238095229,2499.142857142857,544.2142857142853,185.8809523809523,51602.0,12474.666666666666,3487.3333333333335,854.0
0.3843,8931.952380952374,2933.2142857142844,1009.071428571428,235.42857142857144,51115.666666666664,12648.333333333334,3415.3333333333335,802.6666666666666
0.3882,10582.595238095237,3387.333333333332,1038.2619047619041,273.83333333333314,49809.666666666664,12304.333333333334,3270.6666666666665,780.3333333333334
0.3922,12668.02380952381,4515.309523809521,1353.309523809523,326.59523809523796,49370.666666666664,11937.666666666666,3158.0,815.6666666666666
0.3961,15677.047619047611,5557.690476190475,1550.1666666666656,412.9999999999999,49817.0,12539.333333333334,3462.3333333333335,870.3333333333334
