Bias_Current,Counts_TL1(0.007),Counts_TL2(0.008),Counts_TL3(0.010),DCounts_TL1(0.007),DCounts_TL2(0.008),DCounts_TL3(0.010)
0.0,-2984.3095238095266,-521.0714285714312,11.761904761904702,151814.66666666666,21463.333333333332,343.0
0.002,-3395.333333333343,-471.69047619047706,-14.35714285714289,151578.66666666666,21233.0,309.0
0.0039,-2739.1428571428696,-575.1428571428587,-61.285714285714334,151923.66666666666,21484.666666666668,363.6666666666667
0.0059,-2258.928571428609,-322.04761904761835,-2.1666666666666856,150683.33333333334,21436.333333333332,306.3333333333333
0.0078,-2168.2380952381063,-512.309523809523,33.14285714285711,152798.0,21684.333333333332,307.3333333333333
0.0098,-3098.0,-225.00000000000364,20.357142857142833,153539.66666666666,21691.666666666668,343.3333333333333
0.0118,-2561.833333333343,-604.5238095238128,-43.47619047619048,153266.0,21786.666666666668,353.0
0.0137,-2294.5714285714203,-277.6428571428587,-25.4285714285715,154207.66666666666,21974.666666666668,345.6666666666667
0.0157,-2573.4761904762127,-94.04761904761835,63.04761904761904,155208.0,21758.333333333332,364.3333333333333
0.0176,-1856.0238095238165,-94.04761904762199,95.07142857142856,154084.0,22025.0,296.0
0.0196,-1362.714285714319,249.02380952380554,120.83333333333331,155460.33333333334,22039.666666666668,358.3333333333333
0.0216,-1766.4047619047633,340.3571428571413,143.42857142857133,154917.0,22281.666666666668,403.0
0.0235,-1207.2857142857392,959.1666666666642,321.23809523809524,156326.33333333334,22078.333333333332,332.3333333333333
0.0255,-98.71428571428987,1373.309523809523,469.1190476190476,154613.0,21846.333333333332,341.0
0.0275,680.5714285713912,1701.7380952380918,780.3571428571427,156931.33333333334,22181.0,350.0
0.0294,1775.3809523809468,2843.8809523809505,1092.1190476190475,154852.0,22037.666666666668,301.3333333333333
0.0314,2922.78571428571,3542.119047619046,1513.238095238095,156304.0,22026.333333333332,332.0
0.0333,4708.214285714261,4951.452380952378,2088.595238095238,153190.0,21533.666666666668,378.6666666666667
0.0353,5072.71428571429,6335.119047619046,3026.380952380952,154004.66666666666,21658.333333333332,326.0
