# metadata,value
mode,qcl
fudge_factor,1
cycles,8
cycles_completed,8
integration_time,2
on_start,0.01
on_stop,0.048
on_dcr_start,0.048
on_dcr_stop,0.048
off_start,0.12
off_stop,2

Bias_Current,Counts_TL1(-0.016),CountsOnDcr_TL1(-0.016),DCounts_TL1(-0.016),ClicksOn_TL1(-0.016),ClicksOnDcr_TL1(-0.016),ClicksOff_TL1(-0.016)
0.0245,-3.0474290780141846,,3.0474290780141846,0.0,0.0,11.0
0.0265,8.996477230309818,,4.709663120567376,1.0,0.0,17.0
0.0284,9.827594251586413,,3.87854609929078,1.0,0.0,14.0
0.0304,-6.094858156028369,,6.094858156028369,0.0,0.0,22.0
0.0324,-1.6622340425531916,,1.6622340425531916,0.0,0.0,6.0
0.0343,-4.155585106382979,,4.155585106382979,0.0,0.0,15.0
0.0363,-3.87854609929078,,3.87854609929078,0.0,0.0,14.0
0.0382,-4.155585106382979,,4.155585106382979,0.0,0.0,15.0
0.0402,10.104633258678613,,3.6015070921985815,1.0,0.0,13.0
0.0422,37.2398749533408,,3.87854609929078,3.0,0.0,14.0
0.0441,5.394970138111235,,8.311170212765958,1.0,0.0,30.0
0.0461,52.33121033967899,,2.4933510638297873,4.0,0.0,9.0
0.048,39.73322601717059,,1.385195035460993,3.0,0.0,5.0
0.05,89.29404628592759,,6.6489361702127665,7.0,0.0,24.0
0.052,380.17042273236285,,3.6015070921985815,28.0,0.0,13.0
0.0539,911.385428331467,,6.925975177304965,67.0,0.0,25.0
0.0559,2158.9212392683835,,6.6489361702127665,158.0,0.0,24.0
0.0578,5219.123273609556,,16.622340425531917,382.0,0.0,60.0
0.0598,9508.4453154162,,31.02836879432624,696.0,0.0,112.0
0.0618,16208.108785927585,,47.37367021276596,1186.0,0.0,171.0
0.0637,27039.954857222845,,84.49689716312056,1979.0,0.0,305.0
0.0657,36681.4372200448,,133.25576241134752,2686.0,0.0,481.0
0.0676,46946.7385218365,,216.0904255319149,3441.0,0.0,780.0
0.0696,53668.812989921615,,264.84929078014187,3935.0,0.0,956.0
0.0716,59455.6912560657,,303.08067375886526,4360.0,0.0,1094.0
0.0735,61629.397629712585,,363.4751773049646,4523.0,0.0,1312.0
0.0755,64423.744284247856,,447.41799645390074,4733.0,0.0,1615.0
0.0775,65479.467035274356,,570.4233156028369,4819.0,0.0,2059.0
0.0794,65014.74139137738,,761.0261524822695,4799.0,0.0,2747.0
0.0814,68368.19650522583,,984.873670212766,5060.0,0.0,3555.0
0.0833,67994.2813316536,,1454.7318262411347,5067.0,0.0,5251.0
0.0853,68988.89511011571,,2200.797872340426,5194.0,0.0,7944.0
0.0873,73435.80860395671,,3441.9326241134754,5609.0,0.0,12424.0
0.0892,72988.65306550951,,5739.417109929078,5744.0,0.0,20717.0
0.0912,76732.22284434491,,9397.163120567377,6284.0,0.0,33920.0
0.0931,81768.73366927958,,16970.301418439718,7204.0,0.0,61256.0
0.0951,99261.54523609557,,32262.577570921985,9596.0,0.0,116455.0
0.0971,158967.70891657335,,69760.36125886525,16688.0,0.0,251807.0
0.099,311299.0067422546,,405422.4844858156,52292.0,0.0,1463413.0
0.101,98405.91755319154,,1398469.0824468085,109212.0,0.0,5047914.0
0.1029,-27243.66601343779,,1689606.604609929,121286.0,0.0,6098804.0
0.1049,-35288.48509238521,,1595088.3754432625,113803.0,0.0,5757631.0
0.1069,-34365.1140817469,,1475415.0044326242,105139.0,0.0,5325658.0
0.1088,-46429.84205860412,,1303803.745567376,91738.0,0.0,4706210.0
0.1078,-35177.290383538464,,1378639.4614361702,98019.0,0.0,4976337.0
