# metadata,value
mode,qcl
fudge_factor,1
cycles,8
cycles_completed,8
integration_time,4
on_start,0.01
on_stop,0.048
on_dcr_start,0.048
on_dcr_stop,0.048
off_start,0.12
off_stop,2

Bias_Current,Counts_TL1(0.012),Counts_TL2(0.014),Counts_TL3(0.016),CountsOnDcr_TL1(0.012),CountsOnDcr_TL2(0.014),CountsOnDcr_TL3(0.016),DCounts_TL1(0.012),DCounts_TL2(0.014),DCounts_TL3(0.016),ClicksOn_TL1(0.012),ClicksOn_TL2(0.014),ClicksOn_TL3(0.016),ClicksOnDcr_TL1(0.012),ClicksOnDcr_TL2(0.014),ClicksOnDcr_TL3(0.016),ClicksOff_TL1(0.012),ClicksOff_TL2(0.014),ClicksOff_TL3(0.016)
0.0245,125.26537420679415,-14.24563736468832,-0.2114245054124675,,,,6563.331117021276,233.54388297872342,7.064494680851064,976.0,32.0,1.0,0.0,0.0,0.0,47382.0,1686.0,51.0
0.0265,397.1499976670402,-0.8092455207166722,5.672009145203434,,,,6606.687721631206,220.10749113475177,8.03413120567376,1022.0,32.0,2.0,0.0,0.0,0.0,47695.0,1589.0,58.0
0.0284,637.6417273236275,-53.84034387831281,-8.726728723404255,,,,6585.494237588653,232.02016843971631,8.726728723404255,1054.0,26.0,0.0,0.0,0.0,0.0,47542.0,1675.0,63.0
0.0304,335.3411370847334,14.070665360209034,4.009775102650243,,,,6593.112810283688,225.78679078014184,9.69636524822695,1011.0,35.0,2.0,0.0,0.0,0.0,47597.0,1630.0,70.0
0.0324,91.18228583426662,53.730986375513226,13.494715845464727,,,,6611.120345744681,234.09796099290782,7.064494680851064,978.0,42.0,3.0,0.0,0.0,0.0,47727.0,1690.0,51.0
0.0343,133.3067959126547,120.46093458379991,-8.311170212765958,,,,6541.583554964539,235.8987145390071,8.311170212765958,974.0,52.0,0.0,0.0,0.0,0.0,47225.0,1703.0,60.0
0.0363,349.776327454274,48.40163073908175,20.070747013811125,,,,6523.853058510638,232.5742464539007,7.341533687943262,1003.0,41.0,4.0,0.0,0.0,0.0,47097.0,1679.0,53.0
0.0382,432.9026105823068,12.889604329973878,11.832481802911536,,,,6543.522828014185,233.8209219858156,8.726728723404255,1018.0,36.0,3.0,0.0,0.0,0.0,47239.0,1688.0,63.0
0.0402,770.1757302164988,73.39346537887272,12.248040313549833,,,,6507.784796099291,228.14162234042553,8.311170212765958,1062.0,44.0,3.0,0.0,0.0,0.0,46981.0,1647.0,60.0
0.0422,1640.8874580067195,362.6076077827548,44.15855963045913,,,,6459.441489361702,226.75642730496455,10.666001773049645,1182.0,86.0,8.0,0.0,0.0,0.0,46632.0,1637.0,77.0
0.0441,3351.2096397909663,917.8448114968272,168.76049832026877,,,,6530.91755319149,226.61790780141845,9.419326241134751,1442.0,167.0,26.0,0.0,0.0,0.0,47148.0,1636.0,68.0
0.0461,6360.684373833521,1815.3199654721911,430.00828200821206,,,,6516.234485815603,226.89494680851064,8.588209219858156,1879.0,298.0,64.0,0.0,0.0,0.0,47042.0,1638.0,62.0
0.048,11490.601087159388,3912.2865341545357,908.615038260545,,,,6491.85505319149,233.8209219858156,9.69636524822695,2624.0,605.0,134.0,0.0,0.0,0.0,46866.0,1688.0,70.0
0.05,18180.531739921615,8041.574806364315,2290.85742114595,,,,6586.463874113475,230.08089539007094,11.77415780141844,3614.0,1207.0,336.0,0.0,0.0,0.0,47549.0,1661.0,85.0
0.052,25724.952757558793,13516.959161534156,4894.258585293021,,,,6546.15469858156,250.85882092198582,19.3927304964539,4709.0,2009.0,717.0,0.0,0.0,0.0,47258.0,1811.0,140.0
0.0539,34576.22509565137,21413.482176185145,9167.038482176185,,,,6521.636746453901,276.4849290780142,29.78169326241135,5997.0,3165.0,1342.0,0.0,0.0,0.0,47081.0,1996.0,215.0
0.0559,41307.33249346771,30213.640817469208,15210.607969391565,,,,6636.74645390071,303.08067375886526,44.326241134751776,6996.0,4453.0,2226.0,0.0,0.0,0.0,47912.0,2188.0,320.0
0.0578,48274.396929824565,39808.121325587905,23847.466696995147,,,,6666.666666666667,350.86990248226954,76.60128546099291,8017.0,5860.0,3491.0,0.0,0.0,0.0,48128.0,2533.0,553.0
0.0598,52484.20877659575,46367.45724850691,33060.04893383725,,,,6630.374556737589,391.04055851063833,115.66378546099291,8626.0,6823.0,4841.0,0.0,0.0,0.0,47866.0,2823.0,835.0
0.0618,55614.122573721535,53595.06958053379,42188.170726017175,,,,6632.313829787234,434.53568262411346,170.65602836879432,9083.0,7884.0,6181.0,0.0,0.0,0.0,47880.0,3137.0,1232.0
0.0637,58687.571446901835,56726.7695502053,49735.38400522583,,,,6594.775044326241,462.1010638297872,216.6445035460993,9526.0,8345.0,7289.0,0.0,0.0,0.0,47609.0,3336.0,1564.0
0.0657,59857.10619634192,59499.755039193726,55409.84275849198,,,,6569.703014184397,492.02127659574467,257.64627659574467,9693.0,8754.0,8123.0,0.0,0.0,0.0,47428.0,3552.0,1860.0
0.0676,61617.1714608996,60904.26990014931,59863.75513251214,,,,6694.23204787234,526.6511524822695,313.0540780141844,9968.0,8964.0,8781.0,0.0,0.0,0.0,48327.0,3802.0,2260.0
0.0696,61843.847692702504,61828.80739081747,60333.55496453901,,,,6748.531693262412,534.1312056737589,343.52836879432624,10009.0,9100.0,8854.0,0.0,0.0,0.0,48719.0,3856.0,2480.0
0.0716,63180.34947741696,63255.80615434864,64212.990504852554,,,,6720.9663120567375,594.248670212766,390.9020390070922,10200.0,9317.0,9427.0,0.0,0.0,0.0,48520.0,4290.0,2822.0
0.0735,64610.56335153043,65869.76396276597,65160.40558510638,,,,6853.2524379432625,666.6943705673759,464.59441489361706,10428.0,9709.0,9576.0,0.0,0.0,0.0,49475.0,4813.0,3354.0
0.0755,65559.26885031728,64630.69242254573,65727.09616461366,,,,6843.41755319149,761.3031914893617,535.2393617021277,10565.0,9542.0,9669.0,0.0,0.0,0.0,49404.0,5496.0,3864.0
0.0775,66838.4454320642,65971.74347937664,67435.63946435238,,,,6962.267287234043,900.5152925531916,697.5842198581561,10769.0,9758.0,9942.0,0.0,0.0,0.0,50262.0,6501.0,5036.0
