# Power Ramp Measurement
bias_voltage_V,0.08
trigger_level_V,0.016
integration_time_s,3
fudge_factor,1

QCL_Current_mA,Signal_Hz,Dark_Hz,ClicksOn,ClicksOff
193.0,-117.66672087014655,629.3626273028951,7,440
194.0,350.81696689371904,526.3760155624213,12,368
196.0,419.6252732758777,530.6671243849411,13,371
200.0,82.88615462446023,575.0085822176451,9,402
201.0,-96.36174197939062,534.9582332074608,6,374
203.0,207.47887569937552,523.5152763474082,10,366
204.0,564.5442992995706,605.0463439752832,16,423
207.0,489.86394926554294,533.5278635999542,14,373
208.0,-176.61300522160184,542.1100812449937,5,379
210.0,456.96544829289155,566.4263645726056,14,396
212.0,250.54052914641557,553.5530381050464,11,387
214.0,284.86939972657353,519.2241675248885,11,363
216.0,478.4209924054903,544.9708204600068,14,381
217.0,712.022934094591,530.6671243849411,17,371
220.0,709.1621948795779,533.5278635999542,17,373
221.0,88.60763305448654,569.2871037876188,9,398
224.0,1738.4260513969443,600.7552351527635,32,420
224.0,1941.990231328407,616.4893008353359,35,431
227.0,3634.719737896062,605.0463439752832,58,423
229.0,3514.267560421824,579.2996910401648,56,405
231.0,6392.321775946904,552.1226684975398,95,386
232.0,8684.451430670739,672.2737155280925,128,470
235.0,10471.585331333827,566.4263645726056,151,396
237.0,15582.822917231286,572.1478430026319,221,400
240.0,21895.269842990587,619.3500400503491,308,433
241.0,28517.12829963684,576.4389518251517,398,403
244.0,37734.95702868569,642.2359537704543,525,449
246.0,44022.7865406737,567.8567341801122,610,397
248.0,51185.249426346505,642.2359537704543,709,449
250.0,57890.21988544998,589.3122782927109,800,412
252.0,62608.78337278142,622.2107792653622,865,435
253.0,70933.53448846973,630.7929969104017,979,441
255.0,75640.50445371927,602.18560476027,1043,421
257.0,79838.78981697293,643.6663233779609,1101,450
260.0,83919.48374196734,656.5396498455201,1157,459
261.0,89761.86604513343,735.209978258382,1238,514
263.0,106931.64640058781,743.7921959034214,1473,520
265.0,104629.80528905512,779.551436091086,1442,545
267.0,110884.73630007046,738.0707174733951,1527,516
268.0,118789.63629465012,801.0069802036846,1636,560
270.0,118980.32714811403,829.6143723538163,1639,580
272.0,127984.05213170241,1328.8133653736127,1769,929
274.0,128306.71340211153,713.7544341457833,1765,499
276.0,136713.44728109325,859.6521341114544,1882,601
279.0,152606.05814226606,829.6143723538163,2099,580
280.0,148627.07102462646,788.1336537361254,2044,551
282.0,156688.18243686802,841.0573292138689,2155,588
284.0,153613.56532422715,772.3995880535531,2112,540
286.0,158015.41486741227,829.6143723538163,2173,580
288.0,166373.21504929508,878.24693900904,2288,614
290.0,169966.52935118435,866.8039821489873,2337,606
292.0,176377.82234508343,888.2595262615861,2425,621
294.0,183468.6161851591,961.2083762444216,2523,672
296.0,179911.06112345745,936.8920929168097,2474,655
297.0,185678.61251136768,871.095090971507,2552,609
300.0,186260.5470937901,873.9558301865202,2560,611
302.0,194367.5808986937,954.0565282068887,2672,667
304.0,195333.6073620371,938.3224625243163,2685,656
305.0,196417.37582886155,1024.1446389747111,2701,716
308.0,193765.77170698805,1044.1698134798032,2665,730
310.0,208523.1207954662,979.8031811420071,2866,685
312.0,210325.01008786986,1078.498684059961,2892,754
313.0,212724.26689793487,1018.4231605446848,2924,712
315.0,218188.27879860997,1109.966815425106,3000,776
317.0,215549.69856842587,1190.0675134454743,2965,832
319.0,213695.03616576627,1217.2445359880994,2940,851
321.0,216822.42638866307,1160.029751687836,2982,811
323.0,216866.9184117176,1188.6371438379679,2983,831
325.0,217114.9746147036,1232.9786016706719,2987,862
327.0,219386.77796447865,1227.2571232406453,3018,858
330.0,223762.7302895068,1237.2697104931915,3078,865
332.0,223795.92992092314,1350.2689094862112,3080,944
332.0,221310.39923874225,1277.3200595033757,3045,893
335.0,222554.5196668293,1275.8896898958692,3062,892
