# metadata,value
mode,qcl
fudge_factor,1
cycles,1
cycles_completed,1
integration_time,2
on_start,0.04
on_stop,0.95
on_dcr_start,1.2
on_dcr_stop,1.2
off_start,1.2
off_stop,15

Bias_Current,Counts_TL1(0.012),Counts_TL2(0.014),Counts_TL3(0.016),CountsOnDcr_TL1(0.012),CountsOnDcr_TL2(0.014),CountsOnDcr_TL3(0.016),DCounts_TL1(0.012),DCounts_TL2(0.014),DCounts_TL3(0.016),ClicksOn_TL1(0.012),ClicksOn_TL2(0.014),ClicksOn_TL3(0.016),ClicksOnDcr_TL1(0.012),ClicksOnDcr_TL2(0.014),ClicksOnDcr_TL3(0.016),ClicksOff_TL1(0.012),ClicksOff_TL2(0.014),ClicksOff_TL3(0.016)
0.0245,3537.9373042416537,2150.4552211073956,2190.7548972766367,,,,9007.850241545893,413.647342995169,25.362318840579707,1370.0,280.0,242.0,0.0,0.0,0.0,14917.0,685.0,42.0
0.0265,2931.7168338907486,2261.353984180071,2224.266072092159,,,,9119.565217391304,394.3236714975845,19.323671497584538,1316.0,290.0,245.0,0.0,0.0,0.0,15102.0,653.0,32.0
0.0284,2588.0647130647158,2332.902001380263,2182.201252853427,,,,9069.444444444443,405.1932367149758,24.75845410628019,1273.0,299.0,241.0,0.0,0.0,0.0,15019.0,671.0,41.0
0.0304,2283.9225991399926,2279.4699262090567,2198.60513882253,,,,9336.95652173913,376.207729468599,17.512077294685987,1269.0,290.0,242.0,0.0,0.0,0.0,15462.0,623.0,29.0
0.0324,2540.664649360304,2351.9270584487977,2196.189679885332,,,,9089.371980676327,358.695652173913,19.927536231884055,1270.0,296.0,242.0,0.0,0.0,0.0,15052.0,594.0,33.0
0.0343,3065.661995009823,2237.6041832563574,2201.7240006370444,,,,9086.35265700483,399.75845410628017,23.550724637681157,1327.0,288.0,243.0,0.0,0.0,0.0,15047.0,662.0,39.0
0.0363,2591.1636672506265,2223.615756224452,2180.290120507512,,,,9240.338164251207,404.5893719806763,17.512077294685987,1292.0,287.0,240.0,0.0,0.0,0.0,15302.0,670.0,29.0
0.0382,2973.96082178691,2286.9087434304824,2189.5471678080376,,,,9297.101449275362,442.0289855072463,26.57004830917874,1340.0,298.0,242.0,0.0,0.0,0.0,15396.0,732.0,44.0
0.0402,3254.7114721027774,2243.8419068853855,2210.781971651537,,,,9400.96618357488,411.8357487922705,14.492753623188404,1382.0,290.0,243.0,0.0,0.0,0.0,15568.0,682.0,24.0
0.0422,3136.9711206667744,2227.238944630249,2221.147210277645,,,,9408.816425120773,400.9661835748792,13.28502415458937,1370.0,287.0,244.0,0.0,0.0,0.0,15581.0,664.0,22.0
0.0441,3814.5604395604405,2215.865052821575,2229.096989966555,,,,9125.0,421.4975845410628,14.492753623188404,1413.0,288.0,245.0,0.0,0.0,0.0,15111.0,698.0,24.0
0.0461,4381.091734352605,2601.588628762542,2253.0458671763017,,,,9346.014492753622,411.231884057971,27.173913043478258,1499.0,329.0,249.0,0.0,0.0,0.0,15477.0,681.0,45.0
0.048,4465.03556829644,3028.972235493975,2355.5900621118017,,,,9207.125603864733,414.25120772946855,25.362318840579707,1493.0,376.0,260.0,0.0,0.0,0.0,15247.0,686.0,42.0
0.05,6389.817911557044,4250.23889154324,2651.7492169666084,,,,9251.207729468599,438.40579710144925,31.400966183574877,1708.0,512.0,293.0,0.0,0.0,0.0,15320.0,726.0,52.0
0.052,9086.976429367734,5708.399692095345,3400.2495089451613,,,,9081.521739130434,408.8164251207729,33.81642512077294,1984.0,668.0,375.0,0.0,0.0,0.0,15039.0,677.0,56.0
0.0539,13342.869087434308,7877.216382651167,4506.396984657855,,,,9367.753623188404,437.80193236714973,26.57004830917874,2480.0,908.0,495.0,0.0,0.0,0.0,15513.0,725.0,44.0
0.0559,16853.838190794715,11617.003769177683,6685.884164145034,,,,9199.27536231884,425.12077294685986,26.57004830917874,2845.0,1315.0,733.0,0.0,0.0,0.0,15234.0,704.0,44.0
