# metadata,value
mode,qcl
fudge_factor,1
cycles,6
cycles_completed,6
integration_time,2
on_start,0.1
on_stop,0.95
on_dcr_start,1.2
on_dcr_stop,1.2
off_start,1.2
off_stop,15

Bias_Current,Counts_TL1(0.012),Counts_TL2(0.014),Counts_TL3(0.016),CountsOnDcr_TL1(0.012),CountsOnDcr_TL2(0.014),CountsOnDcr_TL3(0.016),DCounts_TL1(0.012),DCounts_TL2(0.014),DCounts_TL3(0.016),ClicksOn_TL1(0.012),ClicksOn_TL2(0.014),ClicksOn_TL3(0.016),ClicksOnDcr_TL1(0.012),ClicksOnDcr_TL2(0.014),ClicksOnDcr_TL3(0.016),ClicksOff_TL1(0.012),ClicksOff_TL2(0.014),ClicksOff_TL3(0.016)
0.0245,-31.152315998862832,46.740314483281225,-5.523586246092638,,,,7395.531400966183,268.6191626409018,20.229468599033815,4507.0,193.0,9.0,0.0,0.0,0.0,73482.0,2669.0,201.0
0.0265,-134.04613052950663,1.4741403807900042,-8.53106943260396,,,,7398.752012882448,287.74154589371983,10.165056360708535,4446.0,177.0,1.0,0.0,0.0,0.0,73514.0,2859.0,101.0
0.0284,38.42237378043046,-22.846215780998364,-2.4213791796912005,,,,7543.276972624799,272.84621578099836,8.957326892109501,4640.0,153.0,4.0,0.0,0.0,0.0,74950.0,2711.0,89.0
0.0304,155.51292980960534,24.86501847115653,3.1614094913327655,,,,7463.768115942029,274.1545893719807,6.642512077294686,4663.0,183.0,6.0,0.0,0.0,0.0,74160.0,2724.0,66.0
0.0324,127.92459979160776,-6.3997821350762365,8.164014398029744,,,,7448.872785829308,266.2037037037037,6.541867954911433,4637.0,159.0,9.0,0.0,0.0,0.0,74012.0,2645.0,65.0
0.0343,342.28473998294976,35.27280477408351,-2.670029364402766,,,,7442.028985507246,273.5507246376812,5.938003220611916,4764.0,189.0,2.0,0.0,0.0,0.0,73944.0,2718.0,59.0
0.0363,-39.70706640143999,-12.213460263332422,-1.7405512929809603,,,,7404.0861513687605,273.65136876006443,6.642512077294686,4507.0,160.0,3.0,0.0,0.0,0.0,73567.0,2719.0,66.0
0.0382,184.7530074831866,45.36681822487452,6.754996684664205,,,,7431.2600644122385,258.5547504025765,7.950885668276973,4661.0,186.0,9.0,0.0,0.0,0.0,73837.0,2569.0,79.0
0.0402,322.47560860092835,6.239935587761693,-2.44506014966373,,,,7386.674718196457,271.5378421900161,7.347020933977456,4718.0,170.0,3.0,0.0,0.0,0.0,73394.0,2698.0,73.0
0.0422,299.87804300464086,27.381121530737857,4.469783082315052,,,,7440.3180354267315,271.6384863123994,5.3341384863123995,4737.0,183.0,6.0,0.0,0.0,0.0,73927.0,2699.0,53.0
0.0441,699.6601780808942,162.15544188689967,24.98342332101923,,,,7403.280998389694,262.6811594202899,4.428341384863124,4959.0,260.0,18.0,0.0,0.0,0.0,73559.0,2610.0,44.0
0.0461,1355.350715165293,350.0816993464053,67.53812636165577,,,,7365.237520128824,270.8333333333333,9.25925925925926,5337.0,380.0,47.0,0.0,0.0,0.0,73181.0,2691.0,92.0
0.048,2561.428436108743,858.6305295064886,243.8074263521834,,,,7454.911433172303,268.82045088566827,9.460547504025765,6130.0,690.0,155.0,0.0,0.0,0.0,74072.0,2671.0,94.0
0.05,4576.809226105901,1897.4850809889174,537.7237851662405,,,,7403.582930756844,278.9855072463768,9.66183574879227,7332.0,1332.0,335.0,0.0,0.0,0.0,73562.0,2772.0,96.0
0.052,7590.650753054845,3818.497205645543,1276.9134223737803,,,,7497.584541062802,282.8099838969404,10.668276972624799,9234.0,2510.0,788.0,0.0,0.0,0.0,74496.0,2810.0,106.0
0.0539,10928.406507530548,6437.109263995453,2404.6663351330867,,,,7416.364734299517,272.04106280193236,10.36634460547504,11227.0,4106.0,1478.0,0.0,0.0,0.0,73689.0,2703.0,103.0
0.0559,14384.946007388464,9795.668750592024,4861.649853177987,,,,7301.328502415459,286.0305958132045,15.801127214170693,13272.0,6170.0,2985.0,0.0,0.0,0.0,72546.0,2842.0,157.0
0.0578,18565.880458463576,14305.774604527802,8578.839869281046,,,,7368.7600644122385,285.7286634460547,20.833333333333332,15872.0,8930.0,5263.0,0.0,0.0,0.0,73216.0,2839.0,207.0
0.0598,21542.158046793596,18936.469877806197,12525.764895330114,,,,7415.358293075685,311.8961352657005,29.790660225442835,17722.0,11780.0,7684.0,0.0,0.0,0.0,73679.0,3099.0,296.0
0.0618,24293.484181112057,22559.818130150612,18034.15387894288,,,,7477.757648953301,317.6328502415459,37.74154589371981,19444.0,14001.0,11060.0,0.0,0.0,0.0,74299.0,3156.0,375.0
0.0637,26755.979444918066,25790.139244103437,22595.357345836885,,,,7392.713365539453,312.8019323671498,46.79951690821256,20899.0,15975.0,13857.0,0.0,0.0,0.0,73454.0,3108.0,465.0
0.0657,28586.062565122666,28181.07653689495,26354.367954911435,,,,7400.865539452496,327.0933977455717,62.2987117552335,22024.0,17447.0,16167.0,0.0,0.0,0.0,73535.0,3250.0,619.0
0.0676,30403.84934166904,30671.414701146157,29480.048782798145,,,,7413.144122383253,336.75523349436395,73.87278582930757,23144.0,18977.0,18087.0,0.0,0.0,0.0,73657.0,3346.0,734.0
0.0696,31827.96959363456,32295.733873259447,31357.487922705313,,,,7454.710144927536,352.95893719806764,86.95652173913044,24041.0,19981.0,19244.0,0.0,0.0,0.0,74070.0,3507.0,864.0
0.0716,33233.50028417164,33260.44330775789,33873.703466894,,,,7482.185990338165,376.81159420289856,113.22463768115942,24918.0,20586.0,20800.0,0.0,0.0,0.0,74343.0,3744.0,1125.0
0.0735,34809.28530832623,34843.11949417448,35171.846878848155,,,,7434.178743961353,408.5144927536232,164.75442834138485,25853.0,21574.0,21626.0,0.0,0.0,0.0,73866.0,4059.0,1637.0
0.0755,36162.78890783367,36186.71260774842,36095.49943165672,,,,7451.590177133656,488.1239935587762,223.1280193236715,26692.0,22445.0,22227.0,0.0,0.0,0.0,74039.0,4850.0,2217.0
0.0775,37833.78327176281,37532.638296864636,37659.49725300748,,,,7586.1513687600645,573.5708534621579,338.86876006441224,27797.0,23321.0,23255.0,0.0,0.0,0.0,75376.0,5699.0,3367.0
0.0794,39431.07653689496,39025.385999810554,39002.7588330018,,,,7743.7600644122385,781.8035426731079,534.8228663446055,28871.0,24362.0,24197.0,0.0,0.0,0.0,76942.0,7768.0,5314.0
