# Power Ramp Measurement
bias_voltage_V,0.08
trigger_level_V,0.016
integration_time_s,2
fudge_factor,1

QCL_Current_mA,Signal_Hz,Dark_Hz,ClicksOn,ClicksOff
27.2,334.8732289336316,354.44444444444446,493,319
27.2,407.9940343027591,291.11111111111114,500,262
27.8,289.5563012677105,352.2222222222223,459,317
28.8,332.1140939597314,360.00000000000006,495,324
28.8,323.3631618195376,347.7777777777778,480,313
28.8,812.401193139448,297.7777777777778,794,268
29.6,1200.2535421327366,337.7777777777778,1100,304
30.4,1660.9134973900073,351.11111111111114,1439,316
31.2,1822.2818791946306,353.33333333333337,1556,318
31.6,2893.48620432513,337.7777777777778,2311,304
32.1,4259.474272930648,370.00000000000006,3311,333
33.0,6133.501118568232,350.00000000000006,4637,315
34.4,6218.430275913497,337.7777777777778,4689,304
34.4,8965.0,410.00000000000006,6705,369
35.0,11489.906785980611,371.11111111111114,8483,334
35.6,11446.11111111111,428.8888888888889,8493,386
36.4,12227.099179716628,421.11111111111114,9046,379
37.5,13980.130499627143,414.44444444444446,10295,373
38.0,15161.979865771811,426.6666666666667,11149,384
38.4,17228.221476510065,463.33333333333337,12653,417
39.1,16448.91871737509,472.2222222222223,12102,425
40.1,16250.346756152125,510.00000000000006,11987,459
40.9,16798.046234153615,492.2222222222223,12366,443
41.5,17508.199105145413,513.3333333333334,12889,462
42.2,18689.996271439224,601.1111111111112,13797,541
43.1,19913.456375838927,563.3333333333334,14645,507
43.8,23813.750932140192,582.2222222222223,17448,524
44.4,24117.572706935123,643.3333333333334,17709,579
45.2,27463.288590604025,696.6666666666667,20140,627
46.0,27891.853094705442,677.7777777777778,20433,610
46.7,27109.951528709917,757.7777777777778,19931,682
47.3,26766.715137956748,782.2222222222223,19703,704
48.2,25079.985085756896,834.4444444444446,18534,751
48.9,25288.01640566741,914.4444444444446,18740,823
49.7,23147.86726323639,948.888888888889,17234,854
50.6,23426.047725577926,981.1111111111112,17456,883
51.6,25215.21625652498,1108.888888888889,18827,998
52.1,24225.231170768082,1184.4444444444446,18173,1066
52.9,26818.310961968677,1220.0000000000002,20053,1098
53.6,28980.730797912,1212.2222222222224,21594,1091
54.6,29054.917971662937,1391.1111111111113,21775,1252
55.4,31234.876957494405,1413.3333333333335,23350,1272
56.3,33057.44966442952,1643.3333333333335,24818,1479
56.8,37378.344519015656,1623.3333333333335,27894,1461
57.7,38669.634601043996,1858.8888888888891,28986,1673
58.4,39415.41759880686,1855.5555555555557,29517,1670
59.2,40054.12005965697,2022.2222222222224,30093,1820
59.9,39136.193139448165,2084.444444444445,29481,1876
60.8,36821.088739746454,2258.888888888889,27950,2033
61.5,34448.754660700964,2531.1111111111113,26448,2278
62.4,38806.29008202834,2512.2222222222226,29551,2261
62.9,43152.44593586875,2714.444444444445,32804,2443
63.900000000000006,45546.55853840418,3062.2222222222226,34765,2756
64.7,41925.730797912,3475.555555555556,32471,3128
65.8,58579.407158836686,3706.666666666667,44547,3336
66.4,50603.95227442207,4155.555555555556,39164,3740
67.2,46409.0231170768,4527.777777777778,36430,4075
67.8,192857.23713646532,4770.000000000001,141343,4293
