# metadata,value
mode,qcl
fudge_factor,1
cycles,6
cycles_completed,6
integration_time,2
on_start,0.1
on_stop,0.95
on_dcr_start,1.2
on_dcr_stop,1.2
off_start,1.2
off_stop,15

Bias_Current,Counts_TL1(-0.016),CountsOnDcr_TL1(-0.016),DCounts_TL1(-0.016),ClicksOn_TL1(-0.016),ClicksOnDcr_TL1(-0.016),ClicksOff_TL1(-0.016)
0.0245,-1.337974803447949,,6.239935587761675,3.0,0.0,62.0
0.0265,0.01776072747939672,,8.152173913043478,5.0,0.0,81.0
0.0284,-3.273894098702283,,6.541867954911433,2.0,0.0,65.0
0.0304,-1.8648763853367436,,5.132850241545894,2.0,0.0,51.0
0.0324,-3.1969309462915603,,4.830917874396135,1.0,0.0,48.0
0.0343,-2.190489722459032,,3.824476650563607,1.0,0.0,38.0
0.0363,3.1140475513877046,,3.421900161030596,4.0,0.0,34.0
0.0382,-3.321256038647343,,3.321256038647343,0.0,0.0,33.0
0.0402,1.5807047456663827,,3.321256038647343,3.0,0.0,33.0
0.0422,-0.15392630482144565,,3.421900161030596,2.0,0.0,34.0
0.0441,1.3024533484891538,,5.233494363929147,4.0,0.0,52.0
0.0461,3.8185564080704744,,2.717391304347826,4.0,0.0,27.0
0.048,0.4736193994506017,,4.428341384863124,3.0,0.0,44.0
0.05,-0.9117173439424082,,7.447665056360709,4.0,0.0,74.0
0.052,11.532632376622146,,6.4412238325281805,11.0,0.0,64.0
0.0539,52.48294970161978,,6.340579710144928,36.0,0.0,63.0
0.0559,129.4816235673013,,6.139291465378422,83.0,0.0,61.0
0.0578,479.0245808468315,,11.171497584541063,300.0,0.0,111.0
0.0598,1267.648242872028,,26.46940418679549,792.0,0.0,263.0
0.0618,2886.6806384389506,,51.227858293075684,1798.0,0.0,509.0
0.0637,5812.748650184712,,79.40821256038647,3606.0,0.0,789.0
0.0657,9722.583357014304,,128.72383252818037,6029.0,0.0,1279.0
0.0676,14582.770910296485,,177.03301127214172,9033.0,0.0,1759.0
0.0696,19880.81959837075,,249.89935587761676,12320.0,0.0,2483.0
0.0716,24327.21772283793,,313.305152979066,15080.0,0.0,3113.0
0.0735,28284.20716112532,,395.5314009661836,17552.0,0.0,3930.0
0.0755,31616.391967414987,,470.2093397745572,19637.0,0.0,4672.0
0.0775,33910.6872217486,,635.0644122383253,21142.0,0.0,6310.0
0.0794,37421.43838211613,,838.365539452496,23415.0,0.0,8330.0
0.0814,39579.2246850431,,1234.5008051529792,24978.0,0.0,12266.0
0.0833,42741.67021881216,,1871.074879227053,27303.0,0.0,18591.0
0.0853,45399.40915979919,,2986.2117552334944,29612.0,0.0,29671.0
0.0873,49108.32267689685,,4803.442028985507,32994.0,0.0,47727.0
0.0892,52607.807615799946,,8205.917874396135,37218.0,0.0,81534.0
0.0912,57571.119873070005,,13801.429146537843,43680.0,0.0,137131.0
0.0931,65237.164914274894,,24599.436392914653,54980.0,0.0,244420.0
0.0951,79901.32731836697,,46727.7576489533,77497.0,0.0,464287.0
0.0971,133298.66439329355,,106059.17874396135,146487.0,0.0,1053804.0
0.099,368196.93686653406,,533106.9847020934,551598.0,0.0,5296951.0
0.101,122804.19982002466,,1514192.5322061193,1001842.0,0.0,15045017.0
0.1029,-12601.579520697007,,1767523.148148148,1074012.0,0.0,17562110.0
0.1049,-38581.563180828,,1719849.537037037,1028936.0,0.0,17088425.0
0.1069,-43925.47598749632,,1612650.9661835749,960060.0,0.0,16023300.0
0.1088,-54572.380884720944,,1462064.2109500805,861385.0,0.0,14527070.0
0.1078,-53594.179217580706,,1541568.035426731,910640.0,0.0,15317020.0
