# metadata,value
mode,qcl
fudge_factor,1
cycles,1
cycles_completed,1
integration_time,2
on_start,0.1
on_stop,0.95
on_dcr_start,1.2
on_dcr_stop,1.2
off_start,1.2
off_stop,15

Bias_Current,Counts_TL1(0.012),Counts_TL2(0.014),Counts_TL3(0.016),CountsOnDcr_TL1(0.012),CountsOnDcr_TL2(0.014),CountsOnDcr_TL3(0.016),DCounts_TL1(0.012),DCounts_TL2(0.014),DCounts_TL3(0.016),ClicksOn_TL1(0.012),ClicksOn_TL2(0.014),ClicksOn_TL3(0.016),ClicksOnDcr_TL1(0.012),ClicksOnDcr_TL2(0.014),ClicksOnDcr_TL3(0.016),ClicksOff_TL1(0.012),ClicksOff_TL2(0.014),ClicksOff_TL3(0.016)
0.0245,-42.76783177038851,35.09519749928958,-1.2077294685990336,,,,5925.12077294686,219.80676328502415,1.2077294685990336,600.0,26.0,0.0,0.0,0.0,0.0,9812.0,364.0,2.0
0.0265,507.7791986359771,21.987780619494202,4.973003694231317,,,,5737.31884057971,203.50241545893718,4.8309178743961345,637.0,23.0,1.0,0.0,0.0,0.0,9501.0,337.0,8.0
0.0284,-287.11992043194005,-48.913043478260846,35.592497868712705,,,,6100.845410628019,215.57971014492753,3.623188405797101,593.0,17.0,4.0,0.0,0.0,0.0,10103.0,357.0,6.0
0.0304,464.5495879511236,-44.97016197783458,-1.8115942028985506,,,,6006.038647342994,192.02898550724635,1.8115942028985506,660.0,15.0,0.0,0.0,0.0,0.0,9946.0,318.0,3.0
0.0324,83.19124751349864,57.75788576300087,-3.623188405797101,,,,5740.338164251208,177.53623188405797,3.623188405797101,594.0,24.0,0.0,0.0,0.0,0.0,9506.0,294.0,6.0
0.0343,-262.0417732310307,-19.785450412048874,2.5575447570332495,,,,5722.826086956521,196.256038647343,7.246376811594202,557.0,18.0,1.0,0.0,0.0,0.0,9477.0,325.0,12.0
0.0363,327.29468599033953,60.279909065075316,-24.154589371980673,,,,6006.038647342994,224.03381642512076,24.154589371980673,646.0,29.0,0.0,0.0,0.0,0.0,9946.0,371.0,40.0
0.0382,365.6223358908783,-0.21312872975272512,-0.6038647342995168,,,,5987.31884057971,235.50724637681157,0.6038647342995168,648.0,24.0,0.0,0.0,0.0,0.0,9915.0,390.0,1.0
0.0402,232.16822961068556,49.58795112247799,-2.4154589371980673,,,,5954.106280193237,205.31400966183574,2.4154589371980673,631.0,26.0,0.0,0.0,0.0,0.0,9860.0,340.0,4.0
0.0422,840.153452685423,0.42625745950556393,4.3691389599318,,,,5963.768115942028,195.65217391304347,5.434782608695651,694.0,20.0,1.0,0.0,0.0,0.0,9876.0,324.0,9.0
0.0441,462.09860755896625,56.55015629440186,6.18073316283035,,,,6047.705314009661,178.74396135265698,3.623188405797101,664.0,24.0,1.0,0.0,0.0,0.0,10015.0,296.0,6.0
0.0461,883.7382779198642,81.73486786018762,33.78090366581416,,,,5969.202898550724,182.9710144927536,5.434782608695651,699.0,27.0,4.0,0.0,0.0,0.0,9885.0,303.0,9.0
0.048,691.2119920431951,111.43080420574032,41.16936629724354,,,,5877.415458937197,202.29468599033814,7.850241545893719,670.0,32.0,5.0,0.0,0.0,0.0,9733.0,335.0,13.0
0.05,871.6609832338745,382.13981244671794,58.965615231599884,,,,6147.946859903381,235.50724637681157,9.661835748792269,716.0,63.0,7.0,0.0,0.0,0.0,10181.0,390.0,16.0
0.052,2300.5115089514084,933.4327934072181,346.44075021312875,,,,6268.115942028985,223.42995169082124,16.304347826086953,874.0,118.0,37.0,0.0,0.0,0.0,10380.0,370.0,27.0
0.0539,3658.6743393009383,1962.3472577436773,777.4936061381075,,,,6164.855072463768,272.9468599033816,36.23188405797101,1002.0,228.0,83.0,0.0,0.0,0.0,10209.0,452.0,60.0
0.0559,5365.622335890879,3589.6206308610404,1452.8985507246377,,,,6153.985507246376,302.53623188405794,47.10144927536231,1175.0,397.0,153.0,0.0,0.0,0.0,10191.0,501.0,78.0
0.0578,8553.743961352659,5841.325660699063,3075.021312872975,,,,6112.922705314009,335.1449275362319,101.44927536231883,1496.0,630.0,324.0,0.0,0.0,0.0,10123.0,555.0,168.0
0.0598,10126.24325092356,8316.247513498152,5411.942313157147,,,,6167.874396135265,379.8309178743961,137.07729468599032,1662.0,887.0,566.0,0.0,0.0,0.0,10214.0,629.0,227.0
0.0618,13495.772946859906,11691.780335322535,9039.499857914181,,,,6170.893719806762,416.0628019323671,185.9903381642512,2006.0,1235.0,941.0,0.0,0.0,0.0,10219.0,689.0,308.0
0.0637,16622.193805058258,14506.038647342997,12293.158567774937,,,,6142.512077294686,493.9613526570048,226.44927536231882,2322.0,1530.0,1277.0,0.0,0.0,0.0,10172.0,818.0,375.0
0.0657,18316.851378232455,17655.33532253481,16306.194941744814,,,,6212.560386473429,521.135265700483,321.25603864734296,2502.0,1854.0,1696.0,0.0,0.0,0.0,10288.0,863.0,532.0
0.0676,21116.901108269398,20293.94003978403,20032.573174197216,,,,6157.608695652173,529.5893719806763,339.975845410628,2782.0,2124.0,2078.0,0.0,0.0,0.0,10197.0,877.0,563.0
0.0696,23214.727195225918,22953.502415458937,22384.129013924412,,,,6226.449275362318,546.4975845410628,370.77294685990336,3003.0,2397.0,2321.0,0.0,0.0,0.0,10311.0,905.0,614.0
0.0716,26134.590792838877,25574.843705598185,25684.995737425408,,,,6110.507246376811,631.0386473429951,413.0434782608695,3289.0,2673.0,2662.0,0.0,0.0,0.0,10119.0,1045.0,684.0
0.0735,28426.470588235297,28293.1940892299,26890.949133276503,,,,6083.333333333333,687.1980676328502,501.207729468599,3520.0,2956.0,2794.0,0.0,0.0,0.0,10074.0,1138.0,830.0
0.0755,30717.675475987497,31968.670076726343,30271.099744245526,,,,6135.265700483092,786.231884057971,601.4492753623188,3759.0,3341.0,3149.0,0.0,0.0,0.0,10160.0,1302.0,996.0
0.0775,33387.18385905087,33720.90792838875,33234.583688547886,,,,6161.83574879227,896.7391304347825,785.024154589372,4034.0,3531.0,3470.0,0.0,0.0,0.0,10204.0,1485.0,1300.0
0.0794,35501.52742256323,35139.42171071327,36773.69281045752,,,,6645.531400966183,1272.342995169082,1069.4444444444443,4299.0,3714.0,3860.0,0.0,0.0,0.0,11005.0,2107.0,1771.0
0.0814,38751.45637965331,38647.875816993466,38567.63285024155,,,,7140.700483091787,1763.8888888888887,1599.0338164251207,4681.0,4122.0,4097.0,0.0,0.0,0.0,11825.0,2921.0,2648.0
0.0833,42009.94600738847,41902.81329923274,41759.377664109124,,,,8009.661835748791,2557.9710144927535,2387.6811594202895,5102.0,4535.0,4503.0,0.0,0.0,0.0,13264.0,4236.0,3954.0
0.0853,43895.85109406082,43690.75021312873,43075.696220517195,,,,9417.874396135265,4054.347826086956,3855.6763285024153,5438.0,4870.0,4787.0,0.0,0.0,0.0,15596.0,6714.0,6385.0
0.0873,45735.08098891731,45340.508667235015,46121.945154873545,,,,12068.840579710144,6571.256038647342,6417.270531400965,5896.0,5295.0,5359.0,0.0,0.0,0.0,19986.0,10882.0,10627.0
0.0892,48544.89911906792,49962.98664393294,49112.141233304916,,,,16386.47342995169,11066.425120772947,10750.6038647343,6623.0,6225.0,6106.0,0.0,0.0,0.0,27136.0,18326.0,17803.0
0.0912,52506.32281898266,52978.687127024736,53270.389315146356,,,,23846.61835748792,18550.724637681156,18553.140096618357,7788.0,7296.0,7326.0,0.0,0.0,0.0,39490.0,30720.0,30724.0
0.0931,54897.875816993466,54817.10002841717,54452.756464904814,,,,39680.555555555555,34104.46859903381,33370.7729468599,9647.0,9070.0,8958.0,0.0,0.0,0.0,65711.0,56477.0,55262.0
0.0951,61005.29269678889,65321.75333901678,59560.990338164265,,,,73818.23671497584,66629.22705314009,65272.34299516908,13752.0,13459.0,12733.0,0.0,0.0,0.0,122243.0,110338.0,108091.0
0.0971,69324.20431940895,63467.924126172235,66711.45922136973,,,,188420.89371980674,178610.5072463768,174337.56038647343,26290.0,24692.0,24587.0,0.0,0.0,0.0,312025.0,295779.0,288703.0
0.099,-4931.692242114106,-7051.506109690061,-29688.405797101324,,,,965186.5942028984,936747.5845410627,881688.4057971013,97946.0,94829.0,86904.0,0.0,0.0,0.0,1598349.0,1551254.0,1460076.0
0.101,-105282.96391020156,-97403.27507814718,-122247.90423415718,,,,2421508.45410628,2248285.6280193236,2047100.8454106278,236255.0,219390.0,196335.0,0.0,0.0,0.0,4010018.0,3723161.0,3389999.0
0.1029,-33759.413185563404,-47872.79766979255,-34835.393577720504,,,,2821318.2367149754,2578274.7584541063,2291443.2367149754,284331.0,258101.0,230174.0,0.0,0.0,0.0,4672103.0,4269623.0,3794630.0
0.1049,-41479.96589940274,-25156.01023017848,1102.337311736308,,,,3030528.985507246,2702391.3043478257,2338083.9371980675,304883.0,273078.0,238597.0,0.0,0.0,0.0,5018556.0,4475160.0,3871867.0
0.1069,-22671.71071327012,-15950.269963057246,24943.272236431483,,,,3143740.338164251,2739214.9758454105,2299517.5120772943,318349.0,277773.0,237095.0,0.0,0.0,0.0,5206034.0,4536140.0,3808001.0
0.1088,-16346.405228757765,-123.437055981718,7146.099744245876,,,,3203111.111111111,2709731.2801932367,2208393.115942029,325050.0,276380.0,225985.0,0.0,0.0,0.0,5304352.0,4487315.0,3657099.0
0.1078,-18911.80022733705,-9176.825802784413,5709.2924126177095,,,,3179539.2512077293,2732892.5120772943,2260565.217391304,322384.0,277819.0,231160.0,0.0,0.0,0.0,5265317.0,4525670.0,3743496.0
