# Power Ramp Measurement
bias_voltage_V,0.08
trigger_level_V,0.016
integration_time_s,3
fudge_factor,1

QCL_Current_mA,Signal_Hz,Dark_Hz,ClicksOn,ClicksOff
43.8,-5.967604433077582,149.7584541062802,22,372
44.8,-19.4420763474472,150.1610305958132,20,373
45.6,15.653121151842385,147.74557165861515,25,367
46.6,-14.919011082693942,152.17391304347825,21,378
47.6,-2.5338637870607386,133.25281803542674,20,331
49.2,1059.0840200814625,156.60225442834138,186,389
50.8,3196.954627261533,142.914653784219,511,355
52.4,5636.662877711471,154.18679549114333,886,383
54.4,9319.006346499953,164.6537842190016,1451,409
56.4,13327.460452780146,156.19967793880838,2063,388
58.0,16077.081557260586,158.21256038647343,2484,393
60.2,14028.606611726816,167.4718196457327,2172,416
62.0,20270.03410059676,167.8743961352657,3127,417
64.0,20227.195225916454,171.4975845410628,3121,426
66.0,23499.88159515014,186.39291465378423,3624,463
67.8,27894.14606422279,190.82125603864733,4297,474
70.0,37386.66287771147,181.9645732689211,5748,452
71.8,29757.080610021785,203.7037037037037,4584,506
73.6,28363.289760348584,231.4814814814815,4375,575
75.6,27785.687221748605,260.0644122383253,4291,646
77.6,33535.09519749929,275.3623188405797,5173,684
80.0,43972.69584162167,282.2061191626409,6771,701
81.8,46932.27242587857,283.41384863123994,7224,704
83.8,52339.585109406085,314.0096618357488,8056,780
85.8,59236.69129487544,345.00805152979063,9116,857
88.2,67162.52249692148,412.64090177133653,10339,1025
90.8,65420.02936440276,423.10789049919487,10074,1051
91.8,63562.30463199773,431.15942028985506,9791,1071
93.6,68352.20706640145,477.8582930756844,10531,1187
95.8,82245.50061570523,499.59742351046697,12660,1241
98.2,74180.49635313063,551.5297906602254,11434,1370
100.0,79148.1955100881,577.2946859903382,12198,1434
102.0,80944.75229705409,604.2673107890499,12477,1501
103.0,88246.04527801459,675.5233494363929,13605,1678
105.0,84410.93587193331,693.6392914653784,13021,1723
107.0,83889.95453253765,711.3526570048309,12944,1767
110.0,121606.51700293644,798.7117552334944,18728,1984
111.0,100927.44150800418,843.8003220611917,15571,2096
113.0,81044.78071421805,850.6441223832528,12530,2113
115.0,3206868.641659562,928.743961352657,490793,2307
