# Power Ramp Measurement
bias_voltage_V,0.08
trigger_level_V,0.014
integration_time_s,2
fudge_factor,1

QCL_Current_mA,Signal_Hz,Dark_Hz,ClicksOn,ClicksOff
192.0,-113.03191489361711,946.3652482269504,8,427
193.0,525.2659574468084,933.0673758865248,14,421
196.0,536.3475177304964,921.9858156028369,14,416
197.0,-99.73404255319167,1037.2340425531916,9,468
199.0,494.23758865248215,859.9290780141844,13,388
200.0,159.57446808510622,882.0921985815603,10,398
203.0,93.08510638297855,948.581560283688,10,428
204.0,26.595744680850885,910.904255319149,9,411
206.0,432.18085106382966,921.9858156028369,13,416
208.0,135.1950354609927,906.4716312056738,10,409
210.0,-412.23404255319156,828.9007092198582,4,374
212.0,33.24468085106366,904.2553191489362,9,408
213.0,328.0141843971629,921.9858156028369,12,416
216.0,-611.7021276595744,924.2021276595744,3,417
217.0,352.3936170212763,897.6063829787234,12,405
218.0,59.840425531914775,877.6595744680851,9,396
220.0,910.9042553191487,964.0957446808511,18,435
223.0,1363.0319148936169,928.6347517730496,22,419
224.0,1249.9999999999995,833.3333333333334,20,376
226.0,2333.776595744681,895.3900709219859,31,404
228.0,3260.195035460992,906.4716312056738,40,409
230.0,4401.59574468085,910.904255319149,51,411
232.0,7320.478723404254,908.6879432624114,79,410
233.0,12506.648936170212,930.8510638297872,129,420
235.0,14153.368794326241,950.7978723404256,145,429
238.0,22001.32978723404,915.3368794326242,220,413
240.0,27154.25531914893,970.7446808510639,270,438
242.0,35815.60283687943,955.2304964539007,353,431
244.0,39011.524822695035,780.1418439716313,382,352
245.0,51790.78014184397,917.5531914893617,506,414
247.0,56848.40425531914,964.0957446808511,555,435
248.0,55370.12411347517,879.8758865248227,540,397
251.0,64113.47517730496,886.5248226950355,624,400
253.0,72273.93617021275,955.2304964539007,703,431
255.0,70797.87234042553,972.9609929078015,689,439
256.0,80660.46099290779,1006.2056737588653,784,454
258.0,81744.23758865248,964.0957446808511,794,435
260.0,87688.38652482268,853.2801418439717,850,385
262.0,99847.0744680851,986.2588652482269,968,445
264.0,105254.87588652481,1099.290780141844,1021,496
266.0,108723.40425531914,1068.2624113475179,1054,482
268.0,114390.51418439715,1026.1524822695035,1108,463
269.0,117298.31560283687,930.8510638297872,1135,420
271.0,121469.41489361701,1030.5851063829787,1176,465
273.0,126784.13120567374,1028.3687943262412,1227,464
275.0,125944.14893617021,1139.1843971631206,1220,514
276.0,133743.3510638298,1048.3156028368794,1294,473
280.0,140117.46453900708,1132.535460992908,1356,511
281.0,139033.6879432624,1070.4787234042553,1345,483
283.0,146646.71985815602,1165.7801418439717,1419,526
286.0,148439.71631205673,1143.6170212765958,1436,516
287.0,153641.40070921986,1150.2659574468084,1486,519
289.0,151999.1134751773,1230.0531914893618,1471,555
292.0,165064.27304964536,1081.5602836879432,1595,488
292.0,162200.7978723404,1236.7021276595744,1569,558
295.0,161777.48226950353,1243.3510638297873,1565,561
296.0,167058.9539007092,1274.3794326241134,1616,575
297.0,170656.0283687943,1218.9716312056737,1650,550
301.0,161398.4929078014,1309.840425531915,1562,591
302.0,170828.90070921983,1358.599290780142,1653,613
304.0,166768.61702127656,1356.3829787234042,1614,612
306.0,165720.30141843972,1258.8652482269504,1603,568
308.0,167533.24468085106,1320.921985815603,1621,596
311.0,176236.70212765958,1367.4645390070923,1705,617
