Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012)
0.0,-871.9992817059392,-114.59571268237869,2.8392817059483946,60756.96,2318.58,112.2
0.002,-160.0195510662088,39.88442199775545,15.050953984287347,62275.62,2298.78,105.6
0.0039,-1427.0899438832712,18.854029180696216,12.825544332211024,62316.54,2343.66,114.84
0.0059,-1136.6276543209751,-143.47921436588103,0.5276094276094341,63065.64,2595.78,108.9
0.0078,-862.3785634118904,-50.203905723905336,-2.9382267115600342,63132.3,2394.48,109.56
0.0098,-844.5044893378144,-39.73016835016824,-32.31658810325476,62188.5,2371.38,110.88
0.0118,-217.34994388326595,11.74314253647617,-22.58242424242424,62356.8,2297.46,98.34
0.0137,-26.300291806954192,-37.26938271604877,-7.64114478114476,62651.16,2321.22,112.86
0.0157,-935.0648260381495,-138.10361391694687,9.432592592592613,63192.36,2357.52,83.16
0.0176,-1056.3597530864135,-158.14567901234568,-24.973670033670018,62969.94,2395.8,104.94
0.0196,-1062.938989898983,-101.19977553310855,6.55387205387207,63323.04,2409.0,115.5
0.0216,-778.6488664421922,-65.88475869809145,-19.11658810325477,62745.54,2390.52,97.68
0.0235,-387.5376879910109,-72.59777777777754,-13.090325476992135,62282.88,2294.82,104.28
0.0255,-973.2759820426363,6.894455667789316,-9.209898989898974,62907.9,2365.44,110.22
0.0275,-550.8284624017906,-29.196924803591173,11.74426487093156,62921.76,2271.06,86.46
0.0294,-116.56448933781212,-102.76852974186295,28.330527497194183,62710.56,2406.36,82.5
0.0314,-80.8929966329888,120.52078563411897,24.20803591470259,63334.26,2331.78,95.04
0.0333,496.282716049398,142.48668911335608,6.885544332211026,63053.1,2379.96,120.78
0.0353,876.3645342312157,397.73485970819365,88.16852974186311,63241.2,2378.64,108.24
0.0373,2508.0110662177394,978.9374635241306,182.57863075196414,63141.54,2317.92,114.84
0.0392,3579.3288888889074,1869.1270931537606,462.98971941638615,62809.56,2307.36,89.76
0.0412,5948.4870931537735,2820.7468911335586,1001.6273400673401,63228.0,2403.72,88.44
0.0431,6119.641144781155,4154.752794612796,1646.4754882154884,63775.14,2389.86,91.74
0.0451,8227.241324354676,5661.974276094277,2793.4887317620655,63513.78,2364.12,104.94
0.0471,9995.517890011237,8036.865813692482,4487.222087542089,63311.16,2360.16,100.32000000000001
0.049,12856.862873176222,10147.428327721664,6499.421189674524,62932.98,2346.96,106.92
0.051,15162.523950617302,12587.258653198654,8807.466823793493,62954.76,2315.94,99.66
0.0529,16576.5604264871,14684.133692480362,10918.623142536479,63433.26,2341.68,140.58
0.0549,18214.342199775543,16855.837485970824,12680.107811447813,63152.1,2296.8,131.34
0.0569,20025.996902356914,19025.601414141416,15352.010078563415,63126.36,2388.54,143.22
0.0588,21763.810482603825,20764.91824915825,17939.070572390578,62885.46,2484.2400000000002,133.32
0.0608,22430.839281705965,22437.106980920318,20223.114141414146,63934.2,2460.48,168.3
0.0627,23046.669450056128,23193.85021324355,22243.80363636364,63486.72,2436.06,142.56
0.0647,23126.592996633008,24358.759685746358,23542.739932659937,63620.04,2410.32,139.92
0.0667,24776.233310886666,25018.87075196409,24652.696879910218,62701.32,2399.76,143.88
0.0686,24556.71209876545,25806.41198653199,25324.46260381594,62958.72,2430.12,196.02
0.0706,24008.66738496074,25693.52188552189,26026.080785634123,63792.96,2442.0,176.22
0.0725,24896.24502805838,26436.132951739626,26299.576924803594,63048.48,2348.94,208.56
0.0745,25649.668193041543,26463.388888888894,26664.083524130194,62960.04,2425.5,193.38
0.0765,26260.62166105501,26852.418473625145,26930.06087542088,63317.1,2454.54,195.36
0.0784,25647.5371268238,27215.459304152642,27103.783995510665,63562.62,2505.36,225.06
0.0804,26061.718204264886,27470.538294051632,27358.548035914708,62975.88,2490.18,260.7
0.0824,25882.514545454556,27790.42368125702,27699.971358024693,63662.94,2557.5,324.72
0.0843,26701.46222222223,27840.46801346802,27843.51703703704,63020.76,2673.0,443.52
0.0863,26778.931672278348,27839.841459034797,28164.672951739623,63226.68,2785.86,620.4
0.0882,27199.109046015736,28426.12951739619,28337.72673400674,63930.24,3174.6,896.28
0.0902,26763.14253647589,28422.256475869817,28614.348395061734,63690.0,3470.28,1447.38
0.0922,27267.06047138048,29050.150033670037,29085.018136924806,65704.32,4733.52,2385.2400000000002
0.0941,28440.72650953986,25112.782356902364,29389.714320987663,65985.48,5994.12,4097.94
0.0961,28496.351986531998,29889.76686868688,29873.294747474756,68490.18000000001,9478.92,7374.18
0.098,29364.763681257027,32313.681638608312,31339.62365881033,75983.16,16408.26,14402.52
0.1,29826.777934904632,38717.936453423135,36950.56278338947,105191.46,51068.82,52916.16
0.102,31556.227340067388,60691.577912457986,35150.48215488222,447033.84,393470.88,393254.4
0.1039,55995.990505050635,69653.19973063981,51643.24083052762,848259.06,770077.4400000001,747520.62
0.1059,25599.81039281725,7770.75896745245,10167.935016835341,1238126.34,1166613.36,1114848.9
0.1078,-20163.951133557595,-15370.19485970796,-10091.304377104156,1550697.06,1467593.82,1405714.2
