Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012)
0.0,-719.9546485260798,714.2857142857142,-107.70975056689342,60719.95464852608,396.8253968253968,107.70975056689342
0.0029,-7052.1541950113315,-238.0952380952381,-187.0748299319728,59274.37641723356,238.0952380952381,187.0748299319728
0.0059,-5759.637188208617,-328.7981859410431,-260.77097505668934,60204.08163265306,328.7981859410431,260.77097505668934
0.0088,18373.01587301588,-385.4875283446712,4172.335600907029,59404.7619047619,385.4875283446712,272.10884353741494
0.0118,12341.269841269845,-294.7845804988662,-136.05442176870747,57658.730158730155,294.7845804988662,136.05442176870747
0.0147,8384.353741496605,-328.7981859410431,-119.04761904761905,58282.31292517007,328.7981859410431,119.04761904761905
0.0176,8713.15192743764,-402.49433106575964,-175.73696145124717,60175.73696145125,402.49433106575964,175.73696145124717
0.0206,-187.07482993197482,-311.79138321995464,-73.69614512471655,61298.185941043084,311.79138321995464,73.69614512471655
0.0235,10141.723356009075,2086.1678004535147,-79.36507936507937,57636.054421768706,136.05442176870747,79.36507936507937
0.0265,-1439.9092970521524,-153.0612244897959,-102.04081632653062,58106.575963718824,153.0612244897959,102.04081632653062
0.0294,21558.95691609977,-204.08163265306123,-96.3718820861678,58441.04308390023,204.08163265306123,96.3718820861678
0.0324,13565.75963718821,-170.06802721088437,-51.02040816326531,56434.24036281179,170.06802721088437,51.02040816326531
0.0353,3089.5691609977366,-124.71655328798185,-51.02040816326531,61354.87528344671,124.71655328798185,51.02040816326531
0.0382,2760.7709750566937,-238.0952380952381,-28.34467120181406,62794.78458049887,238.0952380952381,28.34467120181406
0.0412,23253.96825396826,-226.75736961451247,-124.71655328798185,62301.5873015873,226.75736961451247,124.71655328798185
0.0441,4614.512471655333,958.0498866213152,1043.0839002267574,62052.15419501134,153.0612244897959,68.02721088435374
0.0471,4172.335600907034,-136.05442176870747,-141.7233560090703,63605.44217687075,136.05442176870747,141.7233560090703
0.05,15068.027210884356,-294.7845804988662,-181.40589569160997,64931.97278911564,294.7845804988662,181.40589569160997
0.0529,6967.120181405895,-260.77097505668934,901.360544217687,64143.990929705215,260.77097505668934,209.75056689342404
0.0559,7772.108843537411,850.3401360544217,-238.0952380952381,63339.0022675737,260.77097505668934,238.0952380952381
0.0588,25668.934240362818,776.6439909297052,890.0226757369614,62108.84353741496,334.4671201814059,221.08843537414967
0.0618,-6695.011337868484,1933.1065759637188,878.6848072562358,62250.56689342404,289.1156462585034,232.42630385487527
0.0647,6944.444444444445,-368.48072562358277,1984.126984126984,64166.666666666664,368.48072562358277,238.0952380952381
0.0676,16162.131519274379,685.9410430839002,736.9614512471655,64948.97959183673,425.1700680272109,374.1496598639456
0.0706,12743.764172335606,708.6167800453514,833.3333333333333,65034.013605442175,402.49433106575964,277.77777777777777
0.0735,4126.984126984127,-589.5691609977324,1848.0725623582766,65873.01587301587,589.5691609977324,374.1496598639456
0.0765,27766.439909297056,2624.716553287982,2817.4603174603176,65566.89342403629,708.6167800453514,515.8730158730159
0.0794,23265.306122448987,5691.609977324263,12607.709750566893,64512.471655328794,975.0566893424036,725.6235827664399
0.0824,9149.659863945577,12142.857142857143,24387.755102040814,64183.67346938775,1190.4761904761904,1167.8004535147393
0.0853,58798.18594104309,43554.421768707485,31309.523809523813,67868.48072562358,2001.1337868480725,2023.8095238095239
0.0882,142970.52154195012,110850.34013605442,105243.7641723356,67029.47845804988,3594.1043083900227,3645.124716553288
0.0912,1720719.9546485262,1641944.4444444445,853395.6916099773,72613.37868480725,8055.555555555556,7715.419501133787
0.0941,6985748.299319728,5200663.265306123,6609954.648526077,78696.14512471655,17114.51247165533,16712.018140589567
0.0971,12952284.580498867,12332732.426303854,10310277.777777778,101048.75283446712,39489.795918367345,40833.333333333336
0.1,16173871.882086169,17637868.480725627,15814824.263038548,162794.78458049888,99909.2970521542,99620.1814058957
0.098,12044325.396825397,12599750.566893423,13432290.249433106,114563.49206349206,52471.65532879819,52154.19501133787
