Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012)
0.0,399795.9183673469,2108.843537414966,-34.01360544217687,49092.97052154195,113.37868480725623,34.01360544217687
0.0029,407097.50566893426,-79.36507936507937,-45.35147392290249,48458.04988662132,79.36507936507937,45.35147392290249
0.0059,443492.06349206355,2052.154195011338,0.0,49841.26984126984,170.06802721088437,0.0
0.0088,394058.9569160998,2176.8707482993195,-79.36507936507937,48163.26530612245,45.35147392290249,79.36507936507937
0.0118,453843.537414966,4297.052154195011,-68.02721088435374,50600.907029478454,147.3922902494331,68.02721088435374
0.0147,436632.6530612245,22165.532879818595,0.0,50034.013605442175,56.68934240362812,0.0
0.0176,675056.6893424037,33276.643990929704,8888.888888888889,49387.755102040814,56.68934240362812,0.0
0.0206,716712.0181405896,130975.05668934241,48854.875283446716,47732.426303854874,136.05442176870747,34.01360544217687
0.0235,1013662.1315192744,308854.8752834467,153310.6575963719,48560.09070294785,34.01360544217687,22.675736961451246
0.0265,1401133.7868480727,562131.5192743764,255544.21768707482,49977.32426303855,90.70294784580499,11.337868480725623
0.0294,1681190.4761904762,946632.6530612246,646643.9909297052,49920.63492063492,34.01360544217687,22.675736961451246
0.0324,2273786.8480725624,1444319.7278911564,924365.0793650794,52879.818594104305,124.71655328798185,79.36507936507937
0.0353,2759308.3900226755,1802120.1814058956,1255521.5419501134,51802.72108843538,102.04081632653062,34.01360544217687
0.0382,3169897.9591836734,2304376.4172335602,1722210.8843537415,50102.04081632653,68.02721088435374,11.337868480725623
0.0412,3689149.659863946,2733208.6167800454,2399954.648526077,53072.56235827664,124.71655328798185,45.35147392290249
0.0441,3982040.8163265307,3102108.8435374154,2871043.0839002267,51292.51700680272,113.37868480725623,68.02721088435374
0.0471,4294081.632653061,3421836.734693878,3277664.399092971,50362.81179138322,385.4875283446712,113.37868480725623
0.05,4329727.891156463,4017301.5873015877,3742006.8027210888,54716.55328798186,476.1904761904762,215.41950113378684
0.0529,4724353.741496599,4252936.507936507,4046315.1927437643,51201.814058956916,396.8253968253968,351.47392290249434
0.0559,4777766.439909297,4463956.916099774,4319682.53968254,51122.448979591834,487.5283446712018,317.46031746031747
0.0588,5039433.106575963,4537188.20861678,4359308.3900226755,53900.226757369615,589.5691609977324,691.609977324263
0.0618,5105283.446712018,4616972.789115647,4563707.482993198,52494.33106575964,804.9886621315193,736.9614512471655
0.0647,5248458.049886622,4730158.73015873,4734671.201814059,51541.95011337868,952.3809523809524,884.3537414965987
0.0676,5063174.603174604,4772199.54648526,4694591.836734694,52380.95238095238,1133.7868480725624,963.718820861678
0.0706,5436621.315192744,5000804.988662131,4996315.192743764,52267.573696145126,1417.233560090703,1462.5850340136055
0.0735,5589931.972789115,5058401.360544218,5020827.664399093,52290.249433106575,1598.639455782313,1394.5578231292518
0.0765,5549659.863945578,5042823.129251701,5089478.458049887,52562.358276643994,1621.315192743764,1632.6530612244899
0.0794,5877641.7233560085,5147244.897959184,5133526.077097506,53469.38775510204,1643.9909297052154,2029.4784580498865
0.0824,5849319.727891156,5315555.555555556,5562233.560090704,57346.93877551021,2222.222222222222,2210.8843537414964
0.0853,6865328.798185942,6461349.206349207,6203401.360544218,59115.6462585034,3095.2380952380954,3265.3061224489797
0.0882,10596031.746031746,10665975.056689342,11666201.814058958,61746.031746031746,5136.0544217687075,4909.297052154195
0.0912,25710022.67573696,23574455.782312926,29759965.986394558,65532.879818594105,9988.662131519275,8922.902494331065
0.0941,49236009.07029478,45772222.222222224,40919047.61904762,75102.04081632652,21111.11111111111,20952.38095238095
0.0971,63584342.40362812,62151111.11111111,61633582.766439915,97879.8185941043,42222.22222222222,41972.78911564626
0.1,81660147.39229025,78521666.66666667,76327052.15419501,166519.27437641722,118333.33333333333,117392.2902494331
0.098,70097006.8027211,68156281.17913832,65277732.426303856,107437.641723356,57052.15419501134,60045.3514739229
