Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012)
0.0,454002.26757369615,-141.7233560090703,-62.358276643990926,53775.510204081635,141.7233560090703,62.358276643990926
0.002,481927.4376417233,997.7324263038548,-79.36507936507937,56961.45124716553,113.37868480725623,79.36507936507937
0.0039,542307.2562358277,-147.3922902494331,3180.2721088435374,58803.85487528345,147.3922902494331,153.0612244897959
0.0059,483826.53061224497,946.7120181405895,-17.006802721088434,60617.91383219955,164.39909297052154,17.006802721088434
0.0078,540787.9818594104,946.7120181405895,1014.7392290249433,60323.12925170068,164.39909297052154,96.3718820861678
0.0098,544778.9115646259,2120.1814058956916,1082.766439909297,58554.421768707485,102.04081632653062,28.34467120181406
0.0118,516105.44217687077,2114.5124716553287,1037.4149659863945,56116.78004535147,107.70975056689342,73.69614512471655
0.0137,541683.6734693878,18803.854875283447,1088.4353741496598,52760.77097505669,85.03401360544218,22.675736961451246
0.0157,582517.0068027211,24308.39002267574,5521.541950113378,54149.65986394558,136.05442176870747,34.01360544217687
0.0176,607908.1632653062,29807.256235827663,8849.20634920635,52091.836734693876,192.7437641723356,39.682539682539684
0.0196,757636.0544217688,88747.16553287982,26592.970521541953,49030.61224489796,141.7233560090703,73.69614512471655
0.0216,865379.8185941044,168809.52380952382,59971.65532879819,50175.73696145125,79.36507936507937,28.34467120181406
0.0235,985595.2380952381,267653.0612244898,104438.77551020408,47738.09523809524,124.71655328798185,5.668934240362812
0.0255,1252125.850340136,477687.074829932,182188.20861678003,48985.26077097506,90.70294784580499,34.01360544217687
0.0275,1399399.0929705214,636592.9705215419,376615.64625850343,48378.684807256235,73.69614512471655,51.02040816326531
0.0294,1701417.2335600907,863276.6439909297,489903.62811791385,48582.7664399093,56.68934240362812,96.3718820861678
0.0314,1998701.814058957,1172091.836734694,815510.2040816327,50187.074829931975,130.38548752834467,45.35147392290249
0.0333,2282579.365079365,1508786.8480725624,1038860.5442176871,51865.079365079364,102.04081632653062,28.34467120181406
0.0353,2669671.2018140587,1629886.6213151927,1288854.8752834469,51439.90929705215,113.37868480725623,34.01360544217687
0.0373,2832726.7573696147,2000992.0634920637,1703287.9818594106,50606.575963718824,119.04761904761905,45.35147392290249
0.0392,3226349.2063492066,2417590.702947846,2012165.5328798187,50317.46031746032,187.0748299319728,56.68934240362812
0.0412,3424580.4988662135,2685328.798185941,2224331.0657596374,52086.16780045351,226.75736961451247,113.37868480725623
0.0431,3684495.464852608,3101944.4444444445,2580918.3673469387,51060.09070294785,277.77777777777777,192.7437641723356
0.0451,3966264.172335601,3361848.0725623583,3015351.4739229023,52624.71655328798,374.1496598639456,204.08163265306123
0.0471,4160215.4195011337,3510572.5623582765,3318605.442176871,52006.80272108843,538.5487528344671,283.4467120181406
0.049,4285651.927437643,3943905.89569161,3562970.5215419503,49903.62811791383,538.5487528344671,362.81179138321994
0.051,4585589.569160998,4019285.714285714,3887295.918367347,48854.87528344671,714.2857142857143,481.859410430839
0.0529,4604251.700680273,4225924.03628118,4091598.6394557827,50192.74376417234,742.6303854875283,623.5827664399093
0.0549,4691808.3900226755,4320045.351473923,4200487.528344671,49302.72108843538,1065.7596371882087,623.5827664399093
0.0569,4913339.002267573,4396666.666666667,4338117.9138322,48883.21995464853,1111.111111111111,770.9750566893424
0.0588,4842057.823129252,4506366.213151928,4439047.619047619,49053.28798185941,1411.5646258503402,952.3809523809524
0.0608,4881712.01814059,4602959.18367347,4588673.469387755,49399.09297052154,1485.2607709750566,1326.5306122448978
0.0627,5110685.9410430845,4483061.224489796,4540816.326530612,45980.725623582766,1383.219954648526,1405.8956916099773
0.0647,4929835.60090703,4671621.315192743,4512953.514739229,47942.1768707483,1712.0181405895692,1490.9297052154195
0.0667,5283611.111111111,4677040.816326531,4686190.476190477,45277.77777777778,1848.0725623582766,1587.3015873015872
0.0686,5062040.816326531,4801167.800453515,4970385.487528345,46848.07256235828,2165.532879818594,1836.734693877551
0.0706,5286303.854875284,4730232.426303854,5003509.070294785,48140.589569161,1989.795918367347,2046.485260770975
0.0725,5306111.111111111,4926502.267573697,4933384.353741497,47222.22222222222,2386.6213151927436,2171.201814058957
0.0745,5469087.301587302,5230793.65079365,5110674.603174603,48690.47619047619,2539.6825396825398,2658.7301587301586
0.0765,5596009.070294784,5116065.759637188,5171649.659863946,51768.707482993195,2823.1292517006805,2794.784580498866
0.0784,5621088.435374149,5393293.650793651,5273497.732426304,50022.67573696145,3373.015873015873,3168.9342403628116
0.0804,6085606.57596372,5520719.954648526,5627755.102040816,48837.86848072562,3724.4897959183672,3356.0090702947846
0.0824,6236065.759637188,6140890.022675738,5941082.76643991,50600.907029478454,4665.532879818594,4472.789115646258
0.0843,7336088.43537415,6586139.455782313,7237397.959183674,50578.231292517004,6082.766439909297,5935.374149659864
0.0863,10143911.56462585,10329382.086167801,10036734.69387755,52755.102040816324,8395.691609977324,7709.750566893424
0.0882,22663911.564625848,17563100.90702948,21748480.72562358,54977.32426303855,12454.648526077097,11519.274376417234
0.0902,27737210.884353742,33136048.752834465,29395827.664399095,65011.337868480725,18395.691609977323,20839.002267573695
0.0922,44484263.03854875,41560311.79138322,45201751.70068028,75736.96145124716,34132.65306122449,31581.632653061224
0.0941,54041349.20634921,52176893.42403629,51808820.86167801,98650.79365079365,56439.90929705215,57845.80498866213
