Bias_Current,Counts_TL1(0.010),Counts_TL2(0.012),DCounts_TL1(0.010),DCounts_TL2(0.012)
0.0,1955.7823129251701,-56.68934240362812,266.43990929705217,56.68934240362812
0.0029,-85.03401360544218,-73.69614512471655,85.03401360544218,73.69614512471655
0.0059,-249.4331065759637,-85.03401360544218,249.4331065759637,85.03401360544218
0.0088,-164.39909297052154,-56.68934240362812,164.39909297052154,56.68934240362812
0.0118,918.3673469387754,-28.34467120181406,192.7437641723356,28.34467120181406
0.0147,3202.947845804989,4410.430839002267,130.38548752834467,34.01360544217687
0.0176,13095.238095238095,5453.514739229025,238.0952380952381,102.04081632653062
0.0206,37624.71655328799,9892.290249433107,153.0612244897959,107.70975056689342
0.0235,62069.16099773243,25493.197278911564,153.0612244897959,62.358276643990926
0.0265,190997.73242630388,86615.6462585034,113.37868480725623,51.02040816326531
0.0294,260946.7120181406,169948.97959183675,164.39909297052154,51.02040816326531
0.0324,392040.81632653065,266592.97052154195,181.40589569160997,73.69614512471655
0.0353,593191.6099773243,438809.5238095238,141.7233560090703,79.36507936507937
0.0382,659812.925170068,573265.306122449,187.0748299319728,68.02721088435374
0.0412,850946.7120181406,692137.1882086168,164.39909297052154,85.03401360544218
0.0441,973168.9342403628,850946.7120181406,164.39909297052154,164.39909297052154
0.0471,1138741.4965986395,950992.0634920635,147.3922902494331,119.04761904761905
0.05,1243106.5759637188,1064229.0249433108,226.75736961451247,215.41950113378684
0.0529,1256405.89569161,1308724.4897959186,260.77097505668934,164.39909297052154
0.0559,1361955.7823129252,1289795.918367347,266.43990929705217,204.08163265306123
0.0588,1346326.530612245,1390873.015873016,340.13605442176873,238.0952380952381
0.0618,1419603.1746031747,1416264.172335601,396.8253968253968,402.49433106575964
0.0647,1420566.8934240364,1439631.5192743763,544.2176870748299,368.48072562358277
0.0676,1640521.5419501136,1459489.7959183673,589.5691609977324,510.2040816326531
0.0706,1538327.664399093,1523781.1791383221,561.2244897959183,663.2653061224489
0.0735,1563662.1315192743,1504892.2902494331,782.3129251700681,663.2653061224489
0.0765,1645731.2925170069,1566961.4512471654,935.374149659864,816.3265306122449
0.0794,1619954.6485260772,1611275.5102040817,1156.4625850340135,946.7120181405895
0.0824,1696247.1655328798,1665340.1360544218,1530.6122448979593,1326.5306122448978
0.0853,1867721.0884353742,1685487.5283446712,2278.91156462585,2290.249433106576
0.0882,2532522.6757369614,2506791.3832199546,4143.990929705215,4319.727891156463
0.0912,5425521.541950114,6370113.378684808,8922.902494331065,8775.510204081633
0.0941,10099030.612244898,10039081.632653063,19858.27664399093,19807.256235827663
0.0971,15733418.367346939,13601848.07256236,46581.63265306123,47040.816326530614
0.1,19517738.095238097,17912840.136054423,118928.57142857143,122715.41950113379
0.098,16247806.12244898,15747641.723356009,63304.988662131516,62358.27664399093
