# metadata,value
mode,qcl
fudge_factor,1
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.016),DCounts_TL1(0.016),ClicksOn_TL1(0.016),ClicksOff_TL1(0.016)
0.0,0.0,0.0,0,0
0.0039,0.0,0.0,0,0
0.0078,-68.02721088435375,68.02721088435375,0,2
0.0118,0.0,0.0,0,0
0.0157,0.0,0.0,0,0
0.0196,-68.02721088435375,68.02721088435375,0,2
0.0235,21052.63157894737,0.0,4,0
0.0275,26247.76226279986,68.02721088435375,5,2
0.0314,194736.84210526317,0.0,37,0
0.0353,363089.86752595776,68.02721088435375,69,2
0.0392,668421.052631579,0.0,127,0
0.0431,889473.6842105264,0.0,169,0
0.0471,973684.2105263158,0.0,185,0
0.051,1252495.5245255998,136.0544217687075,238,4
0.0549,1063055.8539205156,102.04081632653062,202,3
0.0588,1436740.0644468314,102.04081632653062,273,3
0.0627,1752461.5109201577,170.06802721088437,333,5
0.0667,1510356.2477622628,170.06802721088437,287,5
0.0706,1409982.098102399,544.21768707483,268,16
0.0745,1546960.2577873257,408.16326530612247,294,12
0.0784,1773208.0200501254,476.1904761904762,337,14
0.0824,1688317.2216254924,1156.4625850340137,321,34
0.0863,1834597.2073039743,2244.8979591836737,349,66
0.0902,4982160.759040459,7312.925170068027,948,215
0.0941,11990118.152524168,20408.163265306124,2282,600
0.098,16548689.581095599,61836.73469387755,3156,1818
0.102,22237030.075187974,289285.7142857143,4280,8505
0.1059,23876315.789473686,5650000.0,5610,166110
0.1098,21148376.29788758,11746360.544217687,6250,345343
0.1137,20342581.453634087,16199523.80952381,6943,476266
0.1176,18769076.262083787,20494081.63265306,7460,602526
