# metadata,value
mode,qcl
fudge_factor,1
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.010),Counts_TL2(0.012),Counts_TL3(0.015),DCounts_TL1(0.010),DCounts_TL2(0.012),DCounts_TL3(0.015),ClicksOn_TL1(0.010),ClicksOn_TL2(0.012),ClicksOn_TL3(0.015),ClicksOff_TL1(0.010),ClicksOff_TL2(0.012),ClicksOff_TL3(0.015)
0.0,1544311.6720372362,5178.123881131401,-153.06122448979593,425.1700680272109,85.03401360544218,153.06122448979593,587,2,0,25,5,9
0.0039,1502461.5109201577,2512.531328320802,-85.03401360544218,170.06802721088437,119.04761904761905,85.03401360544218,571,1,0,10,7,5
0.0078,1554906.0150375941,10305.227354099536,0.0,357.14285714285717,221.08843537414967,0.0,591,4,0,21,13,0
0.0118,1565551.3784461154,20899.570354457574,-34.013605442176875,238.0952380952381,153.06122448979593,34.013605442176875,595,8,0,14,9,2
0.0157,1589116.5413533836,15721.446473326174,-204.08163265306123,357.14285714285717,68.02721088435375,204.08163265306123,604,6,0,21,4,12
0.0196,1612919.799498747,42054.24274973148,15704.439670605087,238.0952380952381,51.02040816326531,85.03401360544218,613,16,6,14,3,5
0.0235,1867876.8349445043,155110.09667024706,28794.307196562837,544.21768707483,153.06122448979593,153.06122448979593,710,59,11,32,9,9
0.0275,2010254.2069459364,315721.4464733262,144668.81489437883,272.108843537415,68.02721088435375,68.02721088435375,764,120,55,16,4,4
0.0314,2034023.4514858576,373446.1152882206,176281.77586824202,187.0748299319728,238.0952380952381,34.013605442176875,773,142,67,11,14,2
0.0353,2149659.863945578,591765.1271034731,336723.0576441103,340.13605442176873,340.13605442176873,119.04761904761905,817,225,128,20,20,7
0.0392,2405042.069459363,818199.9641962048,707673.6484067311,221.08843537414967,221.08843537414967,221.08843537414967,914,311,269,13,13,13
0.0431,2641799.1407089154,997232.3666308629,934074.4718940208,306.12244897959187,136.0544217687075,136.0544217687075,1004,379,355,18,8,8
0.0471,2617995.8825635524,1149710.8843537415,1034108.485499463,425.1700680272109,289.11564625850343,102.04081632653062,995,437,393,25,17,6
0.051,2723344.074471894,1426094.70103831,1218182.957393484,340.13605442176873,221.08843537414967,238.0952380952381,1035,542,463,20,13,14
0.0549,2765194.235588973,1436535.9828141783,1347130.3258145365,595.2380952380953,306.12244897959187,238.0952380952381,1051,546,512,35,18,14
0.0588,2870627.4615109204,1478845.3276047262,1357588.6143931258,425.1700680272109,102.04081632653062,306.12244897959187,1091,562,516,25,6,18
0.0627,3010101.145721447,1439167.5617615469,1378709.2731829577,425.1700680272109,306.12244897959187,238.0952380952381,1144,547,524,25,18,14
0.0667,2883768.3494450413,1552189.4020766201,1604957.0354457574,442.17687074829934,442.17687074829934,306.12244897959187,1096,590,610,26,26,18
0.0706,2999370.74829932,1612392.5886143933,1410033.1185105622,629.2517006802722,765.3061224489796,493.19727891156464,1140,613,536,37,45,29
0.0745,2941646.0794844255,1662613.6770497675,1773071.9656283567,459.18367346938777,544.21768707483,612.2448979591837,1118,632,674,27,32,36
0.0784,3193886.501969209,1696552.0945220194,1580830.6480486933,850.3401360544218,816.3265306122449,748.2993197278912,1214,645,601,50,48,44
0.0824,3266992.481203008,1730405.477980666,1738045.1127819552,1428.5714285714287,1173.4693877551022,1428.5714285714287,1242,658,661,84,69,84
0.0863,3323135.517364841,2081438.4174722522,2036667.5617615469,3180.2721088435374,2772.108843537415,2806.122448979592,1264,792,775,187,163,165
0.0902,6895131.578947369,3510870.032223416,5537185.821697101,7500.0,7551.0204081632655,7551.0204081632655,2623,1337,2107,441,444,444
0.0941,12875174.543501612,11448773.720014323,11768555.316863589,22193.87755102041,22278.91156462585,20918.367346938776,4901,4359,4480,1305,1310,1230
0.098,18891138.560687434,17929821.876118872,17751367.704976726,69387.75510204081,64914.96598639456,64421.768707482996,7205,6838,6770,4080,3817,3788
