# metadata,value
mode,qcl
fudge_factor,1
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.012),Counts_TL2(0.014),Counts_TL3(0.016),DCounts_TL1(0.012),DCounts_TL2(0.014),DCounts_TL3(0.016),ClicksOn_TL1(0.012),ClicksOn_TL2(0.014),ClicksOn_TL3(0.016),ClicksOff_TL1(0.012),ClicksOff_TL2(0.014),ClicksOff_TL3(0.016)
0.0,-37.41496598639456,-17.006802721088437,-3.4013605442176873,37.41496598639456,17.006802721088437,3.4013605442176873,0,0,0,11,5,1
0.002,-27.2108843537415,-10.204081632653061,-6.802721088435375,27.2108843537415,10.204081632653061,6.802721088435375,0,0,0,8,3,2
0.0039,512.7103472968136,-10.204081632653061,0.0,13.60544217687075,10.204081632653061,0.0,1,0,0,4,3,0
0.0059,-27.2108843537415,-6.802721088435375,-13.60544217687075,27.2108843537415,6.802721088435375,13.60544217687075,0,0,0,8,2,4
0.0078,-27.2108843537415,-17.006802721088437,-13.60544217687075,27.2108843537415,17.006802721088437,13.60544217687075,0,0,0,8,5,4
0.0098,526.3157894736843,-10.204081632653061,0.0,0.0,10.204081632653061,0.0,1,0,0,0,3,0
0.0118,512.7103472968136,-13.60544217687075,-6.802721088435375,13.60544217687075,13.60544217687075,6.802721088435375,1,0,0,4,4,2
0.0137,3147.6906552094524,0.0,-13.60544217687075,10.204081632653061,0.0,13.60544217687075,6,0,0,3,0,4
0.0157,5242.7497314715365,-10.204081632653061,0.0,20.408163265306122,10.204081632653061,0.0,10,0,0,6,3,0
0.0176,6315.789473684211,1575.5460078768351,1045.8288578589331,0.0,3.4013605442176873,6.802721088435375,12,3,2,0,1,2
0.0196,23684.210526315794,3670.605084138919,1052.6315789473686,0.0,13.60544217687075,0.0,45,7,2,0,4,0
0.0216,37344.61152882205,13134.085213032584,2098.460436806302,23.80952380952381,23.80952380952381,6.802721088435375,71,25,4,7,7,2
0.0235,88943.96706050842,25263.157894736843,9460.078768349445,3.4013605442176873,0.0,13.60544217687075,169,48,18,1,0,4
0.0255,153151.0920157537,55782.6709631221,12105.263157894738,6.802721088435375,6.802721088435375,0.0,291,106,23,2,2,0
0.0275,233656.9996419621,92088.25635517365,32611.170784103117,27.2108843537415,17.006802721088437,20.408163265306122,444,175,62,8,5,6
0.0294,325629.60973863234,179402.25563909777,62030.43322592196,159.8639455782313,71.42857142857143,74.82993197278913,619,341,118,47,21,22
0.0314,445775.8682420337,266274.9731471536,115218.94020766202,13.60544217687075,40.816326530612244,44.21768707482993,847,506,219,4,12,13
0.0333,583117.0784103115,411568.74328678846,196835.3025420695,40.816326530612244,10.204081632653061,6.802721088435375,1108,782,374,12,3,2
0.0353,755667.0247046187,516814.89437880425,272074.6509129968,122.44897959183675,27.2108843537415,30.612244897959187,1436,982,517,36,8,9
0.0373,802064.4468313642,654655.2094522021,429405.656999642,40.816326530612244,81.63265306122449,68.02721088435375,1524,1244,816,12,24,20
0.0392,1033629.7887576085,782573.7558181168,552549.9462943072,54.421768707483,57.823129251700685,81.63265306122449,1964,1487,1050,16,17,24
0.0412,1220444.6831364126,1035191.7293233084,759955.7823129253,81.63265306122449,71.42857142857143,44.21768707482993,2319,1967,1444,24,21,13
0.0431,1352023.6305048335,1136774.0780522737,878862.3344074473,81.63265306122449,68.02721088435375,85.03401360544218,2569,2160,1670,24,20,25
0.0451,1505184.9266022202,1294658.6108127465,1071531.3283208022,78.2312925170068,78.2312925170068,47.61904761904762,2860,2460,2036,23,23,14
0.0471,1662529.538131042,1462573.755818117,1197279.985678482,102.04081632653062,57.823129251700685,88.43537414965986,3159,2779,2275,30,17,26
0.049,1833035.4457572503,1640957.3934837095,1332044.0386680989,122.44897959183675,95.23809523809524,61.22448979591837,3483,3118,2531,36,28,18
0.051,1938824.9194414609,1844610.9917651273,1592566.9530970284,122.44897959183675,125.85034013605443,64.62585034013605,3684,3505,3026,36,37,19
0.0529,2023510.741138561,1903588.9724310779,1702536.3408521304,173.46938775510205,95.23809523809524,95.23809523809524,3845,3617,3235,51,28,28
0.0549,2101419.083422843,2044016.6487647693,1889880.9523809527,159.8639455782313,193.87755102040816,119.04761904761905,3993,3884,3591,47,57,35
0.0569,2171822.9502327247,2109840.1360544222,1968763.6949516651,282.31292517006807,159.8639455782313,183.67346938775512,4127,4009,3741,83,47,54
0.0588,2192379.8782670964,2106057.286072324,2090879.1621911926,251.70068027210885,258.5034013605442,173.46938775510205,4166,4002,3973,74,76,51
0.0608,2157096.3122090944,2196587.003222342,2162407.08915145,272.108843537415,255.10204081632654,224.48979591836735,4099,4174,4109,80,75,66
0.0627,2285934.837092732,2258135.3383458653,2156583.6018617977,380.95238095238096,285.7142857142857,258.5034013605442,4344,4291,4098,112,84,76
0.0647,2279670.0680272114,2308087.719298246,2208142.1410669535,329.93197278911566,333.33333333333337,278.91156462585036,4332,4386,4196,97,98,82
0.0667,2348600.429645543,2354889.008234873,2331259.2194772647,346.9387755102041,374.1496598639456,319.7278911564626,4463,4475,4430,102,110,94
0.0686,2358546.0078768353,2436997.672753312,2374318.4747583247,401.3605442176871,370.7482993197279,418.36734693877554,4482,4631,4512,118,109,123
0.0706,2391102.756892231,2375860.0071607595,2335374.507697816,476.1904761904762,455.7823129251701,414.96598639455783,4544,4515,4438,140,134,122
