# metadata,value
mode,qcl
fudge_factor,1
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.012),Counts_TL2(0.014),Counts_TL3(0.016),DCounts_TL1(0.012),DCounts_TL2(0.014),DCounts_TL3(0.016),ClicksOn_TL1(0.012),ClicksOn_TL2(0.014),ClicksOn_TL3(0.016),ClicksOff_TL1(0.012),ClicksOff_TL2(0.014),ClicksOff_TL3(0.016)
0.0,5354.421768707483,-27.425707124955238,-25.886143931256697,645.578231292517,553.7414965986395,446.9387755102041,57,5,4,949,814,657
0.002,4449.552452559972,-244.93376297887573,-167.20372359470105,813.6054421768707,665.9863945578231,482.99319727891157,50,4,3,1196,979,710
0.0039,7446.759756534192,-18.582169709989216,563.0146795560329,658.5034013605442,544.8979591836735,384.3537414965987,77,5,9,968,801,565
0.0059,4906.3372717508055,-170.60508413891876,-32.008592910848506,567.3469387755102,486.3945578231293,453.0612244897959,52,3,4,834,715,666
0.0078,6725.563909774436,865.6999641962047,-319.22663802363047,642.8571428571429,502.72108843537416,424.48979591836735,70,13,1,945,739,624
0.0098,7416.326530612245,145.18438954529176,-88.11313999283925,583.6734693877551,486.3945578231293,298.63945578231295,76,6,2,858,715,439
0.0118,7260.401002506266,482.2413175796635,-275.51020408163265,423.8095238095238,359.8639455782313,275.51020408163265,73,8,0,623,529,405
0.0137,7360.902255639098,191.4428929466523,-262.5850340136054,428.57142857142856,440.13605442176873,262.5850340136054,74,6,0,630,647,386
0.0157,5899.462943071966,209.30898675259584,-196.59863945578232,416.3265306122449,317.00680272108843,196.59863945578232,60,5,0,612,466,289
0.0176,5765.807375581811,324.7762262799857,-169.3877551020408,339.4557823129252,306.80272108843536,169.3877551020408,58,6,0,499,451,249
0.0196,7260.580021482277,441.7830290010741,387.54027926960265,318.36734693877554,189.79591836734693,138.77551020408163,72,6,5,468,279,204
0.0216,8867.418546365914,460.83064804869315,168.85069817400642,290.4761904761905,170.7482993197279,146.9387755102041,87,6,3,427,251,216
0.0235,9656.641604010025,1086.2871464375223,278.1954887218045,238.0952380952381,176.87074829931973,142.85714285714286,94,12,4,350,260,210
0.0255,11904.582885785892,883.2438238453277,386.1797350519156,200.68027210884355,169.3877551020408,140.1360544217687,115,10,5,295,249,206
0.0275,10398.925886143932,2672.0372359470107,1286.108127461511,232.6530612244898,170.06802721088437,82.31292517006803,101,27,13,342,250,121
0.0294,12386.86000716076,2227.3540995345506,1078.9831722162548,139.45578231292518,88.43537414965986,78.91156462585035,119,22,11,205,130,116
0.0314,12718.295739348372,4684.461152882206,2253.8847117794485,123.80952380952381,52.38095238095238,61.904761904761905,122,45,22,182,77,91
0.0333,11900.680272108844,5514.321518080917,3303.1149301825994,99.31972789115646,64.62585034013605,65.3061224489796,114,53,32,146,95,96
0.0353,14875.259577515217,6778.1596849266025,5966.666666666667,72.10884353741497,63.945578231292515,33.333333333333336,142,65,57,106,94,49
0.0373,16540.422484783387,7750.698174006445,6296.741854636592,91.15646258503402,38.775510204081634,19.047619047619047,158,74,60,134,57,28
0.0392,18778.159684926606,10469.85320443967,7331.686358754028,63.945578231292515,56.46258503401361,36.734693877551024,179,100,70,94,83,54
0.0412,20231.435732187612,10567.63336913713,9761.582527747942,84.35374149659864,63.945578231292515,27.891156462585034,193,101,93,124,94,41
0.0431,20828.320802005015,12260.687432867884,11745.255997135697,119.04761904761905,55.10204081632653,44.21768707482993,199,117,112,175,81,65
0.0451,24916.57715717866,17371.643394199786,12486.86000716076,136.0544217687075,102.04081632653062,39.45578231292517,238,166,119,200,150,58
0.0471,25142.570712495526,15354.636591478698,12212.388113139992,225.85034013605443,119.04761904761905,103.4013605442177,241,147,117,332,175,152
0.049,25108.557107053348,16320.193340494092,18221.231650554957,259.8639455782313,206.12244897959184,94.5578231292517,241,157,174,382,303,139
0.051,25139.67060508414,18484.461152882202,15122.34156820623,334.01360544217687,252.38095238095238,140.81632653061226,242,178,145,491,371,207
0.0529,25394.23558897243,18080.236305048333,19649.158610812745,395.23809523809524,340.81632653061223,245.57823129251702,245,175,189,581,501,361
0.0549,25954.38596491228,19282.16970998926,21381.489437880417,466.6666666666667,402.0408163265306,302.72108843537416,251,187,206,686,591,445
0.0569,25434.01360544218,18974.36448263516,20743.609022556393,565.9863945578231,499.31972789115645,414.2857142857143,247,185,201,832,734,609
0.0588,26260.293591120662,21746.40171858217,23313.963480128896,687.0748299319728,569.3877551020408,475.51020408163265,256,212,226,1010,837,699
0.0608,25310.02506265664,22433.58395989975,19962.370211242393,795.2380952380953,619.047619047619,563.9455782312925,248,219,195,1169,910,829
0.0627,28926.20837808808,21520.551378446115,21544.53992123165,863.265306122449,795.2380952380953,665.9863945578231,283,212,211,1269,1169,979
0.0647,30319.620479770856,22444.611528822057,22891.693519513068,943.5374149659864,923.8095238095239,792.5170068027211,297,222,225,1387,1358,1165
0.0667,29471.213748657356,22739.81382026495,23913.53383458647,1055.1020408163265,1049.6598639455783,928.5714285714286,290,226,236,1551,1543,1365
0.0686,28977.873254564984,24402.756892230576,26294.951664876477,1232.6530612244899,1176.1904761904761,1073.4693877551022,287,243,260,1812,1729,1578
0.0706,29070.533476548513,25806.19405657,22859.004654493376,1455.7823129251701,1351.700680272109,1246.2585034013605,290,258,229,2140,1987,1832
0.0725,32484.353741496598,26106.158252774796,28420.587182241317,1515.6462585034014,1472.7891156462586,1474.1496598639455,323,262,284,2228,2165,2167
0.0745,41340.38668098818,29996.455424274973,34452.882205513786,1712.2448979591836,1687.7551020408164,1652.3809523809525,409,301,343,2517,2481,2429
0.0765,49300.57286072324,36727.9985678482,40297.42212674544,1962.5850340136055,2008.843537414966,2018.3673469387757,487,368,402,2885,2953,2967
0.0784,60325.27747941282,47593.87755102041,51857.286072323666,2411.5646258503402,2406.122448979592,2458.503401360544,596,475,516,3545,3537,3614
0.0804,79867.59756534193,74805.62119584676,72443.57321876119,3185.0340136054424,3089.1156462585036,3135.374149659864,789,740,718,4682,4541,4609
0.0824,122374.25707124955,106584.28213390619,112547.54744002865,4362.585034013606,4257.823129251701,4294.557823129252,1204,1053,1110,6413,6259,6313
0.0843,193519.40565699965,190433.76297887578,180668.9581095596,6270.068027210885,6513.605442176871,6383.673469387755,1898,1871,1777,9217,9575,9384
0.0863,444780.5585392052,380086.2513426423,366982.95739348367,9851.020408163266,9597.959183673469,9438.095238095239,4319,3702,3576,14481,14109,13874
0.0882,1692021.6612960973,1878057.8947368423,1835591.7651271035,15241.496598639456,15100.0,15250.340136054421,16219,17985,17583,22405,22197,22418
0.0902,7719654.70819907,7620709.559613319,7691559.470103832,24976.87074829932,24869.38775510204,25072.108843537415,73574,72633,73308,36716,36558,36856
0.0922,14138510.633727176,14003338.811314,13523828.57142857,42436.73469387755,42240.13605442177,42171.42857142857,134719,133433,128877,62382,62093,61992
0.0941,21192309.738632295,20904194.98746867,20169615.431435734,73163.94557823129,72752.38095238095,72910.8843537415,202022,199281,192304,107551,106946,107179
0.0931,17281837.952022918,17410696.097386323,16670645.578231292,55846.25850340136,55198.639455782315,55354.421768707485,164708,165926,158897,82094,81142,81371
