# metadata,value
mode,qcl
fudge_factor,1
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.016),DCounts_TL1(0.016),ClicksOn_TL1(0.016),ClicksOff_TL1(0.016)
0.0,211.9584675975654,489.7959183673469,2,216
0.0039,-473.9229024943311,473.9229024943311,0,209
0.0078,1226.041293710467,528.3446712018141,5,233
0.0118,146.1988304093568,555.5555555555555,2,245
0.0157,-482.99319727891157,482.99319727891157,0,213
0.0196,866.0938059434301,537.4149659863946,4,237
0.0235,2745.196324143693,412.6984126984127,9,182
0.0275,4476.906552094522,435.3741496598639,14,192
0.0314,12848.072562358278,485.2607709750567,38,214
0.0353,19908.70032223416,442.17687074829934,58,195
0.0392,38706.408879341216,591.8367346938776,112,261
0.0431,51786.37068862633,494.33106575963717,149,218
0.0471,64413.414488602466,498.8662131519274,185,220
0.051,73092.37379162193,591.8367346938776,210,261
0.0549,88609.73863229503,863.9455782312925,255,381
0.0588,97623.70211242393,972.7891156462586,281,429
0.0627,89709.39252894142,1167.8004535147393,259,515
0.0667,99508.41389187254,1544.2176870748299,288,681
0.0706,102029.71715001791,1829.9319727891157,296,807
0.0745,111967.06050841391,2068.0272108843537,325,912
0.0784,131533.35720253017,2852.6077097505668,383,1258
0.0824,193864.06492421532,4732.426303854875,566,2087
0.0863,541775.6295500657,10154.195011337868,1573,4478
0.0902,7256626.805108009,25478.45804988662,20754,11236
0.0941,19636504.236782435,73671.20181405895,56174,32489
0.0931,16462775.629550068,55820.861678004534,47078,24617
