# Power Ramp Measurement
bias_voltage_V,0.07
trigger_level_V,0.012
integration_time_s,5
fudge_factor,1

QCL_Current_mA,Signal_Hz,Dark_Hz,ClicksOn,ClicksOff
250.0,48.51414249910492,91.83673469387755,4,405
254.0,81.56104547081992,93.87755102040816,5,414
260.0,13.879937940088325,91.38321995464852,3,403
262.0,287.5522138680034,98.4126984126984,11,434
268.0,399.1645781119466,92.06349206349206,14,406
274.0,2222.592194772646,93.19727891156462,66,411
276.0,14681.907148824443,90.02267573696145,421,397
283.0,44250.42367824323,100.45351473922902,1264,443
288.0,60941.520467836264,111.11111111111111,1740,490
293.0,83545.94820384296,103.17460317460318,2384,455
296.0,106450.29239766083,111.11111111111111,3037,490
302.0,125149.09893782076,114.05895691609977,3570,503
306.0,153037.71333094643,120.18140589569161,4365,530
311.0,183415.96849266023,127.89115646258503,5231,564
315.0,220533.78684807257,132.8798185941043,6289,586
320.0,250820.38429406853,126.98412698412697,7152,560
324.0,254585.3681823607,151.47392290249434,7260,668
328.0,253920.74233202054,149.4331065759637,7241,659
332.0,230198.2694832319,152.6077097505669,6565,673
