# Power Ramp Measurement
bias_voltage_V,0.07
trigger_level_V,0.012
integration_time_s,5
fudge_factor,1
  qcl:
    on_start: 0.100  
    on_stop: 0.290  
    off_start: 0.600  # 160 microseconds
    off_stop: 30 #0.340  

QCL_Current_mA,Signal_Hz,Dark_Hz,ClicksOn,ClicksOff
250.0,240.2195966105741,110.65759637188208,10,488
252.0,386.9196801527629,104.30839002267574,14,460
257.0,326.2680510800812,94.7845804988662,12,418
261.0,203.09106098579787,112.6984126984127,9,497
268.0,283.24382384532765,102.72108843537414,11,453
272.0,7091.168397183435,101.8140589569161,205,449
277.0,23438.87098699129,104.98866213151928,671,463
281.0,43299.42713927677,104.08163265306122,1237,459
286.0,65648.71703067192,105.6689342403628,1874,466
292.0,85540.5060269722,108.61678004535148,2441,479
299.0,120600.16708437761,101.58730158730158,3440,448
304.0,144179.79472490752,100.90702947845804,4112,445
308.0,173396.98054660464,111.79138321995464,4945,493
313.0,202352.9060747106,138.3219954648526,5771,610
317.5,232319.6324143693,136.5079365079365,6625,602
322.0,256133.30946413655,147.3922902494331,7304,650
327.0,257222.8428213391,145.578231292517,7335,642
332.0,242959.3149540518,163.4920634920635,6929,721
336.0,216261.86895810958,159.18367346938774,6168,702
