# metadata,value
mode,qcl
fudge_factor,1
cycles,6
cycles_completed,6
integration_time,4
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.011),Counts_TL2(0.012),Counts_TL3(0.014),Counts_TL4(0.016),Counts_TL5(0.018),Counts_TL6(0.020),DCounts_TL1(0.011),DCounts_TL2(0.012),DCounts_TL3(0.014),DCounts_TL4(0.016),DCounts_TL5(0.018),DCounts_TL6(0.020),ClicksOn_TL1(0.011),ClicksOn_TL2(0.012),ClicksOn_TL3(0.014),ClicksOn_TL4(0.016),ClicksOn_TL5(0.018),ClicksOn_TL6(0.020),ClicksOff_TL1(0.011),ClicksOff_TL2(0.012),ClicksOff_TL3(0.014),ClicksOff_TL4(0.016),ClicksOff_TL5(0.018),ClicksOff_TL6(0.020)
0.0098,9640.064944106298,525.5599315749693,7.120977045789076,-0.0472411186696901,0.0,0.0,1.7479213907785336,0.7558578987150416,0.1889644746787604,0.0472411186696901,0.0,0.0,1319.0,72.0,1.0,0.0,0.0,0.0,37.0,16.0,4.0,1.0,0.0,0.0
0.0118,9530.840991367308,423.2679914070892,14.289195210247843,0.0,0.0,-0.0472411186696901,1.3227513227513228,0.7086167800453514,0.3306878306878307,0.0,0.0,0.0472411186696901,1304.0,58.0,2.0,0.0,0.0,0.0,28.0,15.0,7.0,0.0,0.0,1.0
0.0137,9355.260671520073,627.9935950988583,28.814596013844138,7.309941520467837,0.0,0.0,1.464474678760393,0.6613756613756614,0.4251700680272109,0.0,0.0,0.0,1280.0,86.0,4.0,1.0,0.0,0.0,31.0,14.0,9.0,0.0,0.0,0.0
0.0157,9999.244142101286,811.1200620599118,36.31350200899074,7.309941520467837,7.262700401798147,0.0,0.7558578987150416,0.2834467120181406,0.2362055933484505,0.0,0.0472411186696901,0.0,1368.0,111.0,5.0,1.0,1.0,0.0,16.0,6.0,5.0,0.0,1.0,0.0
0.0176,11102.478418267892,1109.8356009070296,167.75072602140276,29.09804272586228,14.619883040935674,7.309941520467837,1.3227513227513228,1.2755102040816326,0.3779289493575208,0.1417233560090703,0.0,0.0,1519.0,152.0,23.0,4.0,2.0,1.0,28.0,27.0,8.0,3.0,0.0,0.0
0.0196,11584.414906313405,1526.407785336357,270.3261129013009,87.67205712694437,-0.0472411186696901,0.0,1.842403628117914,1.369992441421013,0.1417233560090703,0.0472411186696901,0.0472411186696901,0.0,1585.0,209.0,37.0,12.0,0.0,0.0,39.0,29.0,3.0,1.0,1.0,0.0
0.0216,12498.535525321242,2411.9027728050287,759.7615069419581,204.63112145442977,0.0,7.309941520467837,1.464474678760393,0.3779289493575208,0.472411186696901,0.0472411186696901,0.0,0.0,1710.0,330.0,104.0,28.0,0.0,1.0,31.0,8.0,10.0,1.0,0.0,0.0
0.0235,13712.174782193582,2975.0517165930705,1556.781338266301,387.42690058479536,94.9819986474122,14.619883040935674,1.2755102040816326,0.0944822373393802,0.2362055933484505,0.0,0.0472411186696901,0.0,1876.0,407.0,213.0,53.0,13.0,2.0,27.0,2.0,5.0,0.0,1.0,0.0
0.0255,14888.177785734179,4480.427258622748,2360.9221466364324,855.1686756573976,292.3976608187135,14.619883040935674,2.1730914588057444,0.5668934240362812,0.1889644746787604,0.0944822373393802,0.0,0.0,2037.0,613.0,323.0,117.0,40.0,2.0,46.0,12.0,4.0,2.0,0.0,0.0
0.0275,17469.81541154474,6417.467279309385,3808.2905676890646,1410.8187134502925,380.0697179456578,80.40935672514621,0.944822373393802,0.6613756613756614,0.1889644746787604,0.0,0.0472411186696901,0.0,2390.0,878.0,521.0,193.0,52.0,11.0,20.0,14.0,4.0,0.0,1.0,0.0
