# metadata,value
mode,qcl
fudge_factor,1
cycles,6
cycles_completed,6
integration_time,10
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.011),Counts_TL2(0.012),Counts_TL3(0.014),DCounts_TL1(0.011),DCounts_TL2(0.012),DCounts_TL3(0.014),ClicksOn_TL1(0.011),ClicksOn_TL2(0.012),ClicksOn_TL3(0.014),ClicksOff_TL1(0.011),ClicksOff_TL2(0.012),ClicksOff_TL3(0.014)
0.0049,12838.10418904404,733.5024068106776,-0.03779289493575208,1.0770975056689343,0.41572184429327286,0.03779289493575208,4391.0,251.0,0.0,57.0,22.0,2.0
0.0069,13051.781238811316,683.8137009189641,2.8483908183156306,0.8503401360544217,0.3968253968253968,0.07558578987150416,4464.0,234.0,1.0,45.0,21.0,4.0
0.0088,12636.765524923421,628.636074312766,2.8105979233798783,0.6613756613756614,0.01889644746787604,0.11337868480725623,4322.0,215.0,1.0,35.0,1.0,6.0
0.0108,13279.908103592315,786.3985360225962,14.54429725106417,0.7936507936507936,0.15117157974300832,0.07558578987150416,4542.0,269.0,5.0,42.0,8.0,4.0
0.0127,13414.373234673987,774.6459402474441,17.449377411783427,0.8314436885865457,0.20786092214663643,0.09448223733938019,4588.0,265.0,6.0,44.0,11.0,5.0
0.0147,13598.82941480686,967.779567967538,29.18307673946772,0.5857898715041572,0.056689342403628114,0.056689342403628114,4651.0,331.0,10.0,31.0,3.0,3.0
0.0167,14125.201893622949,1122.6180530691809,96.49122807017545,0.5291005291005291,0.18896447467876037,0.0,4831.0,384.0,33.0,28.0,10.0,0.0
0.0186,14476.154672395276,1464.7611091220115,277.7210884353742,0.4535147392290249,0.15117157974300832,0.056689342403628114,4951.0,501.0,95.0,24.0,8.0,3.0
0.0206,15549.140708915145,2210.375144209731,456.1025579822573,0.5668934240362812,0.15117157974300832,0.03779289493575208,5318.0,756.0,156.0,30.0,8.0,2.0
0.0225,16572.362453753434,3037.7282491944147,1029.145283844532,0.7369614512471655,0.2834467120181406,0.09448223733938019,5668.0,1039.0,352.0,39.0,15.0,5.0
0.0245,18230.200501253134,4198.698134224451,1777.75888133031,0.7936507936507936,0.13227513227513227,0.01889644746787604,6235.0,1436.0,608.0,42.0,7.0,1.0
0.0265,20104.507299996025,5698.603651987111,3108.1304451605206,0.7558578987150415,0.22675736961451246,0.056689342403628114,6876.0,1949.0,1063.0,40.0,12.0,3.0
0.0284,21408.67645303736,7447.255042367825,4567.2136690933685,0.6802721088435374,0.11337868480725623,0.03779289493575208,7322.0,2547.0,1562.0,36.0,6.0,2.0
0.0304,23162.9112463699,9584.60635716275,6219.2604527191,0.8314436885865457,0.18896447467876037,0.03779289493575208,7922.0,3278.0,2127.0,44.0,10.0,2.0
0.0324,25384.73664319529,11648.801567410592,8175.419700043761,1.2282690854119425,0.32123960695389264,0.01889644746787604,8682.0,3984.0,2796.0,65.0,17.0,1.0
0.0343,27720.975056689345,14168.948164060947,10014.48760790866,1.2471655328798186,0.6424792139077853,0.13227513227513227,9481.0,4846.0,3425.0,66.0,34.0,7.0
0.0363,29778.83100608665,15829.351155666947,12321.42956597844,1.8707482993197277,1.0582010582010581,0.20786092214663643,10185.0,5414.0,4214.0,99.0,56.0,11.0
0.0382,31847.28686796356,17772.94525997534,14572.513625333175,3.5903250188964475,1.90854119425548,0.5857898715041572,10893.0,6079.0,4984.0,190.0,101.0,31.0
0.0402,33748.50916974977,19952.058718224132,17080.567490153957,5.876795162509448,4.081632653061225,1.3038548752834467,11544.0,6825.0,5842.0,311.0,216.0,69.0
0.0422,36148.82444205753,22326.398337112627,19775.094482237342,9.070294784580499,6.934996220710506,2.6832955404383974,12366.0,7638.0,6764.0,480.0,367.0,142.0
0.0441,37975.70016310618,24688.90977443609,21623.36396546923,12.603930461073318,9.920634920634921,5.291005291005291,12992.0,8447.0,7397.0,667.0,525.0,280.0
0.0461,39753.42522974102,26636.92962565143,23907.04141305645,21.428571428571427,15.11715797430083,8.16326530612245,13603.0,9115.0,8179.0,1134.0,800.0,432.0
0.048,41051.646974579315,28519.43151529618,26246.647372399257,24.37641723356009,21.50415721844293,13.586545729402872,14048.0,9761.0,8981.0,1290.0,1138.0,719.0
0.05,42188.945578231294,29679.29546087441,28407.172693638862,33.276643990929706,28.306878306878307,19.727891156462583,14440.0,10160.0,9722.0,1761.0,1498.0,1044.0
0.052,43149.71456418825,31248.51613159884,29650.735966901382,40.34391534391534,35.10959939531368,27.626606198034768,14771.0,10699.0,10150.0,2135.0,1858.0,1462.0
0.0539,44460.79384970363,31779.455583402956,31189.431913116125,47.978080120937264,45.10582010582011,35.714285714285715,15222.0,10884.0,10679.0,2539.0,2387.0,1890.0
0.0559,44760.909217488166,32168.36734693878,31633.389028125872,57.804232804232804,53.85487528344671,44.973544973544975,15328.0,11020.0,10834.0,3059.0,2850.0,2380.0
0.0578,45239.44384771453,32269.992441421015,32330.48494251502,67.57369614512471,63.34089191232048,55.47996976568405,15495.0,11058.0,11076.0,3576.0,3352.0,2936.0
0.0598,45265.461272228196,33637.41596053626,32772.87862513427,76.64399092970521,73.11035525321239,63.378684807256235,15507.0,11529.0,11230.0,4056.0,3869.0,3354.0
0.0618,45980.38449297848,34107.8350638501,33412.5104427736,86.86696900982615,85.14739229024943,75.7936507936508,15755.0,11694.0,11453.0,4597.0,4506.0,4011.0
0.0637,46832.93750248638,35096.40768588138,34593.701515694,99.81103552532123,93.65079365079364,87.58503401360544,16051.0,12035.0,11861.0,5282.0,4956.0,4635.0
0.0657,46710.3612205116,35628.83498428611,34544.56876317779,108.35222978080121,105.08314436885865,104.55404383975812,16012.0,12221.0,11850.0,5734.0,5561.0,5533.0
0.0676,47688.09722719497,35576.95329593826,34881.2030075188,121.8442932728647,118.95313681027966,115.87301587301587,16351.0,12208.0,11969.0,6448.0,6295.0,6132.0
0.0696,48136.9574730477,35737.903289970964,35586.74961212555,132.04837490551776,130.5177626606198,126.70068027210884,16508.0,12267.0,12214.0,6988.0,6907.0,6705.0
0.0716,48235.8992719895,36584.11703862833,36199.078052273544,144.21768707482994,143.95313681027966,143.02721088435374,16546.0,12561.0,12429.0,7632.0,7618.0,7569.0
0.0735,49130.42228587342,36479.24473883121,37062.00421689144,159.05139833711263,158.18216175359032,157.29402872260016,16857.0,12530.0,12729.0,8417.0,8371.0,8324.0
