# metadata,value
mode,qcl
fudge_factor,1
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.012),Counts_TL2(0.014),Counts_TL3(0.016),DCounts_TL1(0.012),DCounts_TL2(0.014),DCounts_TL3(0.016),ClicksOn_TL1(0.012),ClicksOn_TL2(0.014),ClicksOn_TL3(0.016),ClicksOff_TL1(0.012),ClicksOff_TL2(0.014),ClicksOff_TL3(0.016)
0.0,35914.50053705693,-76.81704260651628,202.84640171858223,559.1836734693877,445.23809523809524,323.46938775510205,693,7,10,1644,1309,951
0.002,35115.09129967777,533.7629788757608,456.03293949158626,411.2244897959184,413.6054421768708,596.5986394557823,675,18,20,1209,1216,1754
0.0039,35657.60830648049,766.5592552810597,-187.68349445041173,868.7074829931973,496.59863945578235,345.578231292517,694,24,3,2554,1460,1016
0.0059,40965.09129967777,196.7955603293949,13.999283924095948,561.2244897959184,487.4149659863946,354.421768707483,789,13,7,1650,1433,1042
0.0078,36978.35660580022,15.359828141783055,-254.26065162907267,547.9591836734694,353.0612244897959,359.5238095238095,713,7,2,1611,1038,1057
0.0098,37335.64267812388,960.3472968134623,377.5868242033655,506.4625850340136,355.4421768707483,201.36054421768708,719,25,11,1489,1045,592
0.0118,40064.249910490515,331.66845685642676,383.0290010741138,356.80272108843536,247.27891156462584,195.91836734693877,768,11,11,1049,727,576
0.0137,41271.464375223775,-97.11779448621553,-90.56569996419621,307.4829931972789,202.38095238095238,143.19727891156464,790,2,1,904,595,421
0.0157,40468.47475832439,-40.83422842821338,17.758682420336555,268.36734693877554,251.36054421768708,140.1360544217687,774,4,3,789,739,412
0.0176,44102.434658073755,129.48442534908705,132.2950232724669,265.98639455782313,133.6734693877551,78.2312925170068,843,5,4,782,393,230
0.0196,46450.787683494455,737.2538489079843,66.0580021482277,286.05442176870747,157.48299319727892,91.83673469387756,888,17,3,841,463,270
0.0216,42134.58646616541,546.2047977085571,127.44360902255642,128.57142857142858,85.37414965986395,135.71428571428572,803,12,5,378,251,399
0.0235,42858.50340136055,227.0139634801289,3.6519871106337334,141.49659863945578,88.77551020408164,48.97959183673469,817,6,1,416,261,144
0.0255,43244.27139276764,616.7740780522736,78.62513426423203,124.14965986394559,120.06802721088435,289.7959183673469,824,14,7,365,353,852
0.0275,49722.86072323666,610.1324740422485,257.62620837808805,435.03401360544217,231.97278911564626,58.16326530612245,953,16,6,1279,682,171
0.0294,50373.3440744719,1262.388113139993,693.3046902971715,100.34013605442178,53.40136054421769,43.53741496598639,959,25,14,295,157,128
0.0314,42265.10920157537,1123.5409953455066,983.3333333333334,50.68027210884354,34.35374149659864,16.666666666666668,804,22,19,149,101,49
0.0333,42619.24453992124,1788.7039026136772,979.9319727891157,64.96598639455783,53.40136054421769,20.068027210884352,811,35,19,191,157,59
0.0353,40436.51987110634,2224.3823845327606,1704.52918009309,89.79591836734694,38.775510204081634,32.31292517006803,770,43,33,264,114,95
0.0373,41605.20945220193,3260.257787325457,2312.9788757608308,131.6326530612245,108.16326530612245,55.4421768707483,793,64,45,387,318,163
0.0392,44766.50554958826,2598.8363766559255,2127.5331185105624,128.2312925170068,85.37414965986395,82.99319727891157,853,51,42,377,251,244
0.0412,46254.54708199069,2762.0837808807737,3140.0286430361616,271.7687074829932,132.6530612244898,123.12925170068027,884,55,62,799,390,362
0.0431,55099.37343358396,3742.0157536698894,4306.516290726818,269.04761904761904,152.72108843537416,61.904761904761905,1052,74,83,791,449,182
0.0451,44102.84640171858,4031.936985320444,3654.439670605084,423.46938775510205,389.11564625850343,135.03401360544217,846,84,72,1245,1144,397
0.0471,40523.54099534551,4698.460436806301,3853.3118510562117,634.3537414965987,406.80272108843536,199.31972789115648,782,97,77,1865,1196,586
0.049,45528.374507697816,5295.93626924454,4916.899391335482,787.4149659863946,493.5374149659864,346.25850340136054,880,110,100,2315,1451,1018
0.051,40262.620837808805,5684.461152882206,6223.648406731114,1316.3265306122448,1052.3809523809523,671.0884353741496,790,128,131,3870,3094,1973
0.0529,43192.37379162192,5181.346222699606,5322.771213748658,1491.8367346938776,1187.0748299319728,887.7551020408164,849,121,118,4386,3490,2610
0.0549,44535.76799140709,6922.5026852846395,5512.459720730398,1832.6530612244899,1445.9183673469388,961.2244897959184,881,159,123,5388,4251,2826
0.0569,40742.30218403151,7680.594343000357,7776.279985678482,1784.0136054421769,1529.9319727891157,1171.0884353741496,808,175,170,5245,4498,3443
0.0588,42250.91299677765,6514.8585750089505,7055.907626208379,2012.2448979591836,1748.299319727891,1470.4081632653063,841,157,162,5916,5140,4323
0.0608,45084.06731113498,6304.905119942713,6760.669530970284,2284.3537414965986,2010.8843537414966,1765.6462585034014,900,158,162,6716,5912,5191
0.0627,44233.01109917651,6134.568564267813,6463.820264948085,2556.4625850340135,2339.1156462585036,2009.8639455782313,889,161,161,7516,6877,5909
0.0647,42322.68170426065,7198.478338703902,8534.192624418189,2940.4761904761904,2696.2585034013605,2360.5442176870747,860,188,207,8645,7927,6940
0.0667,38188.148943788045,7600.125313283209,8446.670247046186,3180.2721088435374,2926.190476190476,2711.2244897959185,786,200,212,9350,8603,7971
0.0686,43545.82885785893,9272.144647332618,8685.392051557465,3506.8027210884356,3306.8027210884356,3104.081632653061,894,239,224,10310,9722,9126
0.0706,45096.437522377375,12340.386680988184,12634.514858575008,3798.299319727891,3712.2448979591836,3470.748299319728,929,305,306,11167,10914,10204
0.0725,51024.31077694236,17860.723236663085,16730.558539205154,4080.952380952381,4034.013605442177,3901.0204081632655,1047,416,392,11998,11860,11469
0.0745,61342.87504475475,25000.035803795203,26767.32903687791,4446.598639455782,4578.911564625851,4443.197278911564,1250,562,593,13073,13462,13063
