# metadata,value
mode,qcl
fudge_factor,1
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.012),Counts_TL2(0.014),Counts_TL3(0.016),Counts_TL4(0.018),DCounts_TL1(0.012),DCounts_TL2(0.014),DCounts_TL3(0.016),DCounts_TL4(0.018),ClicksOn_TL1(0.012),ClicksOn_TL2(0.014),ClicksOn_TL3(0.016),ClicksOn_TL4(0.018),ClicksOff_TL1(0.012),ClicksOff_TL2(0.014),ClicksOff_TL3(0.016),ClicksOff_TL4(0.018)
0.0098,39620.56928034372,480.0214822771213,388.20264948084497,71.48227712137486,484.6938775510204,467.34693877551024,348.63945578231295,296.9387755102041,762,18,14,7,1425,1374,1025,873
0.0118,45735.10562119585,156.44468313641246,48.5499462943072,-3.4013605442176873,422.7891156462585,54.08163265306123,4.081632653061225,3.4013605442176873,877,4,1,0,1243,159,12,10
0.0137,38629.53813104189,207.4650912996778,-1.3605442176870748,-0.3401360544217687,2.0408163265306123,3.061224489795918,1.3605442176870748,0.3401360544217687,734,4,0,0,6,9,4,1
0.0157,33098.46043680631,48.89008234872897,52.291442892946655,-0.3401360544217687,6.802721088435375,3.741496598639456,0.3401360544217687,0.3401360544217687,629,1,1,0,20,11,1,1
0.0176,27839.384174722523,-1.7006802721088436,104.58288578589331,-0.3401360544217687,2.7210884353741496,1.7006802721088436,0.6802721088435374,0.3401360544217687,529,0,2,0,8,5,2,1
0.0196,25419.011815252416,787.4328678839958,157.21446473326174,104.92302184031509,2.0408163265306123,2.0408163265306123,0.6802721088435374,0.3401360544217687,483,15,3,2,6,6,2,1
0.0216,24195.220193340494,1364.6795560329394,314.42892946652347,51.951306838524886,15.306122448979592,3.741496598639456,1.3605442176870748,0.6802721088435374,460,26,6,1,45,11,4,2
0.0235,24416.970998925884,2050.5907626208377,210.18617973505192,52.631578947368425,4.081632653061225,2.0408163265306123,0.3401360544217687,0.0,464,39,4,1,12,6,1,0
0.0255,26722.216254923023,4259.756534192625,947.3684210526316,473.6842105263158,14.625850340136054,3.4013605442176873,0.0,0.0,508,81,18,9,43,10,0,0
0.0275,44735.14142499105,6315.789473684211,3315.7894736842104,1052.6315789473686,1.7006802721088436,0.0,0.0,0.0,850,120,63,20,5,0,0,0
0.0294,54467.56176154673,8998.299319727892,4840.744718940208,1157.8947368421052,6.122448979591836,1.7006802721088436,1.3605442176870748,0.0,1035,171,92,22,18,5,4,0
0.0314,39496.04368063015,10829.52022914429,6683.530254206947,3526.315789473684,30.272108843537417,12.585034013605442,0.6802721088435374,0.0,751,206,127,67,89,37,2,0
0.0333,46508.28857858933,13995.578231292517,10052.291442892947,5104.582885785893,18.027210884353742,4.421768707482993,0.3401360544217687,0.6802721088435374,884,266,191,97,53,13,1,2
0.0353,49242.40959541711,20254.99462943072,13524.955245255998,8471.643394199786,20.74829931972789,8.16326530612245,1.3605442176870748,2.0408163265306123,936,385,257,161,61,24,4,6
0.0373,52624.686716791985,22046.509129967777,18683.870390261367,14263.157894736842,59.523809523809526,6.122448979591836,0.3401360544217687,0.0,1001,419,355,271,175,18,1,0
0.0392,58454.20694593627,25402.68528464017,23049.570354457574,17789.133548156104,72.10884353741497,18.367346938775512,3.061224489795918,0.3401360544217687,1112,483,438,338,212,54,9,1
0.0412,63408.28857858933,28904.511278195492,25884.19262441819,21683.870390261367,118.02721088435375,42.85714285714286,10.54421768707483,0.3401360544217687,1207,550,492,412,347,126,31,1
0.0431,65955.51378446116,36223.27246688149,31863.10418904404,25520.533476548513,202.38095238095238,92.51700680272108,31.63265306122449,5.782312925170068,1257,690,606,485,595,272,93,17
0.0451,73877.87325456498,38982.38453276047,34040.297171500184,26880.45112781955,332.6530612244898,175.51020408163265,64.96598639455783,14.285714285714286,1410,744,648,511,978,516,191,42
0.0471,71431.47153598281,44454.18904403867,38391.96204797709,34438.99033297529,463.265306122449,282.6530612244898,134.35374149659864,34.69387755102041,1366,850,732,655,1362,831,395,102
0.049,76448.80057286072,47921.822413175796,43355.81811672037,35871.518080916576,656.4625850340136,446.59863945578235,223.12925170068027,75.85034013605443,1465,919,828,683,1930,1313,656,223
0.051,77311.63623344075,49613.838166845686,47353.16863587541,41682.581453634084,846.2585034013606,649.3197278911565,383.6734693877551,159.52380952380952,1485,955,907,795,2488,1909,1128,469
0.0529,76151.34264232009,52803.00751879699,47257.07124955245,47244.68313641246,1059.1836734693877,828.5714285714286,585.0340136054422,281.6326530612245,1467,1019,909,903,3114,2436,1720,828
0.0549,79274.18546365915,52713.96348012889,51727.92696025779,44745.220193340494,1304.7619047619048,1075.5102040816328,851.0204081632653,465.3061224489796,1531,1022,999,859,3836,3162,2502,1368
0.0569,80638.75760830649,54029.21589688507,53992.767633369134,52904.79770855711,1571.7687074829932,1391.8367346938776,1059.8639455782313,674.1496598639455,1562,1053,1046,1018,4621,4092,3116,1982
0.0588,80760.23988542786,55673.27246688149,53531.81167203724,54920.587182241325,1818.7074829931973,1642.5170068027212,1362.9251700680272,974.1496598639455,1569,1089,1043,1062,5347,4829,4007,2864
0.0608,82024.9015395632,53149.57035445757,55446.41962047978,57849.39133548156,2132.993197278912,1903.061224489796,1658.843537414966,1308.5034013605443,1599,1046,1085,1124,6271,5595,4877,3847
0.0627,87469.22663802364,55392.463301109914,58003.1507339778,54643.08986752596,2425.5102040816328,2239.1156462585036,1944.2176870748299,1620.0680272108843,1708,1095,1139,1069,7131,6583,5716,4763
0.0647,81979.01897601146,60943.322592194774,57642.857142857145,59028.231292517004,2757.8231292517007,2582.993197278912,2357.1428571428573,1971.7687074829932,1610,1207,1140,1159,8108,7594,6930,5797
0.0667,85157.03544575725,58602.327246688146,59444.71894020766,59751.70068027211,3106.122448979592,3029.2517006802723,2660.5442176870747,2248.299319727891,1677,1171,1180,1178,9132,8906,7822,6610
0.0686,90555.19155030434,60068.42105263158,61894.21768707483,60729.80665950591,3392.1768707482993,3300.0,3105.78231292517,2743.877551020408,1785,1204,1235,1206,9973,9702,9131,8067
0.0706,89416.64876476907,65231.131399928396,63201.12781954888,64955.603293949156,3793.877551020408,3663.605442176871,3535.714285714286,3149.6598639455783,1771,1309,1268,1294,11154,10771,10395,9260
0.0725,96695.59613319012,70541.44289294665,70580.30791263875,70205.37056928035,4093.877551020408,4090.1360544217687,3998.639455782313,3636.7346938775513,1915,1418,1417,1403,12036,12025,11756,10692
0.0745,109165.50304332259,76802.27354099535,76123.25456498389,78124.36448263517,4518.707482993197,4460.884353741497,4403.061224489796,4349.319727891157,2160,1544,1530,1567,13285,13115,12945,12787
0.0765,122650.60866451844,93166.21911922663,90949.910490512,96307.96634443251,5191.496598639455,5096.938775510204,5102.721088435374,5007.823129251701,2429,1867,1825,1925,15263,14985,15002,14723
0.0784,148764.98388829216,118502.41675617616,112101.95130683853,116065.6462585034,6024.489795918367,6076.530612244898,5950.680272108843,5934.353741496599,2941,2367,2243,2318,17712,17865,17495,17447
0.0804,189898.6215538847,158641.15646258503,153373.1471535983,156350.37593984965,7311.904761904762,7358.843537414966,7416.326530612245,7228.571428571428,3747,3154,3055,3108,21497,21635,21804,21252
