# metadata,value
mode,qcl
fudge_factor,1
cycles,6
cycles_completed,6
integration_time,2
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.010),Counts_TL2(0.012),Counts_TL3(0.014),Counts_TL4(0.016),Counts_TL5(0.018),Counts_TL6(0.020),DCounts_TL1(0.010),DCounts_TL2(0.012),DCounts_TL3(0.014),DCounts_TL4(0.016),DCounts_TL5(0.018),DCounts_TL6(0.020),ClicksOn_TL1(0.010),ClicksOn_TL2(0.012),ClicksOn_TL3(0.014),ClicksOn_TL4(0.016),ClicksOn_TL5(0.018),ClicksOn_TL6(0.020),ClicksOff_TL1(0.010),ClicksOff_TL2(0.012),ClicksOff_TL3(0.014),ClicksOff_TL4(0.016),ClicksOff_TL5(0.018),ClicksOff_TL6(0.020)
0.0098,-8.408919123204837,0.0,0.0,0.0,0.0,0.0,8.408919123204837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0
0.0118,6.588892867088358,0.0,0.0,0.0,0.0,0.0,8.030990173847316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0
0.0137,-7.086167800453515,0.0,0.0,0.0,0.0,0.0,7.086167800453515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
0.0157,-8.030990173847316,0.0,0.0,0.0,0.0,0.0,8.030990173847316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0
0.0176,6.1164816803914555,0.0,0.0,0.0,0.0,0.0,8.503401360544219,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0
0.0196,-8.219954648526077,0.0,0.0,0.0,0.0,0.0,8.219954648526077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0
0.0216,-8.314436885865458,0.0,0.0,0.0,0.0,0.0,8.314436885865458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0
0.0235,-7.180650037792895,0.0,0.0,0.0,0.0,0.0,7.180650037792895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0
0.0255,-8.408919123204837,0.0,0.0,0.0,0.0,0.0,8.408919123204837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0
0.0275,-7.558578987150416,0.0,0.0,0.0,0.0,0.0,7.558578987150416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
0.0294,8.19509090185782,-0.0944822373393802,0.0,0.0,0.0,0.0,6.424792139077853,0.0944822373393802,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,68.0,1.0,0.0,0.0,0.0,0.0
0.0314,-7.180650037792895,-0.0944822373393802,0.0,0.0,0.0,0.0,7.180650037792895,0.0944822373393802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,0.0
