# metadata,value
mode,qcl
fudge_factor,1
cycles,10
cycles_completed,1
integration_time,2
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.014),Counts_TL2(0.016),Counts_TL3(0.018),DCounts_TL1(0.014),DCounts_TL2(0.016),DCounts_TL3(0.018),ClicksOn_TL1(0.014),ClicksOn_TL2(0.016),ClicksOn_TL3(0.018),ClicksOff_TL1(0.014),ClicksOff_TL2(0.016),ClicksOff_TL3(0.018)
0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0176,-0.5668934240362812,0.0,0.0,0.5668934240362812,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0196,0.0,87.71929824561404,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0216,263.15789473684214,175.43859649122808,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
0.0235,263.15789473684214,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0255,350.87719298245617,175.43859649122808,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
0.0275,1491.2280701754387,263.15789473684214,175.43859649122808,0.0,0.0,0.0,17.0,3.0,2.0,0.0,0.0,0.0
0.0294,2807.0175438596493,1228.0701754385966,175.43859649122808,0.0,0.0,0.0,32.0,14.0,2.0,0.0,0.0,0.0
0.0314,4649.122807017545,2280.701754385965,87.71929824561404,0.0,0.0,0.0,53.0,26.0,1.0,0.0,0.0,0.0
0.0333,7982.456140350878,3771.929824561404,877.1929824561405,0.0,0.0,0.0,91.0,43.0,10.0,0.0,0.0,0.0
0.0353,10964.912280701756,6052.631578947369,2631.5789473684213,0.0,0.0,0.0,125.0,69.0,30.0,0.0,0.0,0.0
0.0373,13683.643632891755,6491.228070175439,3508.771929824562,0.5668934240362812,0.0,0.0,156.0,74.0,40.0,1.0,0.0,0.0
0.0392,16928.690774555438,12192.982456140353,6401.808091657716,1.1337868480725624,0.0,1.7006802721088434,193.0,139.0,73.0,2.0,0.0,3.0
0.0412,21577.81358157298,14385.398018856667,7455.573457453157,1.1337868480725624,0.5668934240362812,0.5668934240362812,246.0,164.0,85.0,2.0,1.0,1.0
0.0431,25698.919918844735,16840.40458288579,11840.971476309824,2.834467120181406,1.7006802721088434,1.1337868480725624,293.0,192.0,135.0,5.0,3.0,2.0
0.0451,29645.72144647333,20961.51092015754,15788.906790786492,3.401360544217687,3.401360544217687,0.5668934240362812,338.0,239.0,180.0,6.0,6.0,1.0
0.0471,34114.87050960735,26310.687432867886,19823.99451008474,7.936507936507937,5.1020408163265305,0.5668934240362812,389.0,300.0,226.0,14.0,9.0,1.0
0.049,36918.48669292279,26658.163265306128,21750.984604368066,11.337868480725623,8.503401360544217,3.401360544217687,421.0,304.0,248.0,20.0,15.0,6.0
0.051,38571.54791741259,32881.131399928396,26840.40458288579,24.94331065759637,13.605442176870747,1.7006802721088434,440.0,375.0,306.0,44.0,24.0,3.0
0.0529,41894.67716911326,36826.23224728488,32971.11827187015,35.147392290249435,15.873015873015873,11.337868480725623,478.0,420.0,376.0,62.0,28.0,20.0
0.0549,43372.86669053587,43742.45136651152,38132.95142618451,48.1859410430839,29.478458049886623,24.94331065759637,495.0,499.0,435.0,85.0,52.0,44.0
0.0569,49690.92373791622,43905.41830767395,38475.32521780642,45.91836734693877,41.950113378684804,33.44671201814059,567.0,501.0,439.0,81.0,74.0,59.0
0.0588,48109.14190237499,47504.17710944027,42596.998448502214,48.75283446712018,39.682539682539684,34.580498866213155,549.0,542.0,486.0,86.0,70.0,61.0
0.0608,50450.35207065283,51869.733858455664,45925.79663444326,75.96371882086167,60.090702947845806,39.1156462585034,576.0,592.0,524.0,134.0,106.0,69.0
0.0627,48167.38274257072,49048.54397899511,49954.64852607711,78.2312925170068,74.26303854875283,45.35147392290249,550.0,560.0,570.0,138.0,131.0,80.0
0.0647,55261.87492540877,47811.40350877193,50285.117555794255,89.00226757369614,83.33333333333333,65.75963718820861,631.0,546.0,574.0,157.0,147.0,116.0
0.0667,52864.542308151336,56841.9560806779,52985.14142499105,117.91383219954649,87.86848072562358,85.03401360544218,604.0,649.0,605.0,208.0,155.0,150.0
0.0686,51355.17364840674,52592.31411862991,55171.32116004297,136.05442176870747,126.98412698412699,91.83673469387755,587.0,601.0,630.0,240.0,224.0,162.0
0.0706,56174.066117675146,57772.28786251343,55492.71989497554,141.7233560090703,122.44897959183673,121.31519274376417,642.0,660.0,634.0,250.0,216.0,214.0
0.0725,53544.75474400287,55291.77109440268,55738.304093567254,139.45578231292518,146.82539682539684,138.88888888888889,612.0,632.0,637.0,246.0,259.0,245.0
0.0745,56084.07924573339,53875.22377372002,61781.29848430601,143.99092970521542,159.8639455782313,148.52607709750566,641.0,616.0,706.0,254.0,282.0,262.0
0.0765,52880.833034968375,56674.30480964316,55717.32903687791,189.34240362811792,167.80045351473922,159.8639455782313,605.0,648.0,637.0,334.0,296.0,282.0
0.0784,55939.670605084146,56090.16589091777,58649.8985559136,200.68027210884352,225.6235827664399,209.75056689342404,640.0,642.0,671.0,354.0,398.0,370.0
0.0804,59318.77312328441,58268.40911803318,57832.6470939253,242.63038548752834,240.36281179138322,237.5283446712018,679.0,667.0,662.0,428.0,424.0,419.0
0.0824,63630.47499701636,63262.591001312816,70200.35207065284,316.8934240362812,333.90022675736964,325.9637188208617,729.0,725.0,804.0,559.0,589.0,575.0
0.0843,76154.91108724193,74300.33416875522,75094.90989378208,424.0362811791383,436.5079365079365,431.40589569161,873.0,852.0,861.0,748.0,770.0,761.0
0.0863,88161.38560687435,95895.42308151332,89024.40625372957,610.5442176870748,595.8049886621316,624.7165532879818,1012.0,1100.0,1022.0,1077.0,1051.0,1102.0
0.0882,215370.21124239173,191144.37880415324,171180.09308986753,945.578231292517,960.8843537414966,925.1700680272108,2466.0,2190.0,1962.0,1668.0,1695.0,1632.0
0.0902,509510.8306480487,480020.8557107054,476685.6725146199,1454.0816326530612,1382.6530612244899,1472.2222222222222,5825.0,5488.0,5451.0,2565.0,2439.0,2597.0
0.0922,776611.7675140232,775598.5201097984,741706.7072443013,2335.6009070294785,2471.655328798186,2416.0997732426304,8880.0,8870.0,8483.0,4120.0,4360.0,4262.0
0.0941,,,,,,,,,,,,
0.0961,,,,,,,,,,,,
0.098,,,,,,,,,,,,
0.1,,,,,,,,,,,,
0.098,,,,,,,,,,,,
