# metadata,value
mode,qcl
fudge_factor,1
cycles,1
cycles_completed,1
integration_time,4
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(-0.008),Counts_TL2(-0.010),Counts_TL3(-0.012),DCounts_TL1(-0.008),DCounts_TL2(-0.010),DCounts_TL3(-0.012),ClicksOn_TL1(-0.008),ClicksOn_TL2(-0.010),ClicksOn_TL3(-0.012),ClicksOff_TL1(-0.008),ClicksOff_TL2(-0.010),ClicksOff_TL3(-0.012)
0.0039,-16.156462585034014,50.595238095238095,-1.2755102040816326,16.156462585034014,11.904761904761905,1.2755102040816326,0.0,1.0,0.0,38.0,28.0,3.0
0.0078,-12.755102040816327,-8.503401360544219,-5.1020408163265305,12.755102040816327,8.503401360544219,5.1020408163265305,0.0,0.0,0.0,30.0,20.0,12.0
0.0118,-17.006802721088437,114.79591836734694,-8.078231292517007,17.006802721088437,10.204081632653061,8.078231292517007,0.0,2.0,0.0,40.0,24.0,19.0
0.0157,-14.880952380952381,-11.054421768707483,-5.1020408163265305,14.880952380952381,11.054421768707483,5.1020408163265305,0.0,0.0,0.0,35.0,26.0,12.0
0.0196,-15.731292517006803,-8.928571428571429,-8.503401360544219,15.731292517006803,8.928571428571429,8.503401360544219,0.0,0.0,0.0,37.0,21.0,20.0
0.0235,-20.833333333333336,-4.251700680272109,-5.1020408163265305,20.833333333333336,4.251700680272109,5.1020408163265305,0.0,0.0,0.0,49.0,10.0,12.0
0.0275,-14.03061224489796,-5.1020408163265305,-8.078231292517007,14.03061224489796,5.1020408163265305,8.078231292517007,0.0,0.0,0.0,33.0,12.0,19.0
0.0314,46.76870748299319,-11.054421768707483,-9.77891156462585,15.731292517006803,11.054421768707483,9.77891156462585,1.0,0.0,0.0,37.0,26.0,23.0
0.0353,981.2925170068028,-7.653061224489797,242.7721088435374,18.70748299319728,7.653061224489797,7.227891156462586,16.0,0.0,4.0,44.0,18.0,17.0
0.0392,6921.768707482993,930.6972789115646,119.89795918367346,15.731292517006803,6.802721088435375,5.1020408163265305,111.0,15.0,2.0,37.0,16.0,12.0
0.0431,39662.84013605442,8493.197278911564,431.54761904761904,24.659863945578234,6.802721088435375,5.9523809523809526,635.0,136.0,7.0,58.0,16.0,14.0
0.0471,119340.5612244898,44666.24149659864,9926.445578231293,34.43877551020408,21.258503401360546,11.054421768707483,1910.0,715.0,159.0,81.0,50.0,26.0
0.051,244204.5068027211,141073.97959183675,56983.84353741496,107.99319727891157,51.02040816326531,16.156462585034014,3909.0,2258.0,912.0,254.0,120.0,38.0
0.0549,356291.6666666667,279854.5918367347,166554.8469387755,208.33333333333334,145.40816326530614,70.1530612244898,5704.0,4480.0,2666.0,490.0,342.0,165.0
0.0588,405150.0850340136,374568.0272108844,300008.9285714286,287.4149659863946,244.47278911564626,178.57142857142858,6487.0,5997.0,4803.0,676.0,575.0,420.0
0.0627,449775.93537414965,421913.6904761905,378758.50340136053,349.0646258503402,336.30952380952385,303.9965986394558,7202.0,6756.0,6065.0,821.0,791.0,715.0
0.0667,473096.9387755102,460286.56462585035,436620.3231292517,403.06122448979596,400.9353741496599,379.67687074829934,7576.0,7371.0,6992.0,948.0,943.0,893.0
0.0706,496915.3911564626,479798.0442176871,471426.87074829935,459.608843537415,451.9557823129252,448.1292517006803,7958.0,7684.0,7550.0,1081.0,1063.0,1054.0
0.0745,512034.0136054422,495100.34013605444,495936.64965986396,528.4863945578231,524.6598639455783,500.85034013605446,8201.0,7930.0,7943.0,1243.0,1234.0,1178.0
0.0784,529455.3571428572,533187.5,515170.9183673469,544.6428571428572,562.5,579.0816326530612,8480.0,8540.0,8252.0,1281.0,1323.0,1362.0
0.0824,544869.0476190476,537995.3231292517,526980.0170068027,630.952380952381,629.6768707482994,644.9829931972789,8728.0,8618.0,8442.0,1484.0,1481.0,1517.0
0.0863,562657.3129251701,543668.7925170067,533967.2619047619,905.187074829932,893.7074829931973,907.7380952380953,9017.0,8713.0,8558.0,2129.0,2102.0,2135.0
0.0902,573468.112244898,575903.9115646258,560988.5204081633,1531.887755102041,1533.5884353741496,1511.4795918367347,9200.0,9239.0,9000.0,3603.0,3607.0,3555.0
0.0941,599226.6156462585,576460.0340136054,572519.5578231292,3398.384353741497,3352.465986394558,3480.4421768707484,9642.0,9277.0,9216.0,7993.0,7885.0,8186.0
0.098,648123.724489796,637110.119047619,624478.3163265307,9063.775510204083,9014.880952380952,8959.183673469388,10515.0,10338.0,10135.0,21318.0,21203.0,21072.0
0.102,774815.4761904762,766804.8469387755,748144.9829931973,26497.023809523813,26570.15306122449,26667.517006802722,12821.0,12694.0,12397.0,62321.0,62493.0,62722.0
0.1059,1235550.5952380951,1178497.8741496599,1149229.1666666667,92386.90476190476,92877.12585034015,92520.83333333334,21247.0,20342.0,19868.0,217294.0,218447.0,217609.0
0.1098,946604.5918367347,903954.506802721,871330.357142857,1365770.4081632653,1354295.493197279,1335669.642857143,36998.0,36132.0,35312.0,3212292.0,3185303.0,3141495.0
0.1078,1579263.6054421768,1544594.387755102,1534710.0340136054,231423.89455782314,232468.11224489796,230414.96598639456,28971.0,28433.0,28242.0,544309.0,546765.0,541936.0
