# Power Ramp Measurement
bias_voltage_V,0.09
trigger_level_V,0.014
integration_time_s,4
fudge_factor,1

QCL_Current_mA,Signal_Hz,Dark_Hz,ClicksOn,ClicksOff
248.0,170.06802721088434,392.43197278911566,9,923
242.0,110.54421768707482,389.4557823129252,8,916
244.0,230.01700680272108,394.9829931972789,10,929
246.0,117.34693877551018,382.6530612244898,8,900
248.0,10.629251700680243,364.37074829931976,6,857
249.0,172.19387755102036,390.30612244897964,9,918
252.0,-160.28911564625855,410.28911564625855,4,965
253.0,7164.540816326531,397.9591836734694,121,936
256.0,46099.9149659864,400.0850340136055,744,941
257.0,112541.24149659864,396.25850340136054,1807,932
260.0,238911.56462585033,400.9353741496599,3829,943
261.0,358573.12925170065,426.87074829931976,5744,1004
264.0,471889.4557823129,423.0442176870749,7557,995
265.0,573548.4693877551,389.030612244898,9183,915
267.0,650960.4591836735,414.54081632653066,10422,975
269.0,750160.7142857143,401.78571428571433,12009,945
272.0,822589.2857142857,410.7142857142857,13168,966
273.0,871165.3911564626,397.108843537415,13945,934
275.0,932239.7959183673,447.7040816326531,14923,1053
277.0,993937.074829932,437.9251700680272,15910,1030
279.0,1032333.7585034013,478.74149659863946,16525,1126
281.0,1055086.3095238095,476.1904761904762,16889,1120
283.0,1126985.969387755,451.530612244898,18039,1062
284.0,1150981.7176870748,455.7823129251701,18423,1072
286.0,1170966.836734694,470.66326530612247,18743,1107
288.0,1208050.5952380951,449.4047619047619,19336,1057
291.0,1224576.955782313,485.5442176870749,19601,1142
292.0,1227564.2006802722,498.2993197278912,19649,1172
294.0,1248602.4659863946,522.5340136054422,19986,1229
297.0,1264941.3265306123,496.1734693877551,20247,1167
299.0,1268742.3469387756,507.6530612244898,20308,1194
300.0,1263807.3979591837,505.10204081632656,20229,1188
302.0,1255946.0034013605,553.9965986394558,20104,1303
304.0,1255833.7585034014,541.2414965986395,20102,1273
307.0,1251718.962585034,531.0374149659864,20036,1249
308.0,1236090.1360544218,534.8639455782313,19786,1258
310.0,1226878.8265306123,558.6734693877552,19639,1314
312.0,1206863.5204081633,573.9795918367347,19319,1350
315.0,1202821.4285714286,553.5714285714286,19254,1302
316.0,1151096.0884353742,591.4115646258504,18427,1391
317.0,1109902.2108843538,597.7891156462586,17768,1406
320.0,1056698.5544217688,613.9455782312925,16917,1444
