# metadata,value
mode,qcl
fudge_factor,1
cycles,5
cycles_completed,5
integration_time,1
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),Counts_TL4(0.014),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012),DCounts_TL4(0.014),ClicksOn_TL1(0.008),ClicksOn_TL2(0.010),ClicksOn_TL3(0.012),ClicksOn_TL4(0.014),ClicksOff_TL1(0.008),ClicksOff_TL2(0.010),ClicksOff_TL3(0.012),ClicksOff_TL4(0.014)
0.0039,-7752.380952380947,1137.4149659863942,-27.551020408163268,-4.081632653061225,149602.38095238095,6312.585034013606,127.55102040816327,4.081632653061225,2837.0,149.0,2.0,0.0,439831.0,18559.0,375.0,12.0
0.0059,-5521.768707482988,185.3741496598641,-114.96598639455783,-1.3605442176870748,148771.768707483,6364.625850340136,114.96598639455783,1.3605442176870748,2865.0,131.0,0.0,0.0,437389.0,18712.0,338.0,4.0
0.0078,-2244.8979591836687,-447.27891156462556,32.31292517006803,-2.0408163265306123,149694.89795918367,6447.278911564626,117.68707482993197,2.0408163265306123,2949.0,120.0,3.0,0.0,440103.0,18955.0,346.0,6.0
0.0098,-972.4489795918344,553.7414965986391,19.047619047619037,-4.081632653061225,149222.44897959183,6396.258503401361,130.95238095238096,4.081632653061225,2965.0,139.0,3.0,0.0,438714.0,18805.0,385.0,12.0
0.0118,1955.4421768707398,-219.72789115646265,15.306122448979579,-2.7210884353741496,150344.55782312926,6469.727891156463,134.69387755102042,2.7210884353741496,3046.0,125.0,3.0,0.0,442013.0,19021.0,396.0,8.0
0.0137,1122.4489795918344,-116.66666666666697,-121.7687074829932,-1.7006802721088436,151277.55102040817,6466.666666666667,121.7687074829932,1.7006802721088436,3048.0,127.0,0.0,0.0,444756.0,19012.0,358.0,5.0
0.0157,3080.272108843521,-614.9659863945581,-123.46938775510205,-4.081632653061225,150319.72789115648,6364.965986394558,123.46938775510205,4.081632653061225,3068.0,115.0,0.0,0.0,441940.0,18713.0,363.0,12.0
0.0176,-10170.068027210888,280.95238095238074,79.93197278911565,-3.061224489795918,146870.0680272109,6319.047619047619,120.06802721088435,3.061224489795918,2734.0,132.0,4.0,0.0,431798.0,18578.0,353.0,9.0
0.0196,3390.4761904761835,1405.7823129251701,171.7687074829932,-6.122448979591836,147759.52380952382,6244.21768707483,128.2312925170068,6.122448979591836,3023.0,153.0,6.0,0.0,434413.0,18358.0,377.0,18.0
0.0216,1478.2312925170118,207.82312925170027,33.33333333333333,-1.7006802721088436,148221.768707483,6292.1768707483,116.66666666666667,1.7006802721088436,2994.0,130.0,3.0,0.0,435772.0,18499.0,343.0,5.0
0.0235,-1013.9455782313016,-122.78911564625832,-19.72789115646259,-4.761904761904762,147663.9455782313,6272.789115646258,119.72789115646259,4.761904761904762,2933.0,123.0,2.0,0.0,434132.0,18442.0,352.0,14.0
0.0255,10441.15646258503,-106.12244897959226,-64.62585034013605,-1.3605442176870748,146808.84353741497,6156.122448979592,114.62585034013605,1.3605442176870748,3145.0,121.0,1.0,0.0,431618.0,18099.0,337.0,4.0
0.0275,-8480.27210884355,40.13605442176868,-127.55102040816327,-1.3605442176870748,145630.27210884355,6209.863945578231,127.55102040816327,1.3605442176870748,2743.0,125.0,0.0,0.0,428153.0,18257.0,375.0,4.0
0.0294,-5760.544217687071,412.2448979591836,290.1360544217687,-1.3605442176870748,146610.54421768707,6187.755102040816,109.8639455782313,1.3605442176870748,2817.0,132.0,8.0,0.0,431035.0,18192.0,323.0,4.0
0.0314,2562.5850340136094,-401.02040816326553,-8.503401360544217,-4.421768707482993,146937.4149659864,6301.0204081632655,108.50340136054422,4.421768707482993,2990.0,118.0,2.0,0.0,431996.0,18525.0,319.0,13.0
0.0333,4269.047619047604,-21.088435374149412,138.09523809523807,-4.761904761904762,146530.9523809524,6271.088435374149,111.90476190476191,4.761904761904762,3016.0,125.0,5.0,0.0,430801.0,18437.0,329.0,14.0
0.0353,5260.204081632663,947.2789115646256,-17.006802721088434,-1.3605442176870748,147139.79591836734,6152.721088435374,117.00680272108843,1.3605442176870748,3048.0,142.0,2.0,0.0,432591.0,18089.0,344.0,4.0
0.0373,-4548.639455782308,367.34693877551035,223.8095238095238,45.578231292517,148448.6394557823,6282.65306122449,126.19047619047619,4.421768707482993,2878.0,133.0,7.0,1.0,436439.0,18471.0,371.0,13.0
0.0392,3886.0544217686984,1574.8299319727894,186.73469387755102,48.29931972789116,147613.9455782313,6175.170068027211,113.26530612244898,1.7006802721088436,3030.0,155.0,6.0,1.0,433985.0,18155.0,333.0,5.0
0.0412,10406.122448979586,3634.6938775510207,592.8571428571429,146.9387755102041,146293.8775510204,6215.306122448979,107.14285714285714,3.061224489795918,3134.0,197.0,14.0,3.0,430104.0,18273.0,315.0,9.0
0.0431,5379.591836734704,4307.482993197279,1827.2108843537414,294.21768707482994,146370.4081632653,6242.517006802721,122.78911564625851,5.782312925170068,3035.0,211.0,39.0,6.0,430329.0,18353.0,361.0,17.0
0.0451,19239.795918367337,5788.43537414966,3029.9319727891157,844.5578231292517,147860.20408163266,6361.56462585034,120.06802721088435,5.442176870748299,3342.0,243.0,63.0,17.0,434709.0,18703.0,353.0,16.0
0.0471,17584.01360544216,10336.734693877552,6114.625850340136,1343.1972789115646,148465.98639455784,6363.265306122449,135.37414965986395,6.802721088435375,3321.0,334.0,125.0,27.0,436490.0,18708.0,398.0,20.0
0.049,25736.734693877544,16849.659863945577,9073.809523809523,3741.8367346938776,148163.26530612246,6250.340136054422,126.19047619047619,8.16326530612245,3478.0,462.0,184.0,75.0,435600.0,18376.0,371.0,24.0
0.051,20046.59863945577,24166.666666666668,14657.142857142857,5834.013605442177,147653.40136054423,6283.333333333333,142.85714285714286,15.986394557823129,3354.0,609.0,296.0,117.0,434101.0,18473.0,420.0,47.0
0.0529,27135.374149659852,30637.074829931975,21448.299319727892,12075.510204081633,147264.62585034015,6262.925170068027,151.70068027210885,24.489795918367346,3488.0,738.0,432.0,242.0,432958.0,18413.0,446.0,72.0
0.0549,42330.61224489796,32604.761904761905,31270.748299319726,16856.462585034013,145669.38775510204,6195.238095238095,179.2517006802721,43.53741496598639,3760.0,776.0,629.0,338.0,428268.0,18214.0,527.0,128.0
0.0569,42800.0,37197.619047619046,30955.102040816328,26143.537414965987,146500.0,6352.380952380952,194.89795918367346,56.46258503401361,3786.0,871.0,623.0,524.0,430710.0,18676.0,573.0,166.0
0.0588,37568.02721088435,41332.31292517007,36396.598639455784,32428.571428571428,148881.97278911565,6367.6870748299325,203.40136054421768,71.42857142857143,3729.0,954.0,732.0,650.0,437713.0,18721.0,598.0,210.0
0.0608,42927.891156462574,41519.727891156464,39787.4149659864,34456.80272108843,147772.10884353743,6380.272108843537,212.58503401360545,93.19727891156462,3814.0,958.0,800.0,691.0,434450.0,18758.0,625.0,274.0
0.0627,42660.54421768707,43146.25850340136,41658.50340136055,41029.93197278911,147489.45578231293,6303.74149659864,241.49659863945578,120.06802721088435,3803.0,989.0,838.0,823.0,433619.0,18533.0,710.0,353.0
0.0647,44953.06122448979,43806.12244897959,46212.5850340136,41775.17006802721,146546.9387755102,6293.877551020409,237.41496598639455,124.82993197278911,3830.0,1002.0,929.0,838.0,430848.0,18504.0,698.0,367.0
0.0667,48607.14285714284,46002.380952380954,45601.360544217685,47057.142857142855,145442.85714285716,6297.619047619048,248.63945578231292,142.85714285714286,3881.0,1046.0,917.0,944.0,427602.0,18515.0,731.0,420.0
0.0686,44498.979591836745,45498.639455782315,48539.795918367345,47048.639455782315,146951.02040816325,6301.360544217687,260.2040816326531,151.36054421768708,3829.0,1036.0,976.0,944.0,432036.0,18526.0,765.0,445.0
0.0706,56265.6462585034,45102.380952380954,47737.074829931975,47387.074829931975,147284.3537414966,6397.619047619048,262.9251700680272,162.92517006802723,4071.0,1030.0,960.0,951.0,433016.0,18809.0,773.0,479.0
0.0725,52080.61224489796,50196.25850340136,50106.12244897959,49481.97278911564,146369.38775510204,6403.74149659864,293.8775510204082,168.02721088435374,3969.0,1132.0,1008.0,993.0,430326.0,18827.0,864.0,494.0
0.0745,52453.4013605442,47802.380952380954,48797.619047619046,50865.986394557825,147346.5986394558,6347.619047619048,302.3809523809524,184.01360544217687,3996.0,1083.0,982.0,1021.0,433199.0,18662.0,889.0,541.0
0.0765,38748.979591836745,53935.034013605444,50595.578231292515,50514.28571428572,146801.02040816325,6514.965986394558,304.421768707483,185.71428571428572,3711.0,1209.0,1018.0,1014.0,431595.0,19154.0,895.0,546.0
0.0784,37007.82312925169,55568.36734693877,50653.06122448979,49196.93877551021,148092.1768707483,6481.632653061225,296.9387755102041,203.06122448979593,3702.0,1241.0,1019.0,988.0,435391.0,19056.0,873.0,597.0
0.0804,53417.68707482994,50876.19047619047,53163.945578231294,51138.43537414966,148232.31292517006,6573.809523809524,336.05442176870747,211.56462585034015,4033.0,1149.0,1070.0,1027.0,435803.0,19327.0,988.0,622.0
0.0824,45445.578231292515,51766.666666666664,52486.054421768706,54105.102040816324,148854.42176870749,6533.333333333333,363.94557823129253,244.89795918367346,3886.0,1166.0,1057.0,1087.0,437632.0,19208.0,1070.0,720.0
0.0843,51608.84353741497,53306.12244897959,52809.52380952381,56244.55782312925,148941.15646258503,6643.877551020409,390.4761904761905,255.4421768707483,4011.0,1199.0,1064.0,1130.0,437887.0,19533.0,1148.0,751.0
0.0863,52852.38095238095,53144.55782312925,53267.34693877551,52461.90476190476,148897.61904761905,6655.442176870748,432.6530612244898,288.0952380952381,4035.0,1196.0,1074.0,1055.0,437759.0,19567.0,1272.0,847.0
0.0882,54537.41496598639,54687.41496598639,54961.56462585034,53633.67346938775,148612.5850340136,6562.585034013606,488.4353741496599,366.3265306122449,4063.0,1225.0,1109.0,1080.0,436921.0,19294.0,1436.0,1077.0
0.0902,55452.721088435384,56537.41496598639,56409.52380952381,55444.897959183676,148697.27891156462,6812.585034013606,640.4761904761905,455.10204081632656,4083.0,1267.0,1141.0,1118.0,437170.0,20029.0,1883.0,1338.0
0.0922,49038.77551020408,54666.32653061225,52394.21768707483,55528.91156462585,147711.22448979592,6883.673469387755,755.7823129251701,671.0884353741496,3935.0,1231.0,1063.0,1124.0,434271.0,20238.0,2222.0,1973.0
0.0941,51359.18367346938,56282.99319727891,53853.06122448979,58650.680272108846,146890.81632653062,7167.006802721088,1096.938775510204,999.3197278911565,3965.0,1269.0,1099.0,1193.0,431859.0,21071.0,3225.0,2938.0
0.0961,46766.66666666666,55118.707482993195,55067.34693877551,54583.333333333336,148233.33333333334,7731.292517006803,1682.6530612244899,1566.6666666666667,3900.0,1257.0,1135.0,1123.0,435806.0,22730.0,4947.0,4606.0
0.098,65043.53741496598,53749.319727891154,55122.78911564626,57151.02040816326,149506.46258503402,8650.680272108844,2627.2108843537417,2498.979591836735,4291.0,1248.0,1155.0,1193.0,439549.0,25433.0,7724.0,7347.0
0.1,58508.84353741497,59306.46258503401,58228.57142857143,57732.99319727891,149891.15646258503,10293.537414965987,4471.428571428572,4317.006802721088,4168.0,1392.0,1254.0,1241.0,440680.0,30263.0,13146.0,12692.0
0.102,48788.77551020408,61802.04081632653,59445.23809523809,56067.34693877551,152711.22448979592,13497.959183673469,7454.761904761905,7182.65306122449,4030.0,1506.0,1338.0,1265.0,448971.0,39684.0,21917.0,21117.0
