# metadata,value
mode,qcl
fudge_factor,1
cycles,10
cycles_completed,4
integration_time,1
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),Counts_TL4(0.014),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012),DCounts_TL4(0.014),ClicksOn_TL1(0.008),ClicksOn_TL2(0.010),ClicksOn_TL3(0.012),ClicksOn_TL4(0.014),ClicksOff_TL1(0.008),ClicksOff_TL2(0.010),ClicksOff_TL3(0.012),ClicksOff_TL4(0.014)
0.0039,93997.23639455783,3943.4523809523807,23.596938775510203,0.0,18096.51360544218,681.547619047619,7.653061224489797,0.0,3587.0,148.0,1.0,0.0,85126.0,3206.0,36.0,0.0
0.0059,96786.13945578231,3526.3605442176868,54.8469387755102,-0.21258503401360546,17995.11054421769,692.389455782313,7.653061224489797,0.21258503401360546,3673.0,135.0,2.0,0.0,84649.0,3257.0,36.0,1.0
0.0078,100671.34353741497,3893.0697278911566,-10.204081632653061,-0.21258503401360546,17609.906462585033,700.6802721088436,10.204081632653061,0.21258503401360546,3785.0,147.0,0.0,0.0,82837.0,3296.0,48.0,1.0
0.0098,108946.64115646259,3990.6462585034014,-11.479591836734695,0.0,17522.108843537415,665.6037414965987,11.479591836734695,0.0,4047.0,149.0,0.0,0.0,82424.0,3131.0,54.0,0.0
0.0118,103590.34863945578,4388.60544217687,115.64625850340136,-0.21258503401360546,17878.40136054422,642.6445578231293,9.35374149659864,0.21258503401360546,3887.0,161.0,4.0,0.0,84100.0,3023.0,44.0,1.0
0.0137,94437.28741496598,4015.9438775510203,83.33333333333333,0.0,18000.212585034016,671.5561224489796,10.416666666666668,0.0,3598.0,150.0,3.0,0.0,84673.0,3159.0,49.0,0.0
0.0157,92121.59863945578,3179.421768707483,112.67006802721089,0.0,17940.90136054422,664.328231292517,12.329931972789117,0.0,3522.0,123.0,4.0,0.0,84394.0,3125.0,58.0,0.0
0.0176,99039.75340136055,4015.5187074829932,118.40986394557824,-0.21258503401360546,17960.246598639456,671.9812925170069,6.590136054421769,0.21258503401360546,3744.0,150.0,4.0,0.0,84485.0,3161.0,31.0,1.0
0.0196,97395.19557823129,3361.1819727891157,19.770408163265305,-0.4251700680272109,17604.80442176871,670.0680272108843,11.479591836734695,0.4251700680272109,3680.0,129.0,1.0,0.0,82813.0,3152.0,54.0,2.0
0.0216,104925.17006802722,4156.8877551020405,51.445578231292515,0.0,17543.57993197279,655.6122448979593,11.054421768707483,0.0,3919.0,154.0,2.0,0.0,82525.0,3084.0,52.0,0.0
0.0235,100260.20408163265,3773.171768707483,46.76870748299319,-0.21258503401360546,17802.29591836735,664.328231292517,15.731292517006803,0.21258503401360546,3778.0,142.0,2.0,0.0,83742.0,3125.0,74.0,1.0
0.0255,90926.65816326531,3714.923469387755,85.03401360544217,-0.21258503401360546,17854.591836734693,660.0765306122449,8.715986394557824,0.21258503401360546,3481.0,140.0,3.0,0.0,83988.0,3105.0,41.0,1.0
0.0275,99310.37414965987,3370.3231292517007,51.65816326530612,0.0,17845.875850340137,660.9268707482994,10.841836734693878,0.0,3749.0,129.0,2.0,0.0,83947.0,3109.0,51.0,0.0
0.0294,95325.25510204081,3958.1207482993195,118.40986394557824,0.0,17737.244897959186,666.8792517006804,6.590136054421769,0.0,3618.0,148.0,4.0,0.0,83436.0,3137.0,31.0,0.0
