# metadata,value
mode,qcl
fudge_factor,1
cycles,10
cycles_completed,10
integration_time,1.5
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(-0.008),Counts_TL2(-0.010),Counts_TL3(-0.012),Counts_TL4(-0.014),DCounts_TL1(-0.008),DCounts_TL2(-0.010),DCounts_TL3(-0.012),DCounts_TL4(-0.014),ClicksOn_TL1(-0.008),ClicksOn_TL2(-0.010),ClicksOn_TL3(-0.012),ClicksOn_TL4(-0.014),ClicksOff_TL1(-0.008),ClicksOff_TL2(-0.010),ClicksOff_TL3(-0.012),ClicksOff_TL4(-0.014)
0.0039,1410.4308390022677,21.882086167800452,0.0,-0.056689342403628114,256.2358276643991,3.1179138321995463,0.0,0.056689342403628114,200.0,3.0,0.0,0.0,4520.0,55.0,0.0,1.0
0.0059,1293.140589569161,13.038548752834469,7.993197278911565,8.16326530612245,248.52607709750566,3.6281179138321993,0.3401360544217687,0.17006802721088435,185.0,2.0,1.0,1.0,4384.0,64.0,6.0,3.0
0.0078,1300.9637188208617,29.705215419501137,-0.22675736961451246,-0.11337868480725623,249.0362811791383,3.6281179138321993,0.22675736961451246,0.11337868480725623,186.0,4.0,0.0,0.0,4393.0,64.0,4.0,2.0
0.0098,1455.8390022675737,5.72562358276644,-0.11337868480725623,0.0,244.1609977324263,2.6077097505668934,0.11337868480725623,0.0,204.0,1.0,0.0,0.0,4307.0,46.0,2.0,0.0
0.0118,1389.5691609977325,-2.7777777777777777,-0.056689342403628114,-0.22675736961451246,243.7641723356009,2.7777777777777777,0.056689342403628114,0.22675736961451246,196.0,0.0,0.0,0.0,4300.0,49.0,1.0,4.0
0.0137,1498.8095238095239,38.77551020408164,8.049886621315194,-0.17006802721088435,242.85714285714286,2.891156462585034,0.2834467120181406,0.17006802721088435,209.0,5.0,1.0,0.0,4284.0,51.0,5.0,3.0
0.0157,1462.7551020408164,-3.061224489795918,8.219954648526077,8.049886621315194,245.578231292517,3.061224489795918,0.11337868480725623,0.2834467120181406,205.0,0.0,1.0,1.0,4332.0,54.0,2.0,5.0
0.0176,1552.4376417233561,5.839002267573697,8.16326530612245,-0.056689342403628114,255.89569160997732,2.494331065759637,0.17006802721088435,0.056689342403628114,217.0,1.0,1.0,0.0,4514.0,44.0,3.0,1.0
0.0196,1520.8049886621316,38.492063492063494,-0.4535147392290249,-0.17006802721088435,245.86167800453515,3.1746031746031744,0.4535147392290249,0.17006802721088435,212.0,5.0,0.0,0.0,4337.0,56.0,8.0,3.0
0.0216,1329.7619047619048,-3.6281179138321993,-0.17006802721088435,-0.056689342403628114,236.9047619047619,3.6281179138321993,0.17006802721088435,0.056689342403628114,188.0,0.0,0.0,0.0,4179.0,64.0,3.0,1.0
0.0235,1348.8095238095239,5.6689342403628125,-0.11337868480725623,-0.11337868480725623,242.85714285714286,2.6643990929705215,0.11337868480725623,0.11337868480725623,191.0,1.0,0.0,0.0,4284.0,47.0,2.0,2.0
0.0255,1333.3333333333333,21.485260770975056,-0.17006802721088435,8.16326530612245,241.66666666666666,3.514739229024943,0.17006802721088435,0.17006802721088435,189.0,3.0,0.0,1.0,4263.0,62.0,3.0,3.0
0.0275,1366.4399092970523,-3.91156462585034,-0.2834467120181406,0.0,241.89342403628117,3.91156462585034,0.2834467120181406,0.0,193.0,0.0,0.0,0.0,4267.0,69.0,5.0,0.0
0.0294,1228.4013605442176,13.775510204081634,0.0,-0.3401360544217687,246.59863945578232,2.891156462585034,0.0,0.3401360544217687,177.0,2.0,0.0,0.0,4350.0,51.0,0.0,6.0
0.0314,1204.0816326530612,30.15873015873016,-0.3968253968253968,-0.22675736961451246,245.91836734693877,3.1746031746031744,0.3968253968253968,0.22675736961451246,174.0,4.0,0.0,0.0,4338.0,56.0,7.0,4.0
0.0333,1566.2131519274378,-3.00453514739229,8.219954648526077,-0.11337868480725623,250.453514739229,3.00453514739229,0.11337868480725623,0.11337868480725623,218.0,0.0,1.0,0.0,4418.0,53.0,2.0,2.0
0.0353,1623.1859410430839,23.12925170068027,-0.2834467120181406,-0.056689342403628114,243.48072562358277,1.8707482993197277,0.2834467120181406,0.056689342403628114,224.0,3.0,0.0,0.0,4295.0,33.0,5.0,1.0
0.0373,1675.3968253968253,55.045351473922906,8.16326530612245,-0.22675736961451246,249.6031746031746,3.2879818594104306,0.17006802721088435,0.22675736961451246,231.0,7.0,1.0,0.0,4403.0,58.0,3.0,4.0
0.0392,2131.40589569161,138.37868480725626,25.0,0.0,243.59410430839,3.2879818594104306,0.0,0.0,285.0,17.0,3.0,0.0,4297.0,58.0,0.0,0.0
0.0412,2647.0521541950116,239.90929705215422,16.60997732426304,-0.17006802721088435,244.61451247165533,1.7573696145124715,0.056689342403628114,0.17006802721088435,347.0,29.0,2.0,0.0,4315.0,31.0,1.0,3.0
0.0431,4076.814058956916,645.6349206349206,99.54648526077098,41.43990929705216,248.1859410430839,4.365079365079365,0.4535147392290249,0.22675736961451246,519.0,78.0,12.0,5.0,4378.0,77.0,8.0,4.0
0.0451,6117.687074829932,1544.5011337868482,282.7097505668935,24.829931972789115,257.312925170068,5.498866213151928,0.6235827664399093,0.17006802721088435,765.0,186.0,34.0,3.0,4539.0,97.0,11.0,3.0
0.0471,8766.609977324262,3267.9138321995465,724.4331065759637,124.88662131519274,258.39002267573693,7.086167800453515,0.5668934240362812,0.11337868480725623,1083.0,393.0,87.0,15.0,4558.0,125.0,10.0,2.0
0.049,12151.814058956918,5572.33560090703,1590.0226757369614,266.21315192743765,264.85260770975054,10.997732426303855,1.6439909297052153,0.4535147392290249,1490.0,670.0,191.0,32.0,4672.0,194.0,29.0,8.0
0.051,16188.662131519275,9007.312925170068,3669.5578231292516,773.5827664399093,278.0045351473923,17.687074829931973,5.442176870748299,1.417233560090703,1976.0,1083.0,441.0,93.0,4904.0,312.0,96.0,25.0
0.0529,19546.201814058957,13219.954648526076,6764.512471655329,2297.165532879819,295.46485260770976,30.045351473922903,10.487528344671201,2.834467120181406,2381.0,1590.0,813.0,276.0,5212.0,530.0,185.0,50.0
0.0549,22818.87755102041,16277.097505668935,10121.54195011338,4276.530612244898,297.7891156462585,39.569160997732425,20.124716553287982,6.802721088435374,2774.0,1958.0,1217.0,514.0,5253.0,698.0,355.0,120.0
0.0569,24336.507936507936,19037.528344671202,13917.176870748299,7677.437641723356,305.1587301587301,54.13832199546485,32.82312925170068,14.229024943310657,2957.0,2291.0,1674.0,923.0,5383.0,955.0,579.0,251.0
0.0588,25675.340136054423,23198.69614512472,18765.30612244898,11483.730158730159,332.99319727891157,67.9705215419501,51.36054421768707,24.6031746031746,3121.0,2792.0,2258.0,1381.0,5874.0,1199.0,906.0,434.0
0.0608,27219.614512471657,24876.98412698413,21901.36054421769,16242.573696145126,330.38548752834464,81.34920634920634,65.3061224489796,40.759637188208615,3306.0,2995.0,2636.0,1954.0,5828.0,1435.0,1152.0,719.0
0.0627,28246.25850340136,25983.333333333332,24303.798185941047,19867.63038548753,345.4081632653061,91.66666666666666,79.53514739229024,57.36961451247166,3431.0,3129.0,2926.0,2391.0,6093.0,1617.0,1403.0,1012.0
0.0647,28262.641723356013,26806.916099773243,26255.045351473924,22805.72562358277,345.6916099773243,101.4172335600907,94.9546485260771,77.6077097505669,3433.0,3229.0,3162.0,2746.0,6098.0,1789.0,1675.0,1369.0
0.0667,29421.768707482992,27935.204081632655,27186.84807256236,25000.056689342404,353.2312925170068,106.4625850340136,104.81859410430839,91.60997732426304,3573.0,3365.0,3275.0,3011.0,6231.0,1878.0,1849.0,1616.0
0.0686,30800.963718820865,27935.9410430839,27088.94557823129,27998.015873015873,357.3696145124716,114.05895691609977,111.05442176870748,101.98412698412699,3739.0,3366.0,3264.0,3372.0,6304.0,2012.0,1959.0,1799.0
0.0706,30228.174603174604,28462.81179138322,28417.1201814059,28010.090702947848,355.1587301587301,120.52154195011337,116.21315192743764,114.90929705215419,3670.0,3430.0,3424.0,3375.0,6265.0,2126.0,2050.0,2027.0
0.0725,30293.367346938776,29368.764172335603,29116.893424036283,28870.521541950115,381.63265306122446,122.90249433106575,124.77324263038548,121.14512471655328,3681.0,3539.0,3509.0,3479.0,6732.0,2168.0,2201.0,2137.0
0.0745,31213.662131519275,29720.351473922907,29790.589569161,29143.820861678003,378.0045351473923,137.98185941043084,134.41043083900226,131.17913832199545,3791.0,3583.0,3591.0,3513.0,6668.0,2434.0,2371.0,2314.0
0.0765,31125.73696145125,30827.210884353743,30080.102040816328,30091.21315192744,382.59637188208615,139.45578231292515,136.56462585034012,142.1201814058957,3781.0,3716.0,3626.0,3628.0,6749.0,2460.0,2409.0,2507.0
0.0784,32234.24036281179,30945.18140589569,30725.45351473923,34201.24716553288,390.7596371882086,146.48526077097506,141.21315192743765,148.75283446712018,3915.0,3731.0,3704.0,4122.0,6893.0,2584.0,2491.0,2624.0
0.0804,33016.09977324263,31711.281179138325,31070.46485260771,30721.768707482992,658.9002267573696,155.38548752834467,154.53514739229024,153.2312925170068,4041.0,3824.0,3747.0,3705.0,11623.0,2741.0,2726.0,2703.0
0.0824,32862.13151927438,32170.2380952381,30950.96371882086,31419.047619047622,412.86848072562356,163.0952380952381,165.70294784580497,164.28571428571428,3993.0,3880.0,3734.0,3790.0,7283.0,2877.0,2923.0,2898.0
0.0843,32777.097505668935,32586.451247165533,32375.680272108846,31261.56462585034,422.9024943310657,188.5487528344671,182.6530612244898,180.10204081632654,3984.0,3933.0,3907.0,3773.0,7460.0,3326.0,3222.0,3177.0
0.0863,33888.378684807256,32082.879818594105,32433.956916099774,31658.786848072563,469.9546485260771,217.1201814058957,207.7097505668934,207.8798185941043,4123.0,3876.0,3917.0,3824.0,8290.0,3830.0,3664.0,3667.0
0.0882,34144.897959183676,33339.56916099773,33681.63265306123,33793.59410430839,496.7687074829932,260.4308390022676,251.70068027210883,256.40589569160994,4157.0,4032.0,4072.0,4086.0,8763.0,4594.0,4440.0,4523.0
0.0902,35100.793650793654,33655.66893424037,34357.25623582766,34407.99319727892,590.8730158730159,335.99773242630386,342.7437641723356,333.6734693877551,4283.0,4079.0,4164.0,4169.0,10423.0,5927.0,6046.0,5886.0
0.0922,37048.97959183674,35939.56916099774,35446.37188208617,35220.12471655329,734.3537414965986,477.0975056689342,486.96145124716554,479.875283446712,4534.0,4370.0,4312.0,4284.0,12954.0,8416.0,8590.0,8465.0
0.0941,38575.73696145125,37404.02494331066,39683.39002267574,37757.7664399093,957.5963718820861,720.9750566893424,724.9433106575964,717.2335600907029,4744.0,4575.0,4849.0,4617.0,16892.0,12718.0,12788.0,12652.0
0.0961,41787.4149659864,42501.24716553288,42405.272108843536,41925.62358276644,1362.5850340136053,1123.7528344671202,1119.7278911564626,1107.7097505668935,5178.0,5235.0,5223.0,5164.0,24036.0,19823.0,19752.0,19540.0
0.098,48829.5918367347,49191.32653061225,47101.30385487529,48036.22448979592,2062.0748299319725,1817.0068027210884,1832.0294784580499,1797.108843537415,6107.0,6121.0,5872.0,5980.0,36375.0,32052.0,32317.0,31701.0
0.1,61691.04308390023,58693.594104308395,60767.23356009071,59453.0612244898,3325.62358276644,3048.0725623582766,3074.4331065759634,3055.2721088435374,7802.0,7409.0,7661.0,7501.0,58664.0,53768.0,54233.0,53895.0
0.102,81958.90022675738,80016.15646258504,80787.358276644,81653.1746031746,5532.766439909296,5242.176870748299,5220.975056689343,5271.825396825397,10499.0,10231.0,10321.0,10431.0,97598.0,92472.0,92098.0,92995.0
0.1039,130488.60544217688,136526.98412698414,128043.08390022677,133362.24489795917,9794.727891156463,9406.349206349207,9490.249433106575,9462.755102040815,16834.0,17512.0,16504.0,17139.0,172779.0,165928.0,167408.0,166923.0
0.1059,306243.820861678,321113.7188208617,297780.44217687077,315026.4172335601,19706.179138321993,19577.94784580499,19344.55782312925,19456.916099773243,39114.0,40883.0,38055.0,40138.0,347617.0,345355.0,341238.0,343220.0
0.1078,1060639.2290249434,1070281.575963719,1087390.8730158731,990877.664399093,66627.43764172336,71051.75736961451,65259.12698412698,67364.0022675737,135272.0,136960.0,138318.0,126989.0,1175308.0,1253353.0,1151171.0,1188301.0
0.1098,2042648.5827664402,1922987.1315192743,1930193.7641723356,1816678.1179138322,274243.08390022675,277887.8684807256,264989.56916099775,258671.88208616778,278027.0,264105.0,263422.0,249042.0,4837648.0,4901942.0,4674416.0,4562972.0
0.1118,2378718.7641723356,2303054.7052154196,2226113.6621315195,2121062.2448979593,397906.2358276644,388386.96145124716,376019.671201814,360196.08843537414,333195.0,322973.0,312256.0,297751.0,7019066.0,6851146.0,6632987.0,6353859.0
0.1137,2667453.9682539683,2573553.458049887,2448308.7868480724,2286528.7981859413,456379.3650793651,442279.8752834467,422016.2131519274,397937.8684807256,374860.0,361900.0,344439.0,322136.0,8050532.0,7801817.0,7444366.0,7019624.0
0.1157,2904333.106575964,2776287.5850340137,2613472.3922902495,2385358.9569161003,503708.56009070296,484529.081632653,455985.9410430839,421157.70975056686,408965.0,391298.0,368335.0,336782.0,8885419.0,8547093.0,8043592.0,7429222.0
0.1147,2782443.820861678,2680003.741496599,2519888.775510204,2338225.963718821,481581.17913832195,463987.925170068,440419.55782312923,411174.0362811791,391683.0,377279.0,355237.0,329928.0,8495092.0,8184747.0,7769001.0,7253110.0
