# metadata,value
mode,qcl
fudge_factor,1
cycles,10
cycles_completed,10
integration_time,3
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(-0.008),Counts_TL2(-0.010),Counts_TL3(-0.012),Counts_TL4(-0.014),DCounts_TL1(-0.008),DCounts_TL2(-0.010),DCounts_TL3(-0.012),DCounts_TL4(-0.014),ClicksOn_TL1(-0.008),ClicksOn_TL2(-0.010),ClicksOn_TL3(-0.012),ClicksOn_TL4(-0.014),ClicksOff_TL1(-0.008),ClicksOff_TL2(-0.010),ClicksOff_TL3(-0.012),ClicksOff_TL4(-0.014)
0.0039,1299.2913832199547,13.633786848072564,0.0,0.0,238.20861678004533,3.0328798185941044,0.0,0.0,369.0,4.0,0.0,0.0,8404.0,107.0,0.0,0.0
0.0059,1468.6791383219957,13.662131519274379,0.0,0.0,239.65419501133786,3.00453514739229,0.0,0.0,410.0,4.0,0.0,0.0,8455.0,106.0,0.0,0.0
0.0078,1252.6643990929706,39.42743764172336,-0.028344671201814057,-0.056689342403628114,243.1689342403628,2.2392290249433104,0.028344671201814057,0.056689342403628114,359.0,10.0,0.0,0.0,8579.0,79.0,1.0,2.0
0.0098,1244.5578231292518,18.509070294784582,-0.08503401360544217,0.0,242.94217687074828,2.324263038548753,0.08503401360544217,0.0,357.0,5.0,0.0,0.0,8571.0,82.0,3.0,0.0
0.0118,1466.5249433106578,10.005668934240363,-0.056689342403628114,-0.028344671201814057,241.80839002267572,2.494331065759637,0.056689342403628114,0.028344671201814057,410.0,3.0,0.0,0.0,8531.0,88.0,2.0,1.0
0.0137,1240.107709750567,14.257369614512474,-0.028344671201814057,-0.028344671201814057,243.22562358276645,2.4092970521541948,0.028344671201814057,0.028344671201814057,356.0,4.0,0.0,0.0,8581.0,85.0,1.0,1.0
0.0157,1242.2052154195012,30.612244897959187,-0.028344671201814057,-0.08503401360544217,249.4614512471655,2.7210884353741496,0.028344671201814057,0.08503401360544217,358.0,8.0,0.0,0.0,8801.0,96.0,1.0,3.0
0.0176,1374.6598639455783,18.48072562358277,0.0,0.0,242.00680272108843,2.3526077097505667,0.0,0.0,388.0,5.0,0.0,0.0,8538.0,83.0,0.0,0.0
0.0196,1279.9319727891157,34.97732426303855,0.0,0.0,245.06802721088434,2.522675736961451,0.0,0.0,366.0,9.0,0.0,0.0,8646.0,89.0,0.0,0.0
0.0216,1241.7233560090704,5.782312925170069,-0.11337868480725623,0.0,241.60997732426304,2.5510204081632653,0.11337868480725623,0.0,356.0,2.0,0.0,0.0,8524.0,90.0,4.0,0.0
0.0235,1295.748299319728,5.782312925170069,0.0,-0.028344671201814057,245.91836734693877,2.5510204081632653,0.0,0.028344671201814057,370.0,2.0,0.0,0.0,8676.0,90.0,0.0,1.0
0.0255,1429.563492063492,22.193877551020407,-0.08503401360544217,-0.028344671201814057,245.43650793650792,2.806122448979592,0.08503401360544217,0.028344671201814057,402.0,6.0,0.0,0.0,8659.0,99.0,3.0,1.0
0.0275,1351.24716553288,9.948979591836736,-0.028344671201814057,0.0,244.5861678004535,2.5510204081632653,0.028344671201814057,0.0,383.0,3.0,0.0,0.0,8629.0,90.0,1.0,0.0
0.0294,1311.3378684807258,14.143990929705216,0.0,0.0,242.82879818594103,2.522675736961451,0.0,0.0,373.0,4.0,0.0,0.0,8567.0,89.0,0.0,0.0
