# metadata,value
mode,qcl
fudge_factor,1
cycles,4
cycles_completed,4
integration_time,3.0
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(-0.008),Counts_TL2(-0.010),Counts_TL3(-0.012),Counts_TL4(-0.014),DCounts_TL1(-0.008),DCounts_TL2(-0.010),DCounts_TL3(-0.012),DCounts_TL4(-0.014),ClicksOn_TL1(-0.008),ClicksOn_TL2(-0.010),ClicksOn_TL3(-0.012),ClicksOn_TL4(-0.014),ClicksOff_TL1(-0.008),ClicksOff_TL2(-0.010),ClicksOff_TL3(-0.012),ClicksOff_TL4(-0.014)
0.0039,646.71910430839,1.7892573696145122,-0.03543083900226758,2.5864512471655328,121.51006235827666,0.8149092970521543,0.03543083900226758,0.01771541950113379,295.0,1.0,0.0,1.0,6859.0,46.0,2.0,1.0
0.0059,648.8272392290249,4.109977324263038,-0.07086167800453516,0.0,122.0060941043084,1.0983560090702948,0.07086167800453516,0.0,296.0,2.0,0.0,0.0,6887.0,62.0,4.0,0.0
0.0078,654.389880952381,-0.9566326530612246,4.836309523809524,-0.21258503401360546,116.4434523809524,0.9566326530612246,0.3720238095238096,0.21258503401360546,296.0,0.0,2.0,0.0,6573.0,54.0,21.0,12.0
0.0098,692.6020408163265,9.088010204081632,-0.053146258503401364,-0.053146258503401364,117.29379251700682,1.3286564625850341,0.053146258503401364,0.053146258503401364,311.0,4.0,0.0,0.0,6621.0,75.0,3.0,3.0
0.0118,612.8472222222223,3.9328231292517,-0.19486961451247167,-0.08857709750566894,118.92361111111113,1.2755102040816328,0.19486961451247167,0.08857709750566894,281.0,2.0,0.0,0.0,6713.0,72.0,11.0,5.0
0.0137,605.8319160997733,6.87358276643991,-0.07086167800453516,-0.21258503401360546,118.1264172335601,0.9389172335600908,0.07086167800453516,0.21258503401360546,278.0,3.0,0.0,0.0,6668.0,53.0,4.0,12.0
0.0157,766.5816326530612,4.056831065759637,-0.07086167800453516,-0.01771541950113379,116.2308673469388,1.1515022675736963,0.07086167800453516,0.01771541950113379,339.0,2.0,0.0,0.0,6561.0,65.0,4.0,1.0
0.0176,650.2621882086167,9.424603174603174,-0.03543083900226758,-0.10629251700680273,117.9669784580499,0.9920634920634922,0.03543083900226758,0.10629251700680273,295.0,4.0,0.0,0.0,6659.0,56.0,2.0,6.0
0.0196,637.5602324263039,3.9151077097505667,-0.07086167800453516,-0.12400793650793653,117.64810090702949,1.2932256235827666,0.07086167800453516,0.12400793650793653,290.0,2.0,0.0,0.0,6641.0,73.0,4.0,7.0
0.0216,635.5761054421769,16.59934807256236,-0.23030045351473927,2.497874149659864,117.0280612244898,1.6298185941043086,0.23030045351473927,0.10629251700680273,289.0,7.0,0.0,1.0,6606.0,92.0,13.0,6.0
0.0235,625.0,9.513180272108842,-0.21258503401360546,4.535147392290249,119.79166666666669,0.9034863945578232,0.21258503401360546,0.6731859410430839,286.0,4.0,0.0,2.0,6762.0,51.0,12.0,38.0
0.0255,652.671485260771,9.070294784580499,-0.14172335600907032,-0.12400793650793653,118.16184807256238,1.3463718820861679,0.14172335600907032,0.12400793650793653,296.0,4.0,0.0,0.0,6670.0,76.0,8.0,7.0
0.0275,699.3870464852607,9.194302721088434,2.3561507936507935,-0.03543083900226758,123.52962018140592,1.2223639455782314,0.24801587301587305,0.03543083900226758,316.0,4.0,1.0,0.0,6973.0,69.0,14.0,2.0
0.0294,663.2298752834467,4.375708616780045,-0.053146258503401364,-0.1771541950113379,118.0201247165533,0.8326247165532881,0.053146258503401364,0.1771541950113379,300.0,2.0,0.0,0.0,6662.0,47.0,3.0,10.0
