# metadata,value
mode,qcl
fudge_factor,1
cycles,4
cycles_completed,3
integration_time,1
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),Counts_TL4(0.014),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012),DCounts_TL4(0.014),ClicksOn_TL1(0.008),ClicksOn_TL2(0.010),ClicksOn_TL3(0.012),ClicksOn_TL4(0.014),ClicksOff_TL1(0.008),ClicksOff_TL2(0.010),ClicksOff_TL3(0.012),ClicksOff_TL4(0.014)
0.0039,126255.38548752834,6079.152494331066,92.54535147392289,-0.21258503401360546,24838.364512471657,1150.014172335601,22.037981859410433,0.21258503401360546,14505.0,694.0,11.0,0.0,350519.0,16229.0,311.0,3.0
0.0059,130763.88888888889,6160.00566893424,130.6689342403628,9.849773242630384,24673.611111111113,1173.327664399093,25.58106575963719,0.5668934240362813,14922.0,704.0,15.0,1.0,348194.0,16558.0,361.0,8.0
0.0078,134925.66609977325,6406.320861678004,101.33219954648526,-0.4251700680272109,24949.33390022676,1208.262471655329,23.667800453514744,0.4251700680272109,15348.0,731.0,12.0,0.0,352085.0,17051.0,334.0,6.0
0.0098,134534.2970521542,6544.501133786847,153.98242630385488,-0.4251700680272109,25174.036281179142,1195.0821995464853,23.10090702947846,0.4251700680272109,15332.0,743.0,17.0,0.0,355256.0,16865.0,326.0,6.0
0.0118,130380.9523809524,6122.803287981859,133.078231292517,-0.4251700680272109,25327.380952380954,1189.6967120181407,23.171768707482997,0.4251700680272109,14948.0,702.0,15.0,0.0,357420.0,16789.0,327.0,6.0
0.0137,129870.3939909297,5875.283446712018,183.8860544217687,-0.14172335600907032,25119.18934240363,1166.3832199546487,24.447278911564627,0.14172335600907032,14879.0,676.0,20.0,0.0,354482.0,16460.0,345.0,2.0
0.0157,132736.89058956917,6451.743197278911,162.62755102040816,-0.07086167800453516,25221.442743764175,1214.9234693877552,24.87244897959184,0.07086167800453516,15164.0,736.0,18.0,0.0,355925.0,17145.0,351.0,1.0
0.0176,133648.3134920635,6694.515306122448,194.30272108843536,-0.21258503401360546,25278.769841269845,1190.9013605442178,24.447278911564627,0.21258503401360546,15257.0,757.0,21.0,0.0,356734.0,16806.0,345.0,3.0
0.0196,134999.04336734692,6276.998299319728,177.82738095238096,-0.10629251700680273,25360.331632653062,1207.3767006802723,25.297619047619047,0.10629251700680273,10263.0,479.0,13.0,0.0,238590.0,11359.0,238.0,1.0
0.0216,139158.80102040817,6252.232142857143,114.37074829931973,-0.21258503401360546,25653.698979591838,1232.142857142857,26.254251700680275,0.21258503401360546,10548.0,479.0,9.0,0.0,241350.0,11592.0,247.0,2.0
0.0235,137752.86989795917,6673.575680272109,147.53401360544217,-0.21258503401360546,25419.005102040817,1232.6743197278913,24.340986394557824,0.21258503401360546,10443.0,506.0,11.0,0.0,239142.0,11597.0,229.0,2.0
0.0255,136156.25,5982.674319727891,256.3775510204082,-0.21258503401360546,25468.75,1236.075680272109,24.872448979591837,0.21258503401360546,10344.0,462.0,18.0,0.0,239610.0,11629.0,234.0,2.0
0.0275,134671.768707483,6314.732142857143,81.63265306122449,-0.31887755102040816,25640.731292517008,1232.142857142857,27.742346938775512,0.31887755102040816,10260.0,483.0,7.0,0.0,241228.0,11592.0,261.0,3.0
0.0294,134956.73894557822,6007.440476190476,162.84013605442178,-0.21258503401360546,25543.26105442177,1211.3095238095239,24.659863945578234,0.21258503401360546,10272.0,462.0,12.0,0.0,240311.0,11396.0,232.0,2.0
0.0314,139329.40051020408,5798.150510204081,114.90221088435374,-0.10629251700680273,25451.84948979592,1233.0994897959185,25.72278911564626,0.10629251700680273,10546.0,450.0,9.0,0.0,239451.0,11601.0,242.0,1.0
0.0333,133448.6607142857,6492.240646258503,194.8341836734694,-0.4251700680272109,25613.839285714286,1226.5093537414966,23.915816326530614,0.4251700680272109,10180.0,494.0,14.0,0.0,240975.0,11539.0,225.0,4.0
0.0353,132787.8401360544,5981.823979591836,97.5765306122449,-0.21258503401360546,25618.40986394558,1190.0510204081634,27.423469387755105,0.21258503401360546,10138.0,459.0,8.0,0.0,241018.0,11196.0,258.0,2.0
0.0373,132367.98469387754,7007.440476190476,210.03401360544217,-0.10629251700680273,25303.890306122452,1226.9345238095239,24.340986394557824,0.10629251700680273,10091.0,527.0,15.0,0.0,238059.0,11543.0,229.0,1.0
0.0392,138475.65901360544,6834.927721088436,162.20238095238096,-0.10629251700680273,25539.96598639456,1227.5722789115646,25.297619047619047,0.10629251700680273,10497.0,516.0,12.0,0.0,240280.0,11549.0,238.0,1.0
0.0412,136282.9506802721,6551.551870748299,224.91496598639455,-0.31887755102040816,25467.049319727892,1229.6981292517007,25.085034013605444,0.31887755102040816,10352.0,498.0,16.0,0.0,239594.0,11569.0,236.0,3.0
0.0431,137599.06462585035,6737.988945578231,287.09608843537416,15.412414965986395,25510.31037414966,1246.3860544217687,25.40391156462585,0.21258503401360546,10439.0,511.0,20.0,1.0,240001.0,11726.0,239.0,2.0
0.0451,135898.4906462585,7468.856292517006,585.9906462585034,171.55612244897958,25664.009353741498,1203.0187074829932,23.3843537414966,0.31887755102040816,10340.0,555.0,39.0,11.0,241447.0,11318.0,220.0,3.0
0.0471,134903.38010204083,8529.86819727891,880.5272108843537,249.68112244897958,25534.119897959186,1235.7568027210884,25.72278911564626,0.31887755102040816,10268.0,625.0,58.0,16.0,240225.0,11626.0,242.0,3.0
0.049,139762.1173469388,9742.453231292517,1817.920918367347,780.8248299319728,25487.882653061224,1226.2967687074831,25.82908163265306,0.4251700680272109,10576.0,702.0,118.0,50.0,239790.0,11537.0,243.0,4.0
0.051,144026.99829931973,12145.195578231293,4021.7899659863947,1546.343537414966,25254.251700680274,1229.8044217687075,25.085034013605444,0.5314625850340137,10834.0,856.0,259.0,99.0,237592.0,11570.0,236.0,5.0
0.0529,146652.84863945577,13706.845238095239,6082.589285714285,3186.2244897959185,25440.90136054422,1230.654761904762,26.78571428571429,1.2755102040816326,11014.0,956.0,391.0,204.0,239348.0,11578.0,252.0,12.0
0.0549,145889.98724489796,17530.293367346938,7787.308673469388,5389.455782312925,25375.63775510204,1219.7066326530612,25.191326530612248,1.16921768707483,10961.0,1200.0,500.0,345.0,238734.0,11475.0,237.0,11.0
0.0569,147942.81462585035,19145.195578231294,11364.902210884355,8390.093537414967,25479.06037414966,1214.1794217687075,25.72278911564626,0.5314625850340137,11099.0,1303.0,729.0,537.0,239707.0,11423.0,242.0,5.0
0.0588,146505.31462585035,21422.831632653062,14223.639455782313,11919.855442176871,25416.56037414966,1217.7933673469388,26.360544217687075,2.0195578231292517,11003.0,1449.0,912.0,763.0,239119.0,11457.0,248.0,19.0
0.0608,148292.83588435373,22899.128401360544,16737.244897959183,14825.361394557824,25332.16411564626,1225.871598639456,28.38010204081633,2.7636054421768708,11112.0,1544.0,1073.0,949.0,238325.0,11533.0,267.0,26.0
0.0627,157536.77721088435,25128.29506802721,18674.744897959183,17215.77380952381,25416.347789115647,1199.8299319727892,28.38010204081633,2.9761904761904763,11709.0,1685.0,1197.0,1102.0,239117.0,11288.0,267.0,28.0
0.0647,153023.80952380953,25484.69387755102,20297.937925170067,20073.55442176871,25804.315476190477,1234.0561224489797,30.187074829931973,4.570578231292517,11445.0,1710.0,1301.0,1285.0,242767.0,11610.0,284.0,43.0
0.0667,156380.20833333334,28995.429421768706,22547.831632653062,20792.30442176871,25947.916666666668,1238.9455782312925,30.293367346938776,4.570578231292517,11669.0,1935.0,1445.0,1331.0,244118.0,11656.0,285.0,43.0
0.0686,160017.64455782314,29442.602040816328,22502.23214285714,23260.097789115647,26013.60544217687,1260.5229591836735,29.017857142857146,5.5272108843537415,11906.0,1965.0,1442.0,1489.0,244736.0,11859.0,273.0,52.0
0.0706,159503.61394557822,29996.598639455784,22779.549319727892,23510.522959183672,26027.63605442177,1237.7763605442178,32.95068027210885,5.1020408163265305,11874.0,1999.0,1460.0,1505.0,244868.0,11645.0,310.0,48.0
0.0725,158075.99914965985,31434.20493197279,24549.319727891158,24463.75425170068,25611.500850340137,1206.4200680272108,28.80527210884354,4.995748299319728,11756.0,2089.0,1573.0,1566.0,240953.0,11350.0,271.0,47.0
0.0745,160056.1224489796,31776.041666666668,25704.613095238095,25665.92261904762,25318.87755102041,1208.3333333333335,29.761904761904763,5.9523809523809526,11864.0,2111.0,1647.0,1643.0,238200.0,11368.0,280.0,56.0
0.0765,163788.58418367346,34001.16921768707,27920.918367346938,27055.803571428572,25352.04081632653,1248.8307823129253,32.20663265306123,6.696428571428572,12105.0,2256.0,1789.0,1732.0,238512.0,11749.0,303.0,63.0
0.0784,164922.51275510204,34659.75765306123,27064.944727891158,28695.79081632653,25343.112244897962,1246.4923469387757,28.80527210884354,7.334183673469388,12177.0,2298.0,1734.0,1837.0,238428.0,11727.0,271.0,69.0
0.0804,167281.67517006802,34681.12244897959,29559.948979591838,29228.103741496598,25327.699829931975,1193.8775510204082,33.80102040816327,6.271258503401361,12327.0,2296.0,1894.0,1871.0,238283.0,11232.0,318.0,59.0
0.0824,160397.95918367346,36110.9693877551,29793.7925170068,29865.539965986394,25383.29081632653,1232.780612244898,34.33248299319728,9.460034013605442,11890.0,2390.0,1909.0,1912.0,238806.0,11598.0,323.0,89.0
0.0843,158959.5025510204,36413.796768707485,30355.229591836734,30332.164115646257,25477.997448979593,1226.828231292517,35.39540816326531,11.585884353741497,11804.0,2409.0,1945.0,1942.0,239697.0,11542.0,333.0,109.0
0.0863,159086.73469387754,38306.54761904762,31560.374149659863,32489.477040816328,25397.640306122452,1209.077380952381,33.375850340136054,10.52295918367347,11807.0,2529.0,2022.0,2080.0,238941.0,11375.0,314.0,99.0
0.0882,162617.2406462585,37967.04931972789,32207.589285714286,33326.63690476191,25132.759353741498,1189.200680272109,42.410714285714285,17.11309523809524,12016.0,2506.0,2064.0,2134.0,236449.0,11188.0,399.0,161.0
0.0902,161985.54421768707,38394.13265306123,32800.17006802721,32603.847789115647,25217.580782312925,1199.6173469387757,43.57993197278912,21.152210884353742,11981.0,2534.0,2102.0,2088.0,237247.0,11286.0,410.0,199.0
0.0922,165546.875,40565.79506802721,34423.25680272109,36543.57993197279,25328.125,1231.0799319727892,61.118197278911566,34.54506802721089,12216.0,2675.0,2207.0,2341.0,238287.0,11582.0,575.0,325.0
0.0941,165848.95833333334,41555.272108843536,35471.832482993195,34996.49234693877,25119.791666666668,1257.2278911564626,75.04251700680273,50.382653061224495,12222.0,2740.0,2275.0,2243.0,236327.0,11828.0,706.0,474.0
0.0961,168024.9787414966,42804.52806122449,35710.24659863945,34688.13775510204,25146.896258503402,1273.5969387755104,102.25340136054422,77.48724489795919,12363.0,2821.0,2292.0,2225.0,236582.0,11982.0,962.0,729.0
0.098,170136.47959183675,43033.05697278911,38728.1037414966,36303.89030612245,25379.145408163266,1326.3180272108843,162.52125850340136,133.60969387755102,12513.0,2839.0,2489.0,2332.0,238767.0,12478.0,1529.0,1257.0
0.1,168887.96768707482,44186.86224489796,37776.998299319726,36747.130102040814,24924.53231292517,1438.137755102041,254.25170068027214,237.24489795918367,12404.0,2920.0,2434.0,2367.0,234490.0,13530.0,2392.0,2232.0
0.102,170018.7074829932,44633.92857142857,41149.44727891157,39356.07993197279,25262.542517006805,1600.4464285714287,428.6777210884354,393.9200680272109,12498.0,2959.0,2661.0,2544.0,237670.0,15057.0,4033.0,3706.0
0.1039,178830.99489795917,48040.39115646258,43184.098639455784,44754.889455782315,25481.505102040817,1850.2338435374152,722.1513605442177,698.2355442176871,13076.0,3193.0,2810.0,2909.0,239730.0,17407.0,6794.0,6569.0
0.1029,171511.26700680272,47939.0943877551,41729.804421768706,43047.19387755102,25348.10799319728,1701.530612244898,551.4455782312925,530.9311224489796,12599.0,3177.0,2706.0,2789.0,238475.0,16008.0,5188.0,4995.0
