# metadata,value
mode,qcl
fudge_factor,1
cycles,4
cycles_completed,4
integration_time,3.0
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),Counts_TL4(0.014),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012),DCounts_TL4(0.014),ClicksOn_TL1(0.008),ClicksOn_TL2(0.010),ClicksOn_TL3(0.012),ClicksOn_TL4(0.014),ClicksOff_TL1(0.008),ClicksOff_TL2(0.010),ClicksOff_TL3(0.012),ClicksOff_TL4(0.014)
0.0039,129353.0860260771,6324.440192743764,91.48242630385487,-0.1771541950113379,24490.663973922907,1152.122307256236,23.10090702947846,0.1771541950113379,59076.0,2871.0,44.0,0.0,1382449.0,65035.0,1304.0,10.0
0.0059,130131.41298185941,6131.962159863945,107.78061224489797,-0.23030045351473927,24462.33701814059,1151.8920068027212,22.427721088435376,0.23030045351473927,59364.0,2797.0,50.0,0.0,1380850.0,65022.0,1266.0,13.0
0.0078,129299.90433673469,5704.807964852607,130.95238095238096,2.4270124716553285,24411.03316326531,1144.1503684807258,22.693452380952383,0.1771541950113379,59025.0,2630.0,59.0,1.0,1377954.0,64585.0,1281.0,10.0
0.0098,128653.84070294784,6182.8231292517,140.9970238095238,-0.21258503401360546,24411.263463718824,1145.3018707482995,23.065476190476193,0.21258503401360546,58777.0,2814.0,63.0,0.0,1377967.0,64650.0,1302.0,12.0
0.0118,129404.85048185941,6028.8584183673465,121.8112244897959,-0.10629251700680273,24475.357851473927,1140.4124149659865,21.41794217687075,0.10629251700680273,59090.0,2753.0,55.0,0.0,1381585.0,64374.0,1209.0,6.0
0.0137,129160.44855442176,5874.273667800454,125.531462585034,4.871740362811791,24300.488945578236,1143.9554988662132,22.90603741496599,0.33659297052154197,58929.0,2695.0,57.0,2.0,1371714.0,64574.0,1293.0,19.0
0.0157,127630.63350340136,5966.783588435374,125.24801587301587,2.4092970521541948,24259.991496598643,1121.7580782312928,20.585317460317462,0.19486961451247167,58326.0,2722.0,56.0,1.0,1369428.0,63321.0,1162.0,11.0
0.0176,128847.50566893423,5991.390306122449,124.69883786848074,-0.1594387755102041,24207.18183106576,1128.4013605442178,21.13449546485261,0.1594387755102041,58773.0,2734.0,56.0,0.0,1366447.0,63696.0,1193.0,9.0
0.0196,127133.32624716553,5875.549178004536,149.11068594104307,2.3030045351473922,24114.069586167803,1127.0549886621316,22.76431405895692,0.3011621315192744,58079.0,2689.0,66.0,1.0,1361191.0,63620.0,1285.0,17.0
0.0216,126690.91907596371,5763.12712585034,132.06845238095238,-0.24801587301587305,24066.893424036283,1117.0812074829932,21.577380952380956,0.24801587301587305,57891.0,2642.0,59.0,0.0,1358528.0,63057.0,1218.0,14.0
0.0235,127734.693877551,5864.53018707483,119.59679705215419,-0.28344671201814065,23939.78528911565,1099.0114795918369,21.02820294784581,0.28344671201814065,58243.0,2674.0,54.0,0.0,1351353.0,62037.0,1187.0,16.0
0.0255,126582.11096938775,6122.714710884354,105.26502267573696,2.462443310657596,23972.57653061225,1111.6602891156465,22.339143990929706,0.14172335600907032,57813.0,2778.0,49.0,1.0,1353204.0,62751.0,1261.0,8.0
