# metadata,value
mode,qcl
fudge_factor,1
cycles,4
cycles_completed,4
integration_time,2
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),Counts_TL4(0.014),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012),DCounts_TL4(0.014),ClicksOn_TL1(0.008),ClicksOn_TL2(0.010),ClicksOn_TL3(0.012),ClicksOn_TL4(0.014),ClicksOff_TL1(0.008),ClicksOff_TL2(0.010),ClicksOff_TL3(0.012),ClicksOff_TL4(0.014)
0.0029,22060.42729591837,15.25297619047619,0.0,0.0,627.0727040816327,0.37202380952380953,0.0,0.0,2904.0,2.0,0.0,0.0,11799.0,7.0,0.0,0.0
0.0049,22641.05017006803,7.281037414965986,0.0,0.0,632.3873299319728,0.5314625850340137,0.0,0.0,2979.0,1.0,0.0,0.0,11899.0,10.0,0.0,0.0
0.0069,22324.776785714286,69.88732993197279,0.0,0.0,628.3482142857143,0.4251700680272109,0.0,0.0,2938.0,9.0,0.0,0.0,11823.0,8.0,0.0,0.0
0.0088,21854.53869047619,15.465561224489797,0.0,0.0,629.8363095238095,0.15943877551020408,0.0,0.0,2878.0,2.0,0.0,0.0,11851.0,3.0,0.0,0.0
0.0108,22608.099489795917,7.440476190476191,0.0,0.0,634.0880102040817,0.37202380952380953,0.0,0.0,2975.0,1.0,0.0,0.0,11931.0,7.0,0.0,0.0
0.0127,22226.668792517008,38.637329931972786,0.0,0.0,640.5187074829932,0.4251700680272109,0.0,0.0,2927.0,5.0,0.0,0.0,12052.0,8.0,0.0,0.0
0.0147,22904.549319727892,30.665391156462587,0.0,0.0,626.7006802721089,0.584608843537415,0.0,0.0,3012.0,4.0,0.0,0.0,11792.0,11.0,0.0,0.0
0.0167,22017.80399659864,23.224914965986393,0.0,0.0,638.4460034013606,0.21258503401360546,0.0,0.0,2900.0,3.0,0.0,0.0,12013.0,4.0,0.0,0.0
0.0186,22499.468537414967,15.25297619047619,0.0,0.0,641.1564625850341,0.37202380952380953,0.0,0.0,2962.0,2.0,0.0,0.0,12064.0,7.0,0.0,0.0
0.0206,23314.306972789116,38.37159863945578,0.0,0.0,631.0055272108843,0.6909013605442177,0.0,0.0,3065.0,5.0,0.0,0.0,11873.0,13.0,0.0,0.0
0.0225,21959.715136054423,38.531037414965986,0.0,0.0,634.0348639455783,0.5314625850340137,0.0,0.0,2892.0,5.0,0.0,0.0,11930.0,10.0,0.0,0.0
0.0245,21995.48256802721,22.959183673469386,0.0,-0.10629251700680273,637.3299319727892,0.4783163265306123,0.0,0.10629251700680273,2897.0,3.0,0.0,0.0,11992.0,9.0,0.0,2.0
0.0265,21803.837159863946,15.093537414965986,0.0,0.0,633.6628401360545,0.5314625850340137,0.0,0.0,2872.0,2.0,0.0,0.0,11923.0,10.0,0.0,0.0
0.0284,22035.661139455784,7.281037414965986,0.0,0.0,644.0263605442177,0.5314625850340137,0.0,0.0,2903.0,1.0,0.0,0.0,12118.0,10.0,0.0,0.0
0.0304,23304.581207482992,30.39965986394558,0.0,0.0,640.7312925170069,0.8503401360544218,0.0,0.0,3065.0,4.0,0.0,0.0,12056.0,16.0,0.0,0.0
0.0324,22989.636479591838,61.91539115646258,7.8125,-0.10629251700680273,650.9885204081633,0.584608843537415,0.0,0.10629251700680273,3026.0,8.0,1.0,0.0,12249.0,11.0,0.0,2.0
0.0343,22911.511479591838,38.74362244897959,15.571853741496598,0.0,643.1760204081633,0.31887755102040816,0.053146258503401364,0.0,3015.0,5.0,2.0,0.0,12102.0,6.0,1.0,0.0
0.0363,22909.491921768706,163.5841836734694,62.5,0.0,637.3830782312925,0.4783163265306123,0.0,0.0,3014.0,21.0,8.0,0.0,11993.0,9.0,0.0,0.0
0.0382,23329.825680272108,452.4340986394558,93.6968537414966,15.625,638.9243197278912,0.6909013605442177,0.053146258503401364,0.0,3068.0,58.0,12.0,2.0,12022.0,13.0,1.0,0.0
0.0402,23900.988520408162,741.6028911564625,265.4655612244898,93.75,645.8864795918367,0.584608843537415,0.15943877551020408,0.0,3142.0,95.0,34.0,12.0,12153.0,11.0,3.0,0.0
0.0422,24310.63988095238,1273.1186224489795,695.2062074829932,187.4468537414966,650.297619047619,0.31887755102040816,0.10629251700680273,0.053146258503401364,3195.0,163.0,89.0,24.0,12236.0,6.0,2.0,1.0
0.0441,26047.087585034013,2592.8996598639455,1484.2687074829932,554.4749149659864,656.0374149659864,0.8503401360544218,0.10629251700680273,0.21258503401360546,3418.0,332.0,190.0,71.0,12344.0,16.0,2.0,4.0
0.0461,27577.221513605444,3569.515306122449,2163.4778911564626,1007.546768707483,633.7159863945578,0.7971938775510204,0.584608843537415,0.26573129251700683,3611.0,457.0,277.0,129.0,11924.0,15.0,11.0,5.0
0.048,28361.075680272108,5154.868197278912,3733.8966836734694,2171.502976190476,638.9243197278912,1.3818027210884354,0.4783163265306123,0.37202380952380953,3712.0,660.0,478.0,278.0,12022.0,26.0,9.0,7.0
