# metadata,value
mode,qcl
fudge_factor,1
cycles,1
cycles_completed,1
integration_time,1
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.011),Counts_TL2(0.012),Counts_TL3(0.014),DCounts_TL1(0.011),DCounts_TL2(0.012),DCounts_TL3(0.014),ClicksOn_TL1(0.011),ClicksOn_TL2(0.012),ClicksOn_TL3(0.014),ClicksOff_TL1(0.011),ClicksOff_TL2(0.012),ClicksOff_TL3(0.014)
0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0147,-1.1337868480725624,0.0,0.0,1.1337868480725624,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0284,500.00000000000006,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0324,333.33333333333337,166.66666666666669,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
0.0343,833.3333333333335,666.6666666666667,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0
0.0363,4666.666666666667,3666.666666666667,500.00000000000006,0.0,0.0,0.0,28.0,22.0,3.0,0.0,0.0,0.0
0.0382,8166.666666666668,3666.666666666667,1666.666666666667,0.0,0.0,0.0,49.0,22.0,10.0,0.0,0.0,0.0
0.0402,29166.66666666667,15666.666666666668,4000.0000000000005,0.0,0.0,0.0,175.0,94.0,24.0,0.0,0.0,0.0
0.0422,40166.66666666667,38166.66666666667,14500.000000000002,0.0,0.0,0.0,241.0,229.0,87.0,0.0,0.0,0.0
0.0441,88000.00000000001,56332.19954648527,18333.333333333336,0.0,1.1337868480725624,0.0,528.0,338.0,110.0,0.0,1.0,0.0
0.0461,122496.5986394558,103666.66666666669,56333.33333333334,3.401360544217687,0.0,0.0,735.0,622.0,338.0,3.0,0.0,0.0
0.048,200166.6666666667,165998.86621315195,76333.33333333334,0.0,1.1337868480725624,0.0,1201.0,996.0,458.0,0.0,1.0,0.0
0.05,259326.53061224494,221000.00000000003,157331.0657596372,6.802721088435374,0.0,2.2675736961451247,1556.0,1326.0,944.0,6.0,0.0,2.0
