# metadata,value
mode,qcl
fudge_factor,1
cycles,1
cycles_completed,1
integration_time,1
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.011),Counts_TL2(0.012),Counts_TL3(0.014),DCounts_TL1(0.011),DCounts_TL2(0.012),DCounts_TL3(0.014),ClicksOn_TL1(0.011),ClicksOn_TL2(0.012),ClicksOn_TL3(0.014),ClicksOff_TL1(0.011),ClicksOff_TL2(0.012),ClicksOff_TL3(0.014)
0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0245,-51.02040816326531,-12.471655328798185,-18.140589569160998,51.02040816326531,12.471655328798185,18.140589569160998,0.0,0.0,0.0,45.0,11.0,16.0
0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0284,-15.873015873015873,-28.34467120181406,-34.01360544217687,15.873015873015873,28.34467120181406,34.01360544217687,0.0,0.0,0.0,14.0,25.0,30.0
0.0304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0324,166.66666666666669,145.124716553288,-44.21768707482993,0.0,21.541950113378686,44.21768707482993,1.0,1.0,0.0,0.0,19.0,39.0
0.0343,166.66666666666669,166.66666666666669,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0363,3666.666666666667,1833.3333333333335,0.0,0.0,0.0,0.0,22.0,11.0,0.0,0.0,0.0,0.0
0.0382,5998.866213151929,5000.000000000001,1333.3333333333335,1.1337868480725624,0.0,0.0,36.0,30.0,8.0,1.0,0.0,0.0
0.0402,15455.782312925172,7833.333333333334,820.8616780045353,44.21768707482993,0.0,12.471655328798185,93.0,47.0,5.0,39.0,0.0,11.0
0.0422,26858.276643990932,22636.05442176871,7778.911564625851,141.7233560090703,197.27891156462584,54.42176870748299,162.0,137.0,47.0,125.0,174.0,48.0
