# metadata,value
mode,qcl
fudge_factor,1
cycles,1
cycles_completed,1
integration_time,3
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.011),Counts_TL2(0.012),Counts_TL3(0.014),DCounts_TL1(0.011),DCounts_TL2(0.012),DCounts_TL3(0.014),ClicksOn_TL1(0.011),ClicksOn_TL2(0.012),ClicksOn_TL3(0.014),ClicksOff_TL1(0.011),ClicksOff_TL2(0.012),ClicksOff_TL3(0.014)
0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0049,55.55555555555556,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0088,-0.3779289493575208,0.0,0.0,0.3779289493575208,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0108,-0.3779289493575208,0.0,0.0,0.3779289493575208,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0245,-0.3779289493575208,0.0,0.0,0.3779289493575208,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0304,333.33333333333337,222.22222222222223,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0
0.0324,721.8442932728648,388.8888888888889,55.55555555555556,0.3779289493575208,0.0,0.0,13.0,7.0,1.0,1.0,0.0,0.0
0.0343,2166.666666666667,1111.111111111111,0.0,0.0,0.0,0.0,39.0,20.0,0.0,0.0,0.0,0.0
0.0363,3000.0,3500.0000000000005,388.8888888888889,0.0,0.0,0.0,54.0,63.0,7.0,0.0,0.0,0.0
0.0382,9888.88888888889,10166.28873771731,1166.6666666666667,0.0,0.3779289493575208,0.0,178.0,183.0,21.0,0.0,1.0,0.0
0.0402,21721.844293272865,9500.0,3500.0000000000005,0.3779289493575208,0.0,0.0,391.0,171.0,63.0,1.0,0.0,0.0
0.0422,53055.17762660621,41499.622071050646,16110.733182161755,0.3779289493575208,0.3779289493575208,0.3779289493575208,955.0,747.0,290.0,1.0,1.0,1.0
0.0441,92665.91080876796,70665.91080876796,31665.910808767952,0.7558578987150416,0.7558578987150416,0.7558578987150416,1668.0,1272.0,570.0,2.0,2.0,2.0
0.0461,,,,,,,,,,,,
0.048,,,,,,,,,,,,
0.05,,,,,,,,,,,,
0.052,,,,,,,,,,,,
0.0539,,,,,,,,,,,,
0.0559,,,,,,,,,,,,
0.0578,,,,,,,,,,,,
0.0598,,,,,,,,,,,,
0.0618,,,,,,,,,,,,
0.0637,,,,,,,,,,,,
0.0657,,,,,,,,,,,,
0.0676,,,,,,,,,,,,
0.0696,,,,,,,,,,,,
0.0716,,,,,,,,,,,,
0.0735,,,,,,,,,,,,
0.0755,,,,,,,,,,,,
0.0775,,,,,,,,,,,,
0.0794,,,,,,,,,,,,
0.0814,,,,,,,,,,,,
0.0833,,,,,,,,,,,,
0.0853,,,,,,,,,,,,
0.0873,,,,,,,,,,,,
0.0892,,,,,,,,,,,,
0.0912,,,,,,,,,,,,
0.0931,,,,,,,,,,,,
0.0951,,,,,,,,,,,,
0.0971,,,,,,,,,,,,
0.099,,,,,,,,,,,,
0.101,,,,,,,,,,,,
0.1029,,,,,,,,,,,,
0.1049,,,,,,,,,,,,
0.1069,,,,,,,,,,,,
0.1088,,,,,,,,,,,,
0.1078,,,,,,,,,,,,
